date,day_of_week,month,year,week_of_year,Getränke_sales,Getränke_count,Coffee_sales,Coffee_count,Cappuccino_sales,Cappuccino_count,Flat White_sales,Flat White_count,Cappuccino groß_sales,Cappuccino groß_count,Caffé Latte_sales,Caffé Latte_count,Filterkaffee_sales,Filterkaffee_count,Caffé Latte doppelt_sales,Caffé Latte doppelt_count,Espresso Macchiato_sales,Espresso Macchiato_count,Espresso single_sales,Espresso single_count,Café Crème_sales,Café Crème_count,Doppio Macchiato_sales,Doppio Macchiato_count,Americano_sales,Americano_count,Hand Brew_sales,Hand Brew_count,Americano groß_sales,Americano groß_count,Café Crème groß_sales,Café Crème groß_count,Doppio_sales,Doppio_count,Extra Shot_sales,Extra Shot_count,Oat Cappu klein_sales,Oat Cappu klein_count,Oat Flat_sales,Oat Flat_count,Oat Cappu groß_sales,Oat Cappu groß_count,Oat Latte klein_sales,Oat Latte klein_count,Oat Latte groß_sales,Oat Latte groß_count,Hafer Cappuccino Groß_sales,Hafer Cappuccino Groß_count,Hafer Cappuccino_sales,Hafer Cappuccino_count,Hafer Flat White_sales,Hafer Flat White_count,Caffè Latte_sales,Caffè Latte_count,Caffè Latte Groß_sales,Caffè Latte Groß_count,Hafer Espresso Macchiato_sales,Hafer Espresso Macchiato_count,Hafer Caffè Latte_sales,Hafer Caffè Latte_count,Hafer Caffè Latte Groß_sales,Hafer Caffè Latte Groß_count,Decaf Caffè Latte Groß *_sales,Decaf Caffè Latte Groß *_count,Decaf Cappuccino *_sales,Decaf Cappuccino *_count,Decaf Flat White *_sales,Decaf Flat White *_count,Decaf Cappuccino Groß *_sales,Decaf Cappuccino Groß *_count,Decaf Caffè Latte *_sales,Decaf Caffè Latte *_count,Flat White auf Eis_sales,Flat White auf Eis_count,Hafer Flat White auf ice_sales,Hafer Flat White auf ice_count,Hafer Espresso Macchiato dopio_sales,Hafer Espresso Macchiato dopio_count,Decaf Espresso_sales,Decaf Espresso_count,Decaf Flat White auf Ice_sales,Decaf Flat White auf Ice_count,Coldbrew_sales,Coldbrew_count,Decaf doppio_sales,Decaf doppio_count,Decaf Espresso Macchiato *_sales,Decaf Espresso Macchiato *_count,Decaf Americano_sales,Decaf Americano_count,Flat White auf Eis._sales,Flat White auf Eis._count,Cold Brew_sales,Cold Brew_count,Decaf Espresso Macchiato dopio *_sales,Decaf Espresso Macchiato dopio *_count,Espresso Doppio Macchiato_sales,Espresso Doppio Macchiato_count,Hafer Flat White auf Eis_sales,Hafer Flat White auf Eis_count,Espresso Doppio_sales,Espresso Doppio_count,Espresso Single_sales,Espresso Single_count,Espresso Tonic_sales,Espresso Tonic_count,Decaf Cappuccino_sales,Decaf Cappuccino_count,Hafer Caffè Latte groß_sales,Hafer Caffè Latte groß_count,Decaf Caffè Latte_sales,Decaf Caffè Latte_count,Decaf Espresso Single_sales,Decaf Espresso Single_count,Decaf Flat White auf Eis_sales,Decaf Flat White auf Eis_count,Hafer Espresso Macchiato groß_sales,Hafer Espresso Macchiato groß_count,Decaf Cappuccino Groß_sales,Decaf Cappuccino Groß_count,Decaf Flat White_sales,Decaf Flat White_count,Decaf Espresso Macchiato_sales,Decaf Espresso Macchiato_count,Decaf Caffè Latte Groß_sales,Decaf Caffè Latte Groß_count,Hafer Food Cappuccino_sales,Hafer Food Cappuccino_count,Hafer Food Flat White_sales,Hafer Food Flat White_count,Hafer Food Cappuccino groß_sales,Hafer Food Cappuccino groß_count,Hafer Food Caffe Latte groß_sales,Hafer Food Caffe Latte groß_count,Hafer Food Caffe Latte_sales,Hafer Food Caffe Latte_count,Decaf Americano Groß_sales,Decaf Americano Groß_count,Cappuccino HaferTetra_sales,Cappuccino HaferTetra_count,Cappuccino HaferTetra Groß_sales,Cappuccino HaferTetra Groß_count,Flat White HaferTetra_sales,Flat White HaferTetra_count,Caffe Latte HaferTetra_sales,Caffe Latte HaferTetra_count,Decaf Espresso Doppio_sales,Decaf Espresso Doppio_count,Decaf Espresso Macchiato Doppio_sales,Decaf Espresso Macchiato Doppio_count,Nitro Americano_sales,Nitro Americano_count,Hafer Caffè Latte doppelt_sales,Hafer Caffè Latte doppelt_count,Hafer Espresso Macchiato doppelt_sales,Hafer Espresso Macchiato doppelt_count,Cá Phê Sūa dá_sales,Cá Phê Sūa dá_count,Cappuccino free_sales,Cappuccino free_count,Filterkaffee Free_sales,Filterkaffee Free_count,Café Latte Free_sales,Café Latte Free_count,Flat White Free_sales,Flat White Free_count,Americano Free_sales,Americano Free_count,_sales,_count
2021-01-02,Saturday,January,2021,53,692.90,486,1289.3,669.0,230.40,72,98.80,26,72.20,19,66.50,19,22.50,9,19.00,5,15.00,6,14.00,7,12.50,5,12.00,4,10.00,4,9.00,2,6.00,2,6.00,2,2.50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,Monday,January,2021,1,429.20,297,801.1,414.0,192.00,60,38.00,10,30.40,8,28.00,8,12.50,5,0.0,0.0,7.50,3,0.0,0.0,10.00,4,3.00,1,17.50,7,4.50,1,21.00,7,0.0,0.0,7.50,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,Tuesday,January,2021,1,392.80,309,770.7999999999998,426.0,144.00,45,41.80,11,22.80,6,56.00,16,7.50,3,11.40,3,7.50,3,4.00,2,12.50,5,12.00,4,25.00,10,22.50,5,6.00,2,0.0,0.0,5.00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,Thursday,January,2021,1,493.20,290,907.4000000000001,418.0,179.20,56,34.20,9,53.20,14,38.50,11,17.50,7,26.60,7,5.00,2,6.00,3,0.0,0.0,6.00,2,20.00,8,9.00,2,3.00,1,6.00,2,10.00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,Friday,January,2021,1,557.50,350,1041.0,500.0,185.60,58,102.60,27,72.20,19,21.00,6,30.00,12,7.60,2,5.00,2,8.00,4,5.00,2,9.00,3,30.00,12,0.0,0.0,0.0,0.0,0.0,0.0,7.50,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-09,Saturday,January,2021,1,771.40,538,1427.9,742.0,265.60,83,68.40,18,95.00,25,56.00,16,17.50,7,38.00,10,10.00,4,16.00,8,2.50,1,3.00,1,42.50,17,9.00,2,15.00,5,3.00,1,15.00,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,Monday,January,2021,2,363.80,222,703.9,325.0,128.00,40,68.40,18,41.80,11,31.50,9,12.50,5,11.40,3,7.50,3,2.00,1,0.0,0.0,6.00,2,12.50,5,4.50,1,9.00,3,0.0,0.0,5.00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,Tuesday,January,2021,2,291.60,183,552.7,266.0,140.80,44,15.20,4,15.20,4,28.00,8,10.00,4,11.40,3,5.00,2,8.00,4,5.00,2,3.00,1,5.00,2,0.0,0.0,3.00,1,9.00,3,2.50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,Wednesday,January,2021,2,437.60,309,829.1999999999999,429.0,124.80,39,60.80,16,53.20,14,45.50,13,15.00,6,22.80,6,7.50,3,6.00,3,0.0,0.0,9.00,3,17.50,7,4.50,1,6.00,2,9.00,3,10.00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,Thursday,January,2021,2,438.00,313,816.5000000000001,429.0,176.00,55,72.20,19,34.20,9,38.50,11,10.00,4,7.60,2,5.00,2,6.00,3,2.50,1,6.00,2,10.00,4,0.0,0.0,0.0,0.0,3.00,1,7.50,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
