date,day_of_week,month,year,week_of_year,Getränke_sales,Coffee_sales,Flat White auf Eis_sales,Hafer Flat White auf ice_sales,Decaf Flat White auf Ice_sales,Coldbrew_sales,Flat White auf Eis._sales,Cold Brew_sales,Hafer Flat White auf Eis_sales,Espresso Tonic_sales,Decaf Flat White auf Eis_sales,Nitro Americano_sales,_sales,Getränke_count,Coffee_count,Flat White auf Eis_count,Hafer Flat White auf ice_count,Decaf Flat White auf Ice_count,Coldbrew_count,Flat White auf Eis._count,Cold Brew_count,Hafer Flat White auf Eis_count,Espresso Tonic_count,Decaf Flat White auf Eis_count,Nitro Americano_count,_count,precipitation,temperature_mean,temperature_max,temperature_min,sunshine_duration,cloud_cover,wind_speed,humidity,pressure,snow_depth
2021-03-29,Monday,March,2021,13,949.5,50.400000000000006,33.6,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,20.4,2.1,9.7,4.0,1.3,54.0,1032.5,0.0
2021-03-30,Tuesday,March,2021,13,1106.2,113.4,100.8,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837,27.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,23.2,1.3,12.3,1.0,1.2,51.0,1031.4,0.0
2021-03-31,Wednesday,March,2021,13,1299.2,210.0,142.8,63.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033,50.0,34.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,23.7,2.9,12.2,2.0,1.3,52.0,1024.6,0.0
2021-04-01,Thursday,April,2021,13,981.4,117.6,92.4,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701,28.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,23.3,5.6,8.2,4.0,2.5,54.0,1019.1,0.0
2021-04-02,Friday,April,2021,13,901.3,58.8,25.2,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687,14.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,13.4,3.8,11.9,3.0,3.9,60.0,1019.7,0.0
2021-04-03,Saturday,April,2021,13,1228.9,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.9,1.3,6.4,5.0,3.3,56.0,1023.8,0.0
2021-04-04,Sunday,April,2021,13,641.9,85.0,63.0,8.4,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501,21.0,15.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,12.2,-1.5,12.4,1.0,1.4,56.0,1022.8,0.0
2021-04-05,Monday,April,2021,14,607.6,3.4,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.6,11.8,-2.6,1.2,6.0,4.8,67.0,1012.2,0.0
2021-04-06,Tuesday,April,2021,14,677.3,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.2,-3.7,4.3,6.0,4.8,71.0,1015.2,0.0
2021-04-08,Thursday,April,2021,14,732.9,11.0,4.2,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,7.8,-1.3,5.4,5.0,3.0,63.0,1025.4,0.0
2021-04-09,Friday,April,2021,14,1121.6,28.6,4.2,21.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704,7.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.8,16.3,-3.3,5.3,6.0,2.0,52.0,1018.6,0.0
2021-04-10,Saturday,April,2021,14,1232.6,68.2,42.0,8.4,4.2,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969,17.0,10.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,17.4,8.3,2.8,8.0,2.7,52.0,1013.5,0.0
