;von;bis;;
Datum:;02.04.2021;02.04.2021;;
Enthalt Z;286;286;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1353.90;96.90 %;
Auslagen;;;41.00;2.93 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.30;0.16 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;41.00;2.94 %;
19.0%;;;518.60;37.18 %;
7.0%;;;835.30;59.88 %;
Total;;;1394.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;41.00;3.26 %;
19.0%;;;435.72;34.65 %;
7.0%;;;780.61;62.08 %;
Total;;;1257.33;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;82.88;60.25 %;
7.0%;;;54.69;39.75 %;
Total;;;137.57;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;155;660.20;47.33 %;0.00
Maestro;;32;353.80;25.36 %;0.80
MasterCard;;13;128.90;9.24 %;1.50
Visa;;4;38.40;2.75 %;0.00
Visa Electron;;12;213.60;15.31 %;0.00
Total;;216;1394.90;100.00 %;2.30
;;;;
Umsatzdetails;;;;;
Anna;;;132.80;9.81 %;0.00
Elisa;;;460.70;34.03 %;0.00
Lena;;;677.00;50.00 %;2.30
Mik;;;83.40;6.16 %;0.00
Total;;;1353.90;100.00 %;2.30
;;;;
Stornos;;;;;
vertippt;;6;16.30;106.54 %;
Änderung durch Gast;;1;-1.00;-6.54 %;
Total;;7;15.30;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;214;1394.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;687;901.30;64.61 %;;0;0.00;;687;901.30
Sonstiges;;18;285.00;20.43 %;;0;0.00;;18;285.00
Speisen;;66;208.60;14.95 %;;0;0.00;;66;208.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;321;485.70;34.82 %;;0;0.00;;321;485.70
Hafer;;166;233.10;16.71 %;;0;0.00;;166;233.10
Speisen;;66;208.60;14.95 %;;0;0.00;;66;208.60
Röstkaffee;;14;166.00;11.90 %;;0;0.00;;14;166.00
Kaffee;;179;159.00;11.40 %;;0;0.00;;179;159.00
Equipment;;4;119.00;8.53 %;;0;0.00;;4;119.00
Non Kaffee;;15;12.50;0.90 %;;0;0.00;;15;12.50
decaf;;6;11.00;0.79 %;;0;0.00;;6;11.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;50;160.00;11.47 %;;0;0.00;;50;160.00
ReCup ausgeben ´;0;108;108.00;7.74 %;;0;0.00;;108;108.00
Flat White;0;27;102.60;7.36 %;;0;0.00;;27;102.60
Tasse M;0;3;84.00;6.02 %;;0;0.00;;3;84.00
Hafer Cappuccino;0;26;83.20;5.96 %;;0;0.00;;26;83.20
Cappuccino groß;0;21;79.80;5.72 %;;0;0.00;;21;79.80
ReCup ausgeben;0;76;76.00;5.45 %;;0;0.00;;76;76.00
Kanelbullar;0;20;64.00;4.59 %;;0;0.00;;20;64.00
Caffé Latte;0;14;49.00;3.51 %;;0;0.00;;14;49.00
Pain au chocolat;0;17;47.60;3.41 %;;0;0.00;;17;47.60
Banana Bread PINE NUT;0;12;45.60;3.27 %;;0;0.00;;12;45.60
ReCup ausgeben*;0;43;43.00;3.08 %;;0;0.00;;43;43.00
Hafer Cappuccino Groß;0;10;38.00;2.72 %;;0;0.00;;10;38.00
Hafer Flat White;0;10;38.00;2.72 %;;0;0.00;;10;38.00
Tasse L;0;1;35.00;2.51 %;;0;0.00;;1;35.00
EL MORENO 250g;0;3;34.50;2.47 %;;0;0.00;;3;34.50
Hafer Flat White auf ice;0;8;33.60;2.41 %;;0;0.00;;8;33.60
Americano;0;13;32.50;2.33 %;;0;0.00;;13;32.50
Hafer Caffè Latte;0;9;31.50;2.26 %;;0;0.00;;9;31.50
K‘OH 250g;0;2;31.00;2.22 %;;0;0.00;;2;31.00
ALT Sandwich;0;7;29.40;2.11 %;;0;0.00;;7;29.40
La Esperanza 250g;0;2;27.00;1.94 %;;0;0.00;;2;27.00
Caffé Latte doppelt;0;7;26.60;1.91 %;;0;0.00;;7;26.60
Flat White auf Eis;0;6;25.20;1.81 %;;0;0.00;;6;25.20
Hand Brew;0;5;22.50;1.61 %;;0;0.00;;5;22.50
Croissant;0;10;22.00;1.58 %;;0;0.00;;10;22.00
Ouro 250g;0;2;18.00;1.29 %;;0;0.00;;2;18.00
Kakao;0;5;17.50;1.25 %;;0;0.00;;5;17.50
MUYU BOTTLE 365;0;1;13.50;0.97 %;;0;0.00;;1;13.50
Café Crème;0;5;12.50;0.90 %;;0;0.00;;5;12.50
Espresso Macchiato;0;5;12.50;0.90 %;;0;0.00;;5;12.50
Espresso single;0;6;12.00;0.86 %;;0;0.00;;6;12.00
FINCA ISNUL 250g;0;1;11.50;0.82 %;;0;0.00;;1;11.50
EL CARMEN Decaf 250g;0;1;11.50;0.82 %;;0;0.00;;1;11.50
Hafer Kakao;0;3;10.50;0.75 %;;0;0.00;;3;10.50
Doppio;0;4;10.00;0.72 %;;0;0.00;;4;10.00
Filterkaffee;0;4;10.00;0.72 %;;0;0.00;;4;10.00
MUYU 250g;0;1;9.50;0.68 %;;0;0.00;;1;9.50
Guardabaxo 250g;0;1;9.50;0.68 %;;0;0.00;;1;9.50
Doppio Macchiato;0;3;9.00;0.65 %;;0;0.00;;3;9.00
Americano groß;0;3;9.00;0.65 %;;0;0.00;;3;9.00
Black tea;0;2;7.00;0.50 %;;0;0.00;;2;7.00
Decaf Caffè Latte *;0;2;7.00;0.50 %;;0;0.00;;2;7.00
Café Crème groß;0;2;6.00;0.43 %;;0;0.00;;2;6.00
ReCup ausgeben **;0;5;5.00;0.36 %;;0;0.00;;5;5.00
ReCup ausgeben* 1;0;4;4.00;0.29 %;;0;0.00;;4;4.00
Hafer Caffè Latte Groß;0;1;3.80;0.27 %;;0;0.00;;1;3.80
Lemon Tea;0;1;3.50;0.25 %;;0;0.00;;1;3.50
Hafer Espresso Macchiato dopio;0;1;3.00;0.22 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato;0;1;2.50;0.18 %;;0;0.00;;1;2.50
Deckel ReCup;0;2;2.00;0.14 %;;0;0.00;;2;2.00
ReCup annehmen **;0;5;-5.00;-0.36 %;;0;0.00;;5;-5.00
ReCup annehmen;0;53;-53.00;-3.80 %;;0;0.00;;53;-53.00
ReCup annehmen*;0;54;-54.00;-3.87 %;;0;0.00;;54;-54.00
ReCup annehmen ´;0;83;-83.00;-5.95 %;;0;0.00;;83;-83.00
;;;;
