;von;bis;;
Datum:;08.04.2021;08.04.2021;;
Enthalt Z;292;292;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1193.40;106.17 %;
Auslagen;;;-71.00;-6.32 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.60;0.14 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-71.00;-6.33 %;
19.0%;;;402.20;35.83 %;
7.0%;;;791.20;70.49 %;
Total;;;1122.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-71.00;-7.06 %;
19.0%;;;337.91;33.58 %;
7.0%;;;739.35;73.48 %;
Total;;;1006.26;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;64.29;55.36 %;
7.0%;;;51.85;44.64 %;
Total;;;116.14;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;167;635.00;56.58 %;0.00
Maestro;;28;244.70;21.80 %;1.60
MasterCard;;6;87.90;7.83 %;0.00
Mehrzweckgutschein;;1;4.80;0.43 %;0.00
Visa;;9;58.40;5.20 %;0.00
Visa Electron;;8;91.60;8.16 %;0.00
Total;;219;1122.40;100.00 %;1.60
;;;;
Umsatzdetails;;;;;
Elisa;;;417.90;35.02 %;1.60
Emanuel;;;121.90;10.21 %;0.00
Martin;;;480.60;40.27 %;0.00
Mik;;;142.50;11.94 %;0.00
Moritz;;;30.50;2.56 %;0.00
Total;;;1193.40;100.00 %;1.60
;;;;
Stornos;;;;;
vertippt;;3;7.70;100.00 %;
Total;;3;7.70;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;16.70;100.00 %;
Total;;1;16.70;100.00 %;
;;;;
Tische;;;;;
Theke;;217;1122.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;746;732.90;65.30 %;;0;0.00;;746;732.90
Sonstiges;;22;263.50;23.48 %;;0;0.00;;22;263.50
Speisen;;44;126.00;11.23 %;;0;0.00;;44;126.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;430;339.70;30.27 %;;0;0.00;;430;339.70
Röstkaffee;;21;235.50;20.98 %;;0;0.00;;21;235.50
Hafer;;140;210.10;18.72 %;;0;0.00;;140;210.10
Kaffee;;160;163.80;14.59 %;;0;0.00;;160;163.80
Speisen;;44;126.00;11.23 %;;0;0.00;;44;126.00
Equipment;;1;28.00;2.49 %;;0;0.00;;1;28.00
Non Kaffee;;14;14.50;1.29 %;;0;0.00;;14;14.50
decaf;;2;4.80;0.43 %;;0;0.00;;2;4.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;52;163.20;14.54 %;;0;0.00;;52;163.20
ReCup ausgeben ´;0;108;108.00;9.62 %;;0;0.00;;108;108.00
Cappuccino groß;0;23;87.40;7.79 %;;0;0.00;;23;87.40
Flat White;0;19;72.20;6.43 %;;0;0.00;;19;72.20
Caffé Latte;0;19;66.50;5.92 %;;0;0.00;;19;66.50
Hafer Cappuccino Groß;0;17;64.60;5.76 %;;0;0.00;;17;64.60
Hafer Cappuccino;0;20;64.00;5.70 %;;0;0.00;;20;64.00
MUYU 250g;0;6;57.00;5.08 %;;0;0.00;;6;57.00
Kanelbullar;0;16;51.20;4.56 %;;0;0.00;;16;51.20
ReCup ausgeben;0;51;51.00;4.54 %;;0;0.00;;51;51.00
ReCup ausgeben*;0;48;48.00;4.28 %;;0;0.00;;48;48.00
K‘OH 250g;0;3;38.75;3.45 %;;0;0.00;;3;38.75
Hafer Flat White;0;10;38.00;3.39 %;;0;0.00;;10;38.00
Croissant;0;16;35.20;3.14 %;;0;0.00;;16;35.20
Americano;0;13;32.50;2.90 %;;0;0.00;;13;32.50
Hafer Caffè Latte;0;9;31.50;2.81 %;;0;0.00;;9;31.50
Don Primitivo 250g;0;2;29.00;2.58 %;;0;0.00;;2;29.00
Tasse M;0;1;28.00;2.49 %;;0;0.00;;1;28.00
Americano groß;0;8;24.00;2.14 %;;0;0.00;;8;24.00
LUA CLARA 250g;0;2;23.00;2.05 %;;0;0.00;;2;23.00
Banana Bread PINE NUT;0;6;22.80;2.03 %;;0;0.00;;6;22.80
Kakao;0;6;21.00;1.87 %;;0;0.00;;6;21.00
MUYU 500g;0;1;18.00;1.60 %;;0;0.00;;1;18.00
Hand Brew;0;4;18.00;1.60 %;;0;0.00;;4;18.00
Ouro 250g;0;2;18.00;1.60 %;;0;0.00;;2;18.00
Filterkaffee;0;7;17.50;1.56 %;;0;0.00;;7;17.50
Pain au chocolat;0;6;16.80;1.50 %;;0;0.00;;6;16.80
Espresso single;0;8;16.00;1.43 %;;0;0.00;;8;16.00
Caffé Latte doppelt;0;4;15.20;1.35 %;;0;0.00;;4;15.20
Café Crème;0;6;15.00;1.34 %;;0;0.00;;6;15.00
La Esperanza 250g;0;1;13.50;1.20 %;;0;0.00;;1;13.50
Doppio;0;5;12.50;1.11 %;;0;0.00;;5;12.50
FINCA ISNUL 250g;0;1;11.50;1.02 %;;0;0.00;;1;11.50
EL CARMEN Decaf 250g;0;1;11.50;1.02 %;;0;0.00;;1;11.50
Guardabaxo 250g;0;1;9.50;0.85 %;;0;0.00;;1;9.50
Doppio Macchiato;0;3;9.00;0.80 %;;0;0.00;;3;9.00
Espresso Macchiato;0;3;7.50;0.67 %;;0;0.00;;3;7.50
Black tea;0;2;7.00;0.62 %;;0;0.00;;2;7.00
ReCup ausgeben **;0;7;7.00;0.62 %;;0;0.00;;7;7.00
Coldbrew;0;2;6.80;0.61 %;;0;0.00;;2;6.80
ATSABE 250g;0;1;5.75;0.51 %;;0;0.00;;1;5.75
Flat White auf Eis;0;1;4.20;0.37 %;;0;0.00;;1;4.20
Decaf Flat White *;0;1;3.80;0.34 %;;0;0.00;;1;3.80
Lemon Tea;0;1;3.50;0.31 %;;0;0.00;;1;3.50
Café Crème groß;0;1;3.00;0.27 %;;0;0.00;;1;3.00
ReCup ausgeben* 1;0;1;1.00;0.09 %;;0;0.00;;1;1.00
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup annehmen **;0;3;-3.00;-0.27 %;;0;0.00;;3;-3.00
ReCup annehmen*;0;36;-36.00;-3.21 %;;0;0.00;;36;-36.00
ReCup annehmen;0;49;-49.00;-4.37 %;;0;0.00;;49;-49.00
ReCup annehmen ´;0;198;-198.00;-17.64 %;;0;0.00;;198;-198.00
;;;;
