;von;bis;;
Datum:;16.04.2021;16.04.2021;;
Enthalt Z;300;301;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1712.00;94.90 %;
Auslagen;;;92.00;5.10 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;92.00;5.10 %;
19.0%;;;394.52;21.87 %;
7.0%;;;1317.48;73.03 %;
Total;;;1804.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;92.00;5.56 %;
19.0%;;;331.42;20.03 %;
7.0%;;;1231.24;74.41 %;
Total;;;1654.66;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;63.10;42.25 %;
7.0%;;;86.24;57.75 %;
Total;;;149.34;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;191;978.40;54.24 %;0.00
Maestro;;39;445.10;24.67 %;0.00
MasterCard;;8;114.80;6.36 %;0.00
Visa;;14;154.50;8.56 %;0.00
Visa Electron;;8;111.20;6.16 %;0.00
Total;;260;1804.00;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;605.90;35.39 %;0.00
Laura;;;329.60;19.25 %;0.00
Martin;;;23.20;1.36 %;0.00
Mik;;;355.30;20.75 %;0.00
Sebastian;;;398.00;23.25 %;0.00
Total;;;1712.00;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;2;7.00;100.00 %;
Total;;2;7.00;100.00 %;
;;;;
Rabatte;;;;;
Personal 1/2 Preis;;2;15.20;100.00 %;
Total;;2;15.20;100.00 %;
;;;;
Tische;;;;;
Theke;;260;1804.00;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;727;1027.82;56.97 %;;0;0.00;;727;1027.82
Sonstiges;;45;573.58;31.79 %;;0;0.00;;45;573.58
Speisen;;65;202.60;11.23 %;;0;0.00;;65;202.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;357;626.30;34.72 %;;0;0.00;;357;626.30
Röstkaffee;;44;566.58;31.41 %;;0;0.00;;44;566.58
Hafer;;146;302.72;16.78 %;;0;0.00;;146;302.72
Speisen;;65;202.60;11.23 %;;0;0.00;;65;202.60
Kaffee;;214;74.40;4.12 %;;0;0.00;;214;74.40
decaf;;5;14.40;0.80 %;;0;0.00;;5;14.40
Non Kaffee;;5;10.00;0.55 %;;0;0.00;;5;10.00
Equipment;;1;7.00;0.39 %;;0;0.00;;1;7.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;65;208.00;11.53 %;;0;0.00;;65;208.00
ReCup ausgeben ´;0;139;139.00;7.71 %;;0;0.00;;139;139.00
Cappuccino groß;0;35;133.00;7.37 %;;0;0.00;;35;133.00
MUYU 250g;0;9;85.50;4.74 %;;0;0.00;;9;85.50
Hafer Cappuccino;0;26;83.20;4.61 %;;0;0.00;;26;83.20
Caffé Latte;0;22;77.00;4.27 %;;0;0.00;;22;77.00
La Esperanza 250g;0;6;74.30;4.12 %;;0;0.00;;6;74.30
MUYU 500g;0;4;72.00;3.99 %;;0;0.00;;4;72.00
ReCup ausgeben;0;66;66.00;3.66 %;;0;0.00;;66;66.00
ReCup ausgeben*;0;61;61.00;3.38 %;;0;0.00;;61;61.00
Flat White;0;16;60.80;3.37 %;;0;0.00;;16;60.80
Banana Bread PINE NUT;0;15;57.00;3.16 %;;0;0.00;;15;57.00
Kanelbullar;0;17;54.40;3.02 %;;0;0.00;;17;54.40
Hafer Flat White;0;15;53.22;2.95 %;;0;0.00;;15;53.22
Hafer Cappuccino Groß;0;13;49.40;2.74 %;;0;0.00;;13;49.40
K‘OH 250g;0;3;46.50;2.58 %;;0;0.00;;3;46.50
Don Primitivo 250g;0;3;43.50;2.41 %;;0;0.00;;3;43.50
Hafer Caffè Latte;0;11;38.50;2.13 %;;0;0.00;;11;38.50
Caffé Latte doppelt;0;10;38.00;2.11 %;;0;0.00;;10;38.00
Croissant;0;16;35.20;1.95 %;;0;0.00;;16;35.20
EL MORENO 250g;0;3;34.50;1.91 %;;0;0.00;;3;34.50
Ouro 500g;0;2;34.00;1.88 %;;0;0.00;;2;34.00
MUYU 1000g;0;1;34.00;1.88 %;;0;0.00;;1;34.00
Kakao;0;9;31.50;1.75 %;;0;0.00;;9;31.50
Pain au chocolat;0;11;30.80;1.71 %;;0;0.00;;11;30.80
PAPAKUCHI 250g;0;3;28.50;1.58 %;;0;0.00;;3;28.50
ALT Sandwich;0;6;25.20;1.40 %;;0;0.00;;6;25.20
Café Crème;0;10;25.00;1.39 %;;0;0.00;;10;25.00
FINCA ISNUL 250g;0;2;23.00;1.27 %;;0;0.00;;2;23.00
EL CARMEN Decaf 500g;0;1;22.00;1.22 %;;0;0.00;;1;22.00
Americano;0;8;20.00;1.11 %;;0;0.00;;8;20.00
Ouro 250g;0;2;18.00;1.00 %;;0;0.00;;2;18.00
Guardabaxo 250g;0;2;14.28;0.79 %;;0;0.00;;2;14.28
MUYU BOTTLE 365;0;1;13.50;0.75 %;;0;0.00;;1;13.50
Filterkaffee;0;5;12.50;0.69 %;;0;0.00;;5;12.50
Espresso single;0;6;12.00;0.67 %;;0;0.00;;6;12.00
ATSABE 250g;0;1;11.50;0.64 %;;0;0.00;;1;11.50
EL CARMEN Decaf 250g;0;1;11.50;0.64 %;;0;0.00;;1;11.50
Hafer Caffè Latte Groß;0;3;11.40;0.63 %;;0;0.00;;3;11.40
Espresso Macchiato;0;4;10.00;0.55 %;;0;0.00;;4;10.00
Doppio;0;4;10.00;0.55 %;;0;0.00;;4;10.00
Hafer Espresso Macchiato;0;4;10.00;0.55 %;;0;0.00;;4;10.00
Decaf Cappuccino *;0;3;9.60;0.53 %;;0;0.00;;3;9.60
Americano groß;0;3;9.00;0.50 %;;0;0.00;;3;9.00
AeroPress filter;0;1;7.00;0.39 %;;0;0.00;;1;7.00
Hafer Kakao;0;2;7.00;0.39 %;;0;0.00;;2;7.00
Café Crème groß;0;2;6.00;0.33 %;;0;0.00;;2;6.00
Hand Brew;0;1;4.50;0.25 %;;0;0.00;;1;4.50
Decaf Flat White *;0;1;3.80;0.21 %;;0;0.00;;1;3.80
Green tea;0;1;3.50;0.19 %;;0;0.00;;1;3.50
Lemon Tea;0;1;3.50;0.19 %;;0;0.00;;1;3.50
Coldbrew;0;1;3.40;0.19 %;;0;0.00;;1;3.40
Deckel ReCup;0;2;2.00;0.11 %;;0;0.00;;2;2.00
ReCup ausgeben **;0;1;1.00;0.06 %;;0;0.00;;1;1.00
ReCup ausgeben* 1;0;1;1.00;0.06 %;;0;0.00;;1;1.00
ReCup annehmen*;0;11;-11.00;-0.61 %;;0;0.00;;11;-11.00
ReCup annehmen ´;0;61;-61.00;-3.38 %;;0;0.00;;61;-61.00
ReCup annehmen;0;104;-104.00;-5.76 %;;0;0.00;;104;-104.00
;;;;
