;von;bis;;
Datum:;04.05.2021;04.05.2021;;
Enthalt Z;320;320;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1176.45;96.00 %;
Auslagen;;;49.00;4.00 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;49.00;4.00 %;
19.0%;;;263.50;21.50 %;
7.0%;;;912.95;74.50 %;
Total;;;1225.45;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;49.00;4.36 %;
19.0%;;;221.36;19.70 %;
7.0%;;;853.17;75.94 %;
Total;;;1123.53;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;42.14;41.35 %;
7.0%;;;59.78;58.65 %;
Total;;;101.92;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;147;696.80;56.86 %;0.00
Maestro;;20;290.85;23.73 %;0.00
MasterCard;;11;94.10;7.68 %;0.00
Mehrzweckgutschein;;1;10.00;0.82 %;0.00
Visa;;6;45.90;3.75 %;0.00
Visa Electron;;6;87.80;7.16 %;0.00
Total;;191;1225.45;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;120.90;10.28 %;0.00
Khalid;;;484.90;41.22 %;0.00
Martin;;;254.65;21.65 %;0.00
Mik;;;5.40;0.46 %;0.00
Robin;;;19.50;1.66 %;0.00
Sebastian;;;291.10;24.74 %;0.00
Total;;;1176.45;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
dannies bday;;1;4.65;100.00 %;
Total;;1;4.65;100.00 %;
;;;;
Tische;;;;;
Theke;;190;1225.45;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;516;635.65;51.87 %;;0;0.00;;516;635.65
Sonstiges;;38;482.00;39.33 %;;0;0.00;;38;482.00
Speisen;;35;107.80;8.80 %;;0;0.00;;35;107.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;34;462.00;37.70 %;;0;0.00;;34;462.00
Milchmischgetränke;;251;394.15;32.16 %;;0;0.00;;251;394.15
Hafer;;105;146.70;11.97 %;;0;0.00;;105;146.70
Speisen;;35;107.80;8.80 %;;0;0.00;;35;107.80
Kaffee;;152;77.50;6.32 %;;0;0.00;;152;77.50
Gutscheine;;4;20.00;1.63 %;;0;0.00;;4;20.00
decaf;;6;13.80;1.13 %;;0;0.00;;6;13.80
Non Kaffee;;2;3.50;0.29 %;;0;0.00;;2;3.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;53;168.80;13.77 %;;0;0.00;;53;168.80
ReCup ausgeben ´;0;101;101.00;8.24 %;;0;0.00;;101;101.00
MUYU 1000g;0;2;68.00;5.55 %;;0;0.00;;2;68.00
Cappuccino groß;0;17;64.60;5.27 %;;0;0.00;;17;64.60
Hafer Cappuccino;0;20;63.20;5.16 %;;0;0.00;;20;63.20
Flat White;0;15;57.00;4.65 %;;0;0.00;;15;57.00
Villa Maria 250g;0;4;50.00;4.08 %;;0;0.00;;4;50.00
Don Primitivo 250g;0;3;43.50;3.55 %;;0;0.00;;3;43.50
ReCup ausgeben;0;42;42.00;3.43 %;;0;0.00;;42;42.00
FINCA ISNUL 250g;0;3;34.50;2.82 %;;0;0.00;;3;34.50
EL MORENO 250g;0;3;34.50;2.82 %;;0;0.00;;3;34.50
ReCup ausgeben*;0;33;33.00;2.69 %;;0;0.00;;33;33.00
Banana Bread PINE NUT;0;8;30.40;2.48 %;;0;0.00;;8;30.40
Hafer Flat White;0;8;29.45;2.40 %;;0;0.00;;8;29.45
MUYU 250g;0;3;28.50;2.33 %;;0;0.00;;3;28.50
Caffé Latte;0;8;28.00;2.28 %;;0;0.00;;8;28.00
Ouro 250g;0;3;27.00;2.20 %;;0;0.00;;3;27.00
Croissant;0;11;24.20;1.97 %;;0;0.00;;11;24.20
ATSABE 250g;0;2;23.00;1.88 %;;0;0.00;;2;23.00
EL CARMEN Decaf 250g;0;2;23.00;1.88 %;;0;0.00;;2;23.00
Hafer Cappuccino Groß;0;6;22.80;1.86 %;;0;0.00;;6;22.80
Kanelbullar;0;7;22.40;1.83 %;;0;0.00;;7;22.40
FINCA ISNUL 500g;0;1;22.00;1.80 %;;0;0.00;;1;22.00
5€ Gutschein;0;4;20.00;1.63 %;;0;0.00;;4;20.00
Guardabaxo 250g;0;2;19.00;1.55 %;;0;0.00;;2;19.00
MUYU 500g;0;1;18.00;1.47 %;;0;0.00;;1;18.00
Guardabaxo 500g;0;1;18.00;1.47 %;;0;0.00;;1;18.00
Café Crème;0;7;17.50;1.43 %;;0;0.00;;7;17.50
Espresso Macchiato;0;7;17.50;1.43 %;;0;0.00;;7;17.50
Filterkaffee;0;7;17.50;1.43 %;;0;0.00;;7;17.50
ALT Sandwich;0;4;16.80;1.37 %;;0;0.00;;4;16.80
K‘HO 250g;0;1;15.50;1.26 %;;0;0.00;;1;15.50
Americano groß;0;5;15.00;1.22 %;;0;0.00;;5;15.00
Americano;0;6;15.00;1.22 %;;0;0.00;;6;15.00
Kakao;0;4;14.00;1.14 %;;0;0.00;;4;14.00
Hafer Caffè Latte;0;4;14.00;1.14 %;;0;0.00;;4;14.00
Pain au chocolat;0;5;14.00;1.14 %;;0;0.00;;5;14.00
MUYU BOTTLE 365;0;1;13.50;1.10 %;;0;0.00;;1;13.50
Gover Cueva 250g;0;1;12.50;1.02 %;;0;0.00;;1;12.50
LUA CLARA 250g;0;1;11.50;0.94 %;;0;0.00;;1;11.50
Decaf Flat White *;0;2;7.60;0.62 %;;0;0.00;;2;7.60
Caffé Latte doppelt;0;2;7.60;0.62 %;;0;0.00;;2;7.60
Hafer Caffè Latte Groß;0;2;7.60;0.62 %;;0;0.00;;2;7.60
Doppio;0;3;7.50;0.61 %;;0;0.00;;3;7.50
Doppio Macchiato;0;2;6.00;0.49 %;;0;0.00;;2;6.00
Hand Brew;0;1;4.50;0.37 %;;0;0.00;;1;4.50
Black tea;0;1;3.50;0.29 %;;0;0.00;;1;3.50
Hafer Kakao;0;1;3.50;0.29 %;;0;0.00;;1;3.50
