;von;bis;;
Datum:;16.07.2021;16.07.2021;;
Enthalt Z;394;394;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1725.50;98.85 %;
Auslagen;;;20.00;1.15 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;20.00;1.15 %;
19.0%;;;559.40;32.05 %;
7.0%;;;1166.10;66.81 %;
Total;;;1745.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;20.00;1.27 %;
19.0%;;;470.04;29.75 %;
7.0%;;;1089.96;68.98 %;
Total;;;1580.00;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;89.36;53.99 %;
7.0%;;;76.14;46.01 %;
Total;;;165.50;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;144;826.30;47.34 %;0.00
Maestro;;51;615.70;35.27 %;0.00
MasterCard;;9;65.30;3.74 %;0.00
Visa;;14;170.00;9.74 %;0.00
Visa Electron;;10;68.20;3.91 %;0.00
Total;;228;1745.50;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;525.00;30.43 %;0.00
Laura;;;344.00;19.94 %;0.00
Robin;;;428.70;24.84 %;0.00
Sebastian;;;427.80;24.79 %;0.00
Total;;;1725.50;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;2;5.00;42.37 %;
Änderung durch Gast;;2;6.80;57.63 %;
Total;;4;11.80;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;222;1704.30;97.64 %;
Tisch 7;;6;41.20;2.36 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;377;1036.80;59.40 %;;0;0.00;;377;1036.80
Sonstiges;;32;414.50;23.75 %;;0;0.00;;32;414.50
Speisen;;90;294.20;16.85 %;;0;0.00;;90;294.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;140;439.00;25.15 %;;0;0.00;;140;439.00
Röstkaffee;;28;371.50;21.28 %;;0;0.00;;28;371.50
Speisen;;90;294.20;16.85 %;;0;0.00;;90;294.20
Hafer;;94;269.20;15.42 %;;0;0.00;;94;269.20
Kaffee;;105;186.40;10.68 %;;0;0.00;;105;186.40
Summer;;16;72.40;4.15 %;;0;0.00;;16;72.40
Non Kaffee;;20;64.60;3.70 %;;0;0.00;;20;64.60
Equipment;;1;28.00;1.60 %;;0;0.00;;1;28.00
Gutscheine;;3;15.00;0.86 %;;0;0.00;;3;15.00
Decaf;;2;5.20;0.30 %;;0;0.00;;2;5.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;46;156.40;8.96 %;;0;0.00;;46;156.40
Hafer Cappuccino;0;32;108.80;6.23 %;;0;0.00;;32;108.80
Cappuccino groß;0;19;79.80;4.57 %;;0;0.00;;19;79.80
Americano;0;27;75.60;4.33 %;;0;0.00;;27;75.60
MUYU 250g;0;7;66.50;3.81 %;;0;0.00;;7;66.50
Don Primitivo 250g;0;4;58.00;3.32 %;;0;0.00;;4;58.00
Flat White;0;15;57.00;3.27 %;;0;0.00;;15;57.00
Banana Bread PINE NUT;0;15;57.00;3.27 %;;0;0.00;;15;57.00
Kanelbullar;0;17;54.40;3.12 %;;0;0.00;;17;54.40
Caffé Latte;0;15;54.00;3.09 %;;0;0.00;;15;54.00
Croissant;0;24;52.80;3.02 %;;0;0.00;;24;52.80
Flat White auf Eis;0;12;50.40;2.89 %;;0;0.00;;12;50.40
Kuchen Maple Carrot;0;10;48.00;2.75 %;;0;0.00;;10;48.00
Hafer Cappuccino Groß;0;11;46.20;2.65 %;;0;0.00;;11;46.20
Hafer Flat White auf Eis;0;10;42.00;2.41 %;;0;0.00;;10;42.00
MUYU BOTTLE 365;0;3;40.50;2.32 %;;0;0.00;;3;40.50
EL MORENO 250g;0;3;34.50;1.98 %;;0;0.00;;3;34.50
MIKOLAJ Limonade;0;9;34.20;1.96 %;;0;0.00;;9;34.20
Hafer Flat White;0;9;34.20;1.96 %;;0;0.00;;9;34.20
MUYU 1000g;0;1;34.00;1.95 %;;0;0.00;;1;34.00
Espresso Doppio;0;13;33.80;1.94 %;;0;0.00;;13;33.80
Nimbus Cocktail;0;6;32.40;1.86 %;;0;0.00;;6;32.40
Lemon Poppy Cake;0;6;28.80;1.65 %;;0;0.00;;6;28.80
Tasse M;0;1;28.00;1.60 %;;0;0.00;;1;28.00
Villa Maria 500g;0;1;24.00;1.37 %;;0;0.00;;1;24.00
Filterkaffee;0;9;23.40;1.34 %;;0;0.00;;9;23.40
ATSABE 250g;0;2;23.00;1.32 %;;0;0.00;;2;23.00
Izuba 250g;0;2;23.00;1.32 %;;0;0.00;;2;23.00
Espresso Single;0;10;22.00;1.26 %;;0;0.00;;10;22.00
Pain au Chocolat;0;7;19.60;1.12 %;;0;0.00;;7;19.60
Cold Brew;0;5;19.00;1.09 %;;0;0.00;;5;19.00
MUYU 500g;0;1;18.00;1.03 %;;0;0.00;;1;18.00
Hafer Caffè Latte;0;5;18.00;1.03 %;;0;0.00;;5;18.00
ReCup ausgeben ´;0;18;18.00;1.03 %;;0;0.00;;18;18.00
Caffé Latte doppelt;0;4;16.00;0.92 %;;0;0.00;;4;16.00
Brownie;0;5;16.00;0.92 %;;0;0.00;;5;16.00
K‘HO 250g;0;1;15.50;0.89 %;;0;0.00;;1;15.50
5€ Gutschein;0;3;15.00;0.86 %;;0;0.00;;3;15.00
ReCup ausgeben*;0;15;15.00;0.86 %;;0;0.00;;15;15.00
Green Tea;0;3;13.80;0.79 %;;0;0.00;;3;13.80
Espresso Tonic;0;3;12.60;0.72 %;;0;0.00;;3;12.60
Villa Maria 250g;0;1;12.50;0.72 %;;0;0.00;;1;12.50
Gover Cueva 250g;0;1;12.50;0.72 %;;0;0.00;;1;12.50
Americano groß;0;4;12.00;0.69 %;;0;0.00;;4;12.00
Raw Cake;0;2;9.60;0.55 %;;0;0.00;;2;9.60
Espresso Macchiato;0;4;9.60;0.55 %;;0;0.00;;4;9.60
Guardabaxo 250g;0;1;9.50;0.54 %;;0;0.00;;1;9.50
Hand Brew;0;2;9.20;0.53 %;;0;0.00;;2;9.20
Apfelschorle;0;3;9.00;0.52 %;;0;0.00;;3;9.00
Hafer Espresso Macchiato groß;0;3;9.00;0.52 %;;0;0.00;;3;9.00
Flat White auf Eis.;0;2;8.40;0.48 %;;0;0.00;;2;8.40
ReCup ausgeben;0;8;8.00;0.46 %;;0;0.00;;8;8.00
Kakao groß;0;2;8.00;0.46 %;;0;0.00;;2;8.00
Cookie;0;4;8.00;0.46 %;;0;0.00;;4;8.00
Coldbrew;0;2;7.60;0.44 %;;0;0.00;;2;7.60
Kinder Kakao;0;2;6.40;0.37 %;;0;0.00;;2;6.40
Espresso Doppio Macchiato;0;2;6.00;0.34 %;;0;0.00;;2;6.00
Mineralwasser;0;2;5.60;0.32 %;;0;0.00;;2;5.60
Decaf Flat White auf Eis;0;1;4.20;0.24 %;;0;0.00;;1;4.20
Hafer Kakao groß;0;1;4.00;0.23 %;;0;0.00;;1;4.00
Deckel ReCup;0;2;2.00;0.11 %;;0;0.00;;2;2.00
Extra Shot;0;2;1.20;0.07 %;;0;0.00;;2;1.20
ReCup ausgeben* 1;0;1;1.00;0.06 %;;0;0.00;;1;1.00
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup annehmen ´;0;7;-7.00;-0.40 %;;0;0.00;;7;-7.00
ReCup annehmen*;0;8;-8.00;-0.46 %;;0;0.00;;8;-8.00
ReCup annehmen;0;22;-22.00;-1.26 %;;0;0.00;;22;-22.00
;;;;
