;von;bis;;
Datum:;17.07.2021;17.07.2021;;
Enthalt Z;395;395;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2559.00;98.88 %;
Auslagen;;;28.00;1.08 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.00;0.04 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;1.08 %;
19.0%;;;443.40;17.14 %;
7.0%;;;2115.60;81.78 %;
Total;;;2587.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;1.18 %;
19.0%;;;372.62;15.67 %;
7.0%;;;1977.34;83.15 %;
Total;;;2377.96;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;70.78;33.86 %;
7.0%;;;138.26;66.14 %;
Total;;;209.04;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;191;1395.40;53.94 %;0.00
Maestro;;57;695.50;26.88 %;1.00
MasterCard;;11;101.10;3.91 %;0.00
Visa;;10;100.70;3.89 %;0.00
Visa Electron;;17;294.30;11.38 %;0.00
Total;;286;2587.00;100.00 %;1.00
;;;;
Umsatzdetails;;;;;
Anna;;;431.00;16.84 %;0.00
Annacotta;;;1064.00;41.58 %;0.00
Katharina;;;220.40;8.61 %;1.00
Raquel;;;722.00;28.21 %;0.00
Sebastian;;;121.60;4.75 %;0.00
Total;;;2559.00;100.00 %;1.00
;;;;
Stornos;;;;;
vertippt;;2;263.80;100.00 %;
Total;;2;263.80;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;286;2587.00;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;598;1407.40;54.40 %;;0;0.00;;598;1407.40
Sonstiges;;45;705.00;27.25 %;;0;0.00;;45;705.00
Speisen;;136;474.60;18.35 %;;0;0.00;;136;474.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;388;850.40;32.87 %;;0;0.00;;388;850.40
Röstkaffee;;43;690.00;26.67 %;;0;0.00;;43;690.00
Speisen;;136;474.60;18.35 %;;0;0.00;;136;474.60
Kaffee;;106;211.60;8.18 %;;0;0.00;;106;211.60
Hafer;;63;186.60;7.21 %;;0;0.00;;63;186.60
Summer;;25;102.60;3.97 %;;0;0.00;;25;102.60
Non Kaffee;;15;53.40;2.06 %;;0;0.00;;15;53.40
Gutscheine;;2;15.00;0.58 %;;0;0.00;;2;15.00
Decaf;;1;2.80;0.11 %;;0;0.00;;1;2.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;121;411.40;15.90 %;;0;0.00;;121;411.40
Flat White;0;28;106.40;4.11 %;;0;0.00;;28;106.40
Caffé Latte;0;27;97.20;3.76 %;;0;0.00;;27;97.20
EL MORENO 250g;0;8;92.00;3.56 %;;0;0.00;;8;92.00
FINCA ISNUL 1000g;0;2;84.00;3.25 %;;0;0.00;;2;84.00
Cappuccino groß;0;19;79.80;3.08 %;;0;0.00;;19;79.80
Hafer Cappuccino;0;23;78.20;3.02 %;;0;0.00;;23;78.20
ReCup ausgeben ´;0;78;78.00;3.02 %;;0;0.00;;78;78.00
Americano;0;27;75.60;2.92 %;;0;0.00;;27;75.60
MUYU 500g;0;4;72.00;2.78 %;;0;0.00;;4;72.00
Banana Bread PINE NUT;0;18;68.40;2.64 %;;0;0.00;;18;68.40
MUYU 1000g;0;2;68.00;2.63 %;;0;0.00;;2;68.00
Flat White auf Eis;0;16;67.20;2.60 %;;0;0.00;;16;67.20
Kanelbullar;0;20;64.00;2.47 %;;0;0.00;;20;64.00
Kuchen Maple Carrot;0;12;57.60;2.23 %;;0;0.00;;12;57.60
Cold Brew;0;15;57.00;2.20 %;;0;0.00;;15;57.00
Pain au Chocolat;0;20;56.00;2.16 %;;0;0.00;;20;56.00
Hafer Flat White;0;14;53.20;2.06 %;;0;0.00;;14;53.20
Lemon Poppy Cake;0;10;48.00;1.86 %;;0;0.00;;10;48.00
Blue cheesecake;0;10;48.00;1.86 %;;0;0.00;;10;48.00
Don Primitivo 250g;0;3;43.50;1.68 %;;0;0.00;;3;43.50
Raw Cake;0;9;43.20;1.67 %;;0;0.00;;9;43.20
Izuba 1kg;0;1;42.00;1.62 %;;0;0.00;;1;42.00
Croissant;0;17;37.40;1.45 %;;0;0.00;;17;37.40
FINCA ISNUL 250g;0;3;34.50;1.33 %;;0;0.00;;3;34.50
Izuba 250g;0;3;34.50;1.33 %;;0;0.00;;3;34.50
Kakao groß;0;8;32.00;1.24 %;;0;0.00;;8;32.00
Caffé Latte doppelt;0;8;32.00;1.24 %;;0;0.00;;8;32.00
Espresso Macchiato;0;13;31.20;1.21 %;;0;0.00;;13;31.20
K‘HO 250g;0;2;31.00;1.20 %;;0;0.00;;2;31.00
MUYU 250g;0;3;28.50;1.10 %;;0;0.00;;3;28.50
Guardabaxo 250g;0;3;28.50;1.10 %;;0;0.00;;3;28.50
Espresso Single;0;12;26.40;1.02 %;;0;0.00;;12;26.40
Villa Maria 250g;0;2;25.00;0.97 %;;0;0.00;;2;25.00
Gover Cueva 500g;0;1;24.00;0.93 %;;0;0.00;;1;24.00
Americano groß;0;8;24.00;0.93 %;;0;0.00;;8;24.00
EL CARMEN Decaf 250g;0;2;23.00;0.89 %;;0;0.00;;2;23.00
Brownie;0;7;22.40;0.87 %;;0;0.00;;7;22.40
Kinder Kakao;0;7;22.40;0.87 %;;0;0.00;;7;22.40
FINCA ISNUL 500g;0;1;22.00;0.85 %;;0;0.00;;1;22.00
Flat White auf Eis.;0;5;21.00;0.81 %;;0;0.00;;5;21.00
Hafer Flat White auf Eis;0;5;21.00;0.81 %;;0;0.00;;5;21.00
Espresso Doppio;0;8;20.80;0.80 %;;0;0.00;;8;20.80
Cookie;0;10;20.00;0.77 %;;0;0.00;;10;20.00
Black Tea;0;4;18.40;0.71 %;;0;0.00;;4;18.40
Hafer Caffè Latte;0;5;18.00;0.70 %;;0;0.00;;5;18.00
Nimbus Cocktail;0;3;16.20;0.63 %;;0;0.00;;3;16.20
Espresso Doppio Macchiato;0;5;15.00;0.58 %;;0;0.00;;5;15.00
ReCup ausgeben*;0;14;14.00;0.54 %;;0;0.00;;14;14.00
Hand Brew;0;3;13.80;0.53 %;;0;0.00;;3;13.80
MUYU BOTTLE 365;0;1;13.50;0.52 %;;0;0.00;;1;13.50
Gover Cueva 250g;0;1;12.50;0.48 %;;0;0.00;;1;12.50
