;von;bis;;
Datum:;20.07.2021;20.07.2021;;
Enthalt Z;398;398;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1717.50;99.83 %;
Auslagen;;;2.00;0.12 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.00;0.06 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;2.00;0.12 %;
19.0%;;;381.40;22.18 %;
7.0%;;;1336.10;77.70 %;
Total;;;1719.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;2.00;0.13 %;
19.0%;;;320.45;20.39 %;
7.0%;;;1248.85;79.48 %;
Total;;;1571.30;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;60.95;41.13 %;
7.0%;;;87.25;58.87 %;
Total;;;148.20;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;142;753.10;43.80 %;0.00
Maestro;;58;553.20;32.17 %;0.00
MasterCard;;6;161.50;9.39 %;0.00
Mehrzweckgutschein;;1;1.30;0.08 %;0.00
Visa;;12;118.60;6.90 %;1.00
Visa Electron;;11;131.80;7.67 %;0.00
Total;;230;1719.50;100.00 %;1.00
;;;;
Umsatzdetails;;;;;
Mik;;;35.50;2.07 %;0.00
Moritz;;;101.80;5.93 %;0.00
Sebastian;;;917.70;53.43 %;1.00
Slobo;;;662.50;38.57 %;0.00
Total;;;1717.50;100.00 %;1.00
;;;;
Stornos;;;;;
vertippt;;1;3.80;100.00 %;
Total;;1;3.80;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;2.80;100.00 %;
Total;;1;2.80;100.00 %;
;;;;
Tische;;;;;
Theke;;228;1692.90;98.45 %;
Tisch 7;;1;26.60;1.55 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;377;901.80;52.45 %;;0;0.00;;377;901.80
Sonstiges;;33;584.70;34.00 %;;0;0.00;;33;584.70
Speisen;;81;233.00;13.55 %;;0;0.00;;81;233.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;33;584.70;34.00 %;;0;0.00;;33;584.70
Milchmischgetränke;;180;460.00;26.75 %;;0;0.00;;180;460.00
Hafer;;77;237.20;13.79 %;;0;0.00;;77;237.20
Speisen;;81;233.00;13.55 %;;0;0.00;;81;233.00
Kaffee;;91;112.00;6.51 %;;0;0.00;;91;112.00
Summer;;15;65.40;3.80 %;;0;0.00;;15;65.40
Non Kaffee;;14;27.20;1.58 %;;0;0.00;;14;27.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
MUYU 1000g;0;6;204.00;11.86 %;;0;0.00;;6;204.00
Cappuccino;0;48;163.20;9.49 %;;0;0.00;;48;163.20
Flat White auf Eis;0;30;126.00;7.33 %;;0;0.00;;30;126.00
MUYU BOTTLE 365;0;5;67.50;3.93 %;;0;0.00;;5;67.50
Flat White;0;16;60.80;3.54 %;;0;0.00;;16;60.80
Banana Bread PINE NUT;0;16;60.80;3.54 %;;0;0.00;;16;60.80
MUYU 250g;0;6;57.00;3.31 %;;0;0.00;;6;57.00
Hafer Flat White;0;15;57.00;3.31 %;;0;0.00;;15;57.00
Hafer Flat White auf Eis;0;13;54.60;3.18 %;;0;0.00;;13;54.60
Hafer Cappuccino;0;15;51.00;2.97 %;;0;0.00;;15;51.00
Gover Cueva 500g;0;2;48.00;2.79 %;;0;0.00;;2;48.00
Caffé Latte;0;13;46.80;2.72 %;;0;0.00;;13;46.80
Kanelbullar;0;14;44.80;2.61 %;;0;0.00;;14;44.80
Izuba 1kg;0;1;42.00;2.44 %;;0;0.00;;1;42.00
Croissant;0;19;41.80;2.43 %;;0;0.00;;19;41.80
Espresso Tonic;0;9;37.80;2.20 %;;0;0.00;;9;37.80
Cappuccino groß;0;9;37.80;2.20 %;;0;0.00;;9;37.80
Americano;0;13;36.40;2.12 %;;0;0.00;;13;36.40
MUYU 500g;0;2;36.00;2.09 %;;0;0.00;;2;36.00
Izuba 250g;0;3;34.50;2.01 %;;0;0.00;;3;34.50
Pain au Chocolat;0;12;33.60;1.95 %;;0;0.00;;12;33.60
ReCup ausgeben ´;0;33;33.00;1.92 %;;0;0.00;;33;33.00
Hafer Cappuccino Groß;0;7;29.40;1.71 %;;0;0.00;;7;29.40
Hafer Caffè Latte;0;8;28.80;1.67 %;;0;0.00;;8;28.80
Guardabaxo 250g;0;3;28.50;1.66 %;;0;0.00;;3;28.50
Villa Maria 250g;0;2;25.00;1.45 %;;0;0.00;;2;25.00
FINCA ISNUL 500g;0;1;22.00;1.28 %;;0;0.00;;1;22.00
ATSABE 250g;0;2;20.20;1.17 %;;0;0.00;;2;20.20
Cookie;0;10;20.00;1.16 %;;0;0.00;;10;20.00
Brownie;0;6;19.20;1.12 %;;0;0.00;;6;19.20
Espresso Macchiato;0;8;19.20;1.12 %;;0;0.00;;8;19.20
Filterkaffee;0;7;18.20;1.06 %;;0;0.00;;7;18.20
Nimbus Cocktail;0;3;16.20;0.94 %;;0;0.00;;3;16.20
Espresso Doppio;0;6;15.60;0.91 %;;0;0.00;;6;15.60
Espresso Doppio Macchiato;0;5;15.00;0.87 %;;0;0.00;;5;15.00
ReCup ausgeben*;0;14;14.00;0.81 %;;0;0.00;;14;14.00
Scone;0;4;12.80;0.74 %;;0;0.00;;4;12.80
Americano groß;0;4;12.00;0.70 %;;0;0.00;;4;12.00
MIKOLAJ Limonade;0;3;11.40;0.66 %;;0;0.00;;3;11.40
Cold Brew;0;3;11.40;0.66 %;;0;0.00;;3;11.40
ReCup ausgeben;0;11;11.00;0.64 %;;0;0.00;;11;11.00
Espresso Single;0;5;11.00;0.64 %;;0;0.00;;5;11.00
Apfelschorle;0;3;9.00;0.52 %;;0;0.00;;3;9.00
Kakao groß;0;2;8.00;0.47 %;;0;0.00;;2;8.00
Kinder Kakao;0;2;6.40;0.37 %;;0;0.00;;2;6.40
ReCup ausgeben **;0;5;5.00;0.29 %;;0;0.00;;5;5.00
Hand Brew;0;1;4.60;0.27 %;;0;0.00;;1;4.60
Caffé Latte doppelt;0;1;4.00;0.23 %;;0;0.00;;1;4.00
Hafer Espresso Macchiato groß;0;1;3.00;0.17 %;;0;0.00;;1;3.00
Mineralwasser;0;1;2.80;0.16 %;;0;0.00;;1;2.80
Hafer Espresso Macchiato;0;1;2.40;0.14 %;;0;0.00;;1;2.40
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup annehmen **;0;1;-1.00;-0.06 %;;0;0.00;;1;-1.00
ReCup annehmen*;0;3;-3.00;-0.17 %;;0;0.00;;3;-3.00
ReCup annehmen ´;0;26;-26.00;-1.51 %;;0;0.00;;26;-26.00
ReCup annehmen;0;31;-31.00;-1.80 %;;0;0.00;;31;-31.00
;;;;
