;von;bis;;
Datum:;13.09.2021;13.09.2021;;
Enthalt Z;454;454;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1379.40;95.90 %;
Auslagen;;;59.00;4.10 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;59.00;4.10 %;
19.0%;;;408.80;28.42 %;
7.0%;;;970.60;67.48 %;
Total;;;1438.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;59.00;4.50 %;
19.0%;;;343.49;26.23 %;
7.0%;;;907.22;69.27 %;
Total;;;1309.71;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;65.31;50.75 %;
7.0%;;;63.38;49.25 %;
Total;;;128.69;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;140;843.80;58.66 %;0.00
Maestro;;29;286.60;19.92 %;0.00
MasterCard;;9;72.60;5.05 %;0.00
Visa;;12;148.00;10.29 %;0.00
Visa Electron;;8;87.40;6.08 %;0.00
Total;;198;1438.40;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Annacotta;;;649.70;47.10 %;0.00
Moritz;;;59.40;4.31 %;0.00
Raquel;;;167.30;12.13 %;0.00
Robin;;;503.00;36.47 %;0.00
Total;;;1379.40;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;2;-2.00;100.00 %;
Total;;2;-2.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;6.00;100.00 %;
Total;;1;6.00;100.00 %;
;;;;
Tische;;;;;
Theke;;198;1438.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;328;878.40;61.07 %;;22;63.20;;306;815.20
Sonstiges;;23;371.00;25.79 %;;0;0.00;;23;371.00
Speisen;;66;189.00;13.14 %;;3;7.60;;63;181.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;170;470.20;32.69 %;;7;26.20;;163;444.00
Röstkaffee;;21;336.00;23.36 %;;0;0.00;;21;336.00
Speisen;;66;189.00;13.14 %;;3;7.60;;63;181.40
Hafer;;62;178.00;12.37 %;;12;29.20;;50;148.80
Kaffee;;78;175.00;12.17 %;;3;7.80;;75;167.20
Non Kaffee;;15;40.60;2.82 %;;0;0.00;;15;40.60
Gutscheine;;2;35.00;2.43 %;;0;0.00;;2;35.00
Summer;;3;14.60;1.02 %;;0;0.00;;3;14.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;64;217.60;15.13 %;;4;13.60;;60;204.00
Flat White auf Eis;0;19;79.80;5.55 %;;2;8.40;;17;71.40
Hafer Cappuccino;0;20;68.00;4.73 %;;7;23.80;;13;44.20
MUYU 1000g;0;2;68.00;4.73 %;;0;0.00;;2;68.00
Caffé Latte;0;17;61.20;4.25 %;;0;0.00;;17;61.20
Hafer Flat White auf Eis;0;13;54.60;3.80 %;;2;8.40;;11;46.20
Americano;0;15;42.00;2.92 %;;1;2.80;;14;39.20
Croissant;0;19;41.80;2.91 %;;2;4.40;;17;37.40
Flat White;0;11;41.80;2.91 %;;0;0.00;;11;41.80
Kanelbullar;0;13;41.60;2.89 %;;1;3.20;;12;38.40
Banana Bread PINE NUT;0;10;38.00;2.64 %;;0;0.00;;10;38.00
German Carranza 250g;0;2;35.00;2.43 %;;0;0.00;;2;35.00
Lucia Dias 1000g;0;1;34.00;2.36 %;;0;0.00;;1;34.00
Cappuccino groß;0;8;33.60;2.34 %;;1;4.20;;7;29.40
Hafer Flat White;0;8;30.40;2.11 %;;0;0.00;;8;30.40
Shakisso 500g;0;1;30.00;2.09 %;;0;0.00;;1;30.00
ReCup ausgeben ´;0;29;29.00;2.02 %;;0;0.00;;29;29.00
MUYU 250g;0;3;28.50;1.98 %;;0;0.00;;3;28.50
Lucia Dias 250g;0;3;28.50;1.98 %;;0;0.00;;3;28.50
Espresso Single;0;12;26.40;1.84 %;;0;0.00;;12;26.40
Filterkaffee;0;10;26.00;1.81 %;;0;0.00;;10;26.00
25€ Gutschein;0;1;25.00;1.74 %;;0;0.00;;1;25.00
Villa Maria 500g;0;1;24.00;1.67 %;;0;0.00;;1;24.00
Chocolate Cake;0;7;22.40;1.56 %;;0;0.00;;7;22.40
Pain au Chocolat;0;8;22.40;1.56 %;;0;0.00;;8;22.40
Villa Maria 250g;0;2;21.88;1.52 %;;0;0.00;;2;21.88
Apfelschorle;0;7;21.00;1.46 %;;0;0.00;;7;21.00
M.Morales 250g;0;2;21.00;1.46 %;;0;0.00;;2;21.00
EL MORENO 250g;0;2;20.12;1.40 %;;0;0.00;;2;20.12
Hand Brew;0;4;18.40;1.28 %;;0;0.00;;4;18.40
Caffé Latte doppelt;0;4;16.00;1.11 %;;0;0.00;;4;16.00
Espresso Doppio;0;6;15.60;1.08 %;;1;2.60;;5;13.00
Coldbrew;0;4;15.20;1.06 %;;0;0.00;;4;15.20
Espresso Macchiato;0;6;14.40;1.00 %;;1;2.40;;5;12.00
Rukira  250g;0;1;13.50;0.94 %;;0;0.00;;1;13.50
ReCup ausgeben;0;13;13.00;0.90 %;;0;0.00;;13;13.00
Scone;0;4;12.80;0.89 %;;0;0.00;;4;12.80
Izuba 250g;0;1;11.50;0.80 %;;0;0.00;;1;11.50
Mineralwasser Sprudel;0;4;11.20;0.78 %;;0;0.00;;4;11.20
Nimbus Cocktail;0;2;10.80;0.75 %;;0;0.00;;2;10.80
10€ Gutschein;0;1;10.00;0.70 %;;0;0.00;;1;10.00
Cookie;0;5;10.00;0.70 %;;0;0.00;;5;10.00
ReCup ausgeben*;0;9;9.00;0.63 %;;0;0.00;;9;9.00
Hafer Cappuccino Groß;0;2;8.40;0.58 %;;0;0.00;;2;8.40
Hafer Caffè Latte;0;2;7.20;0.50 %;;0;0.00;;2;7.20
Americano groß;0;2;6.00;0.42 %;;0;0.00;;2;6.00
Lemon Verbena Tea;0;1;4.60;0.32 %;;0;0.00;;1;4.60
Kakao groß;0;1;4.00;0.28 %;;0;0.00;;1;4.00
Hafer Kakao groß;0;1;4.00;0.28 %;;0;0.00;;1;4.00
Cold Brew;0;1;3.80;0.26 %;;0;0.00;;1;3.80
MIKOLAJ Limonade;0;1;3.80;0.26 %;;0;0.00;;1;3.80
Kinder Kakao;0;1;3.20;0.22 %;;0;0.00;;1;3.20
Espresso Doppio Macchiato;0;1;3.00;0.21 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato;0;1;2.40;0.17 %;;0;0.00;;1;2.40
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup annehmen;0;5;-5.00;-0.35 %;;0;0.00;;5;-5.00
ReCup annehmen*;0;6;-6.00;-0.42 %;;3;-3.00;;3;-3.00
ReCup annehmen ´;0;16;-16.00;-1.11 %;;0;0.00;;16;-16.00
;;;;
