;von;bis;;
Datum:;19.09.2021;19.09.2021;;
Enthalt Z;460;460;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2087.10;98.88 %;
Auslagen;;;21.00;0.99 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.70;0.13 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;21.00;1.00 %;
19.0%;;;652.00;30.93 %;
7.0%;;;1435.10;68.08 %;
Total;;;2108.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;21.00;1.10 %;
19.0%;;;547.81;28.68 %;
7.0%;;;1341.26;70.22 %;
Total;;;1910.07;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;104.19;52.61 %;
7.0%;;;93.84;47.39 %;
Total;;;198.03;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;199;1332.60;63.21 %;0.00
Maestro;;45;465.50;22.08 %;1.20
MasterCard;;3;34.60;1.64 %;0.00
Visa;;15;187.50;8.89 %;0.80
Visa Electron;;9;87.90;4.17 %;0.70
Total;;271;2108.10;100.00 %;2.70
;;;;
Umsatzdetails;;;;;
Anna;;;161.40;7.73 %;0.00
Annacotta;;;834.00;39.96 %;0.80
Emanuel;;;225.60;10.81 %;0.70
Katharina;;;323.70;15.51 %;1.20
Robin;;;542.40;25.99 %;0.00
Total;;;2087.10;100.00 %;2.70
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;271;2108.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;548;1430.00;67.83 %;;9;28.20;;539;1401.80
Speisen;;155;482.60;22.89 %;;2;9.60;;153;473.00
Sonstiges;;16;195.50;9.27 %;;0;0.00;;16;195.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;299;760.00;36.05 %;;4;14.00;;295;746.00
Speisen;;155;482.60;22.89 %;;2;9.60;;153;473.00
Hafer;;89;289.00;13.71 %;;1;3.40;;88;285.60
Kaffee;;103;254.00;12.05 %;;4;10.80;;99;243.20
Röstkaffee;;16;195.50;9.27 %;;0;0.00;;16;195.50
Non Kaffee;;34;79.60;3.78 %;;0;0.00;;34;79.60
Summer;;9;37.00;1.76 %;;0;0.00;;9;37.00
Decaf;;14;10.40;0.49 %;;0;0.00;;14;10.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;99;336.60;15.97 %;;3;10.20;;96;326.40
Caffé Latte;0;29;104.40;4.95 %;;0;0.00;;29;104.40
Flat White;0;24;91.20;4.33 %;;1;3.80;;23;87.40
Cappuccino groß;0;21;88.20;4.18 %;;0;0.00;;21;88.20
Kanelbullar;0;25;80.00;3.79 %;;0;0.00;;25;80.00
Banana Bread PINE NUT;0;21;79.80;3.79 %;;0;0.00;;21;79.80
Hafer Cappuccino;0;22;74.80;3.55 %;;1;3.40;;21;71.40
Hafer Flat White;0;18;68.40;3.24 %;;0;0.00;;18;68.40
Flat White auf Eis;0;16;67.20;3.19 %;;0;0.00;;16;67.20
ReCup ausgeben ´;0;62;62.00;2.94 %;;0;0.00;;62;62.00
Kuchen Maple Carrot;0;12;57.60;2.73 %;;2;9.60;;10;48.00
Croissant;0;25;55.00;2.61 %;;0;0.00;;25;55.00
Americano groß;0;17;51.00;2.42 %;;1;3.00;;16;48.00
Hafer Flat White auf Eis;0;12;50.40;2.39 %;;0;0.00;;12;50.40
MUYU 250g;0;5;47.50;2.25 %;;0;0.00;;5;47.50
Hafer Cappuccino Groß;0;11;46.20;2.19 %;;0;0.00;;11;46.20
Pain au Chocolat;0;16;44.80;2.13 %;;0;0.00;;16;44.80
Filterkaffee;0;17;44.20;2.10 %;;0;0.00;;17;44.20
Americano;0;15;42.00;1.99 %;;0;0.00;;15;42.00
Chocolate Cake;0;11;35.20;1.67 %;;0;0.00;;11;35.20
Raspberry Cake vegan;0;11;35.20;1.67 %;;0;0.00;;11;35.20
Apfelschorle;0;10;30.00;1.42 %;;0;0.00;;10;30.00
Espresso Single;0;13;28.60;1.36 %;;1;2.20;;12;26.40
Hand Brew;0;6;27.60;1.31 %;;0;0.00;;6;27.60
Rukira  250g;0;2;27.00;1.28 %;;0;0.00;;2;27.00
Cookie;0;13;26.00;1.23 %;;0;0.00;;13;26.00
Espresso Doppio;0;10;26.00;1.23 %;;1;2.60;;9;23.40
Caffé Latte doppelt;0;6;24.00;1.14 %;;0;0.00;;6;24.00
Izuba 250g;0;2;23.00;1.09 %;;0;0.00;;2;23.00
MIKOLAJ Limonade;0;6;22.80;1.08 %;;0;0.00;;6;22.80
Hafer Caffè Latte;0;6;21.60;1.02 %;;0;0.00;;6;21.60
Espresso Doppio Macchiato;0;7;21.00;1.00 %;;1;3.00;;6;18.00
M.Morales 500g;0;1;20.00;0.95 %;;0;0.00;;1;20.00
Brownie;0;6;19.20;0.91 %;;0;0.00;;6;19.20
Scone;0;6;19.20;0.91 %;;0;0.00;;6;19.20
Cheese Cake vegan;0;6;19.20;0.91 %;;0;0.00;;6;19.20
Cold Brew;0;5;19.00;0.90 %;;0;0.00;;5;19.00
German Carranza 250g;0;1;17.50;0.83 %;;0;0.00;;1;17.50
Mineralwasser Still;0;6;16.80;0.80 %;;0;0.00;;6;16.80
Kakao groß;0;4;16.00;0.76 %;;0;0.00;;4;16.00
Shakisso 250g;0;1;15.50;0.74 %;;0;0.00;;1;15.50
Espresso Tonic;0;3;12.60;0.60 %;;0;0.00;;3;12.60
Villa Maria 250g;0;1;12.50;0.59 %;;0;0.00;;1;12.50
Hafer Kakao groß;0;3;12.00;0.57 %;;0;0.00;;3;12.00
EL CARMEN Decaf 250g;0;1;11.50;0.55 %;;0;0.00;;1;11.50
EL MORENO 250g;0;1;11.50;0.55 %;;0;0.00;;1;11.50
Quiche;0;3;11.40;0.54 %;;0;0.00;;3;11.40
Espresso Macchiato;0;4;9.60;0.46 %;;0;0.00;;4;9.60
Lucia Dias 250g;0;1;9.50;0.45 %;;0;0.00;;1;9.50
ReCup ausgeben;0;9;9.00;0.43 %;;0;0.00;;9;9.00
Decaf Cappuccino;0;2;6.80;0.32 %;;0;0.00;;2;6.80
Kinder Kakao;0;2;6.40;0.30 %;;0;0.00;;2;6.40
ReCup ausgeben*;0;6;6.00;0.28 %;;0;0.00;;6;6.00
Hafer Espresso Macchiato groß;0;2;6.00;0.28 %;;0;0.00;;2;6.00
Nimbus Cocktail;0;1;5.40;0.26 %;;0;0.00;;1;5.40
Green Tea;0;1;4.60;0.22 %;;0;0.00;;1;4.60
Black Tea;0;1;4.60;0.22 %;;0;0.00;;1;4.60
Decaf Cappuccino Groß;0;1;4.20;0.20 %;;0;0.00;;1;4.20
Hafer Caffè Latte groß;0;1;4.00;0.19 %;;0;0.00;;1;4.00
Decaf Caffè Latte;0;1;3.60;0.17 %;;0;0.00;;1;3.60
Hafer Kinder Kakao;0;1;3.20;0.15 %;;0;0.00;;1;3.20
Decaf Americano;0;1;2.80;0.13 %;;0;0.00;;1;2.80
Mineralwasser Sprudel;0;1;2.80;0.13 %;;0;0.00;;1;2.80
Hafer Espresso Macchiato;0;1;2.40;0.11 %;;0;0.00;;1;2.40
ReCup ausgeben* 1;0;1;1.00;0.05 %;;0;0.00;;1;1.00
Milchschaum Kids;0;7;0.00;0.00 %;;0;0.00;;7;0.00
ReCup annehmen **;0;2;-2.00;-0.09 %;;0;0.00;;2;-2.00
ReCup annehmen;0;5;-5.00;-0.24 %;;0;0.00;;5;-5.00
ReCup annehmen*;0;6;-6.00;-0.28 %;;0;0.00;;6;-6.00
ReCup annehmen* 1;0;8;-8.00;-0.38 %;;0;0.00;;8;-8.00
ReCup annehmen ´;0;36;-36.00;-1.71 %;;0;0.00;;36;-36.00
;;;;
