;von;bis;;
Datum:;17.12.2021;17.12.2021;;
Enthalt Z;550;550;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2178.90;95.86 %;
Auslagen;;;94.00;4.14 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;94.00;4.14 %;
5.0%;;;25.00;1.10 %;
19.0%;;;594.40;26.15 %;
7.0%;;;1559.50;68.61 %;
Total;;;2272.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;94.00;4.53 %;
5.0%;;;23.80;1.15 %;
19.0%;;;499.44;24.07 %;
7.0%;;;1457.56;70.25 %;
Total;;;2074.80;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;1.20;0.61 %;
19.0%;;;94.96;47.94 %;
7.0%;;;101.94;51.46 %;
Total;;;198.10;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;151;866.40;38.12 %;0.00
Maestro;;63;739.40;32.53 %;0.00
MasterCard;;9;92.80;4.08 %;0.00
Visa;;13;238.20;10.48 %;0.00
Visa Electron;;26;336.10;14.79 %;0.00
Total;;262;2272.90;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anja;;;15.60;0.72 %;0.00
Anna;;;912.40;41.87 %;0.00
Lora;;;1248.90;57.32 %;0.00
Robin;;;2.00;0.09 %;0.00
Total;;;2178.90;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;12.50;81.70 %;
Änderung durch Gast;;1;2.80;18.30 %;
Total;;2;15.30;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;262;2272.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;431;1024.00;45.05 %;;47;160.20;;384;863.80
Sonstiges;;73;966.50;42.52 %;;0;0.00;;73;966.50
Speisen;;86;282.40;12.42 %;;13;44.60;;73;237.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;64;884.50;38.92 %;;0;0.00;;64;884.50
Milchmischgetränke;;202;474.60;20.88 %;;21;76.00;;181;398.60
Hafer;;132;341.20;15.01 %;;12;46.40;;120;294.80
Speisen;;86;282.40;12.42 %;;13;44.60;;73;237.80
Kaffee;;86;184.60;8.12 %;;11;34.80;;75;149.80
Gutscheine;;6;50.00;2.20 %;;0;0.00;;6;50.00
Equipment_;;3;32.00;1.41 %;;0;0.00;;3;32.00
Non Kaffee;;11;23.60;1.04 %;;3;3.00;;8;20.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;57;193.80;8.53 %;;11;37.40;;46;156.40
Hafer Cappuccino;0;42;142.80;6.28 %;;3;10.20;;39;132.60
MUYU 250g;0;14;133.00;5.85 %;;0;0.00;;14;133.00
MUYU BOTTLE 365;0;8;108.00;4.75 %;;0;0.00;;8;108.00
Cappuccino groß;0;19;79.80;3.51 %;;2;8.40;;17;71.40
Hafer Cappuccino Groß;0;19;79.80;3.51 %;;5;21.00;;14;58.80
Caffé Latte;0;22;79.20;3.48 %;;3;10.80;;19;68.40
Lucia Dias 250g;0;8;76.00;3.34 %;;0;0.00;;8;76.00
MUYU 1000g;0;2;68.00;2.99 %;;0;0.00;;2;68.00
Flat White;0;17;64.60;2.84 %;;3;11.40;;14;53.20
Sanai Red 250g;0;3;64.50;2.84 %;;0;0.00;;3;64.50
Shakisso 500g;0;2;60.00;2.64 %;;0;0.00;;2;60.00
Filterkaffee;0;22;57.20;2.52 %;;7;18.20;;15;39.00
MUYU 500g;0;3;54.00;2.38 %;;0;0.00;;3;54.00
Americano;0;19;53.20;2.34 %;;1;2.80;;18;50.40
Familia Aguilera 250g;0;4;50.00;2.20 %;;0;0.00;;4;50.00
Kanelbullar;0;15;48.00;2.11 %;;2;6.40;;13;41.60
Pain au Chocolat;0;17;47.60;2.09 %;;3;8.40;;14;39.20
Hafer Flat White;0;12;45.60;2.01 %;;4;15.20;;8;30.40
Banana Bread;0;12;45.60;2.01 %;;0;0.00;;12;45.60
ReCup ausgeben ´;0;40;40.00;1.76 %;;0;0.00;;40;40.00
10€ Gutschein;0;4;40.00;1.76 %;;0;0.00;;4;40.00
Kuchen Maple Carrot;0;8;38.40;1.69 %;;3;14.40;;5;24.00
Villa Maria 250g;0;3;37.50;1.65 %;;0;0.00;;3;37.50
Croissant;0;17;37.40;1.65 %;;1;2.20;;16;35.20
Kakao groß;0;9;36.00;1.58 %;;2;8.00;;7;28.00
Hafer Caffè Latte;0;10;36.00;1.58 %;;0;0.00;;10;36.00
Lucia Dias 500g;0;2;36.00;1.58 %;;0;0.00;;2;36.00
ATSABE 250g;0;3;34.50;1.52 %;;0;0.00;;3;34.50
Izuba 250g;0;3;34.50;1.52 %;;0;0.00;;3;34.50
ReCup ausgeben*;0;33;33.00;1.45 %;;0;0.00;;33;33.00
Shakisso 250g;0;2;31.00;1.36 %;;0;0.00;;2;31.00
Mr Toi 250g;0;2;29.00;1.28 %;;0;0.00;;2;29.00
Bella Vista 250g;0;2;27.00;1.19 %;;0;0.00;;2;27.00
BREW Buch;0;2;25.00;1.10 %;;0;0.00;;2;25.00
ATSABE 500g;0;1;22.00;0.97 %;;0;0.00;;1;22.00
Chocolate Cake;0;6;19.20;0.84 %;;2;6.40;;4;12.80
ReCup ausgeben;0;19;19.00;0.84 %;;0;0.00;;19;19.00
German Carranza 250g;0;1;17.50;0.77 %;;0;0.00;;1;17.50
Frühstück Herzhaft;0;2;17.00;0.75 %;;0;0.00;;2;17.00
Lemon Poppy Cake;0;3;14.40;0.63 %;;0;0.00;;3;14.40
Hand Brew;0;3;13.80;0.61 %;;3;13.80;;0;0.00
Espresso Single;0;6;13.20;0.58 %;;0;0.00;;6;13.20
Espresso Doppio;0;5;13.00;0.57 %;;0;0.00;;5;13.00
Hafer Kakao groß;0;3;12.00;0.53 %;;0;0.00;;3;12.00
Caffé Latte doppelt;0;3;12.00;0.53 %;;0;0.00;;3;12.00
5€ Gutschein;0;2;10.00;0.44 %;;0;0.00;;2;10.00
Cookie;0;5;10.00;0.44 %;;1;2.00;;4;8.00
Espresso Macchiato;0;4;9.60;0.42 %;;0;0.00;;4;9.60
Green Tea;0;2;9.20;0.40 %;;0;0.00;;2;9.20
Hario V60 filter (100) 02;0;1;7.00;0.31 %;;0;0.00;;1;7.00
Americano groß;0;2;6.00;0.26 %;;0;0.00;;2;6.00
Raw Cake;0;1;4.80;0.21 %;;1;4.80;;0;0.00
Lemon Verbena Tea;0;1;4.60;0.20 %;;0;0.00;;1;4.60
Hafer Caffè Latte groß;0;1;4.00;0.18 %;;0;0.00;;1;4.00
MIKOLAJ Limonade;0;1;3.80;0.17 %;;0;0.00;;1;3.80
Kinder Kakao;0;1;3.20;0.14 %;;0;0.00;;1;3.20
Espresso Doppio Macchiato;0;1;3.00;0.13 %;;0;0.00;;1;3.00
Apfelschorle;0;1;3.00;0.13 %;;1;3.00;;0;0.00
Divers. Röstkaffee;0;1;2.00;0.09 %;;0;0.00;;1;2.00
ReCup ausgeben **;0;2;2.00;0.09 %;;0;0.00;;2;2.00
Deckel ReCup;0;1;1.00;0.04 %;;0;0.00;;1;1.00
Extra Shot;0;1;0.60;0.03 %;;0;0.00;;1;0.60
Milchschaum Kids;0;3;0.00;0.00 %;;2;0.00;;1;0.00
ReCup annehmen;0;4;-4.00;-0.18 %;;0;0.00;;4;-4.00
ReCup annehmen*;0;12;-12.00;-0.53 %;;0;0.00;;12;-12.00
ReCup annehmen ´;0;34;-34.00;-1.50 %;;0;0.00;;34;-34.00
;;;;
