;von;bis;;
Datum:;22.12.2021;22.12.2021;;
Enthalt Z;555;555;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;6162.50;98.57 %;
Auslagen;;;80.00;1.28 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;9.40;0.15 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;80.00;1.28 %;
5.0%;;;96.90;1.55 %;
19.0%;;;1393.70;22.33 %;
7.0%;;;4671.90;74.84 %;
Total;;;6242.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;80.00;1.40 %;
5.0%;;;92.26;1.62 %;
19.0%;;;1171.09;20.51 %;
7.0%;;;4366.56;76.47 %;
Total;;;5709.91;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;4.64;0.87 %;
19.0%;;;222.61;41.80 %;
7.0%;;;305.34;57.33 %;
Total;;;532.59;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;241;1687.20;27.03 %;0.00
Maestro;;169;3004.70;48.13 %;3.10
MasterCard;;28;319.80;5.12 %;0.90
Mehrzweckgutschein;;2;17.40;0.28 %;0.00
Visa;;53;589.30;9.44 %;5.40
Visa Electron;;38;624.10;10.00 %;0.00
Total;;531;6242.50;100.00 %;9.40
;;;;
Umsatzdetails;;;;;
Annacotta;;;3177.90;51.57 %;6.20
Emanuel;;;61.60;1.00 %;0.00
Laura;;;1827.30;29.65 %;3.00
Lora;;;163.80;2.66 %;0.00
Robin;;;931.90;15.12 %;0.20
Total;;;6162.50;100.00 %;9.40
;;;;
Stornos;;;;;
vertippt;;1;4.60;13.94 %;
Änderung durch Gast;;3;28.40;86.06 %;
Total;;4;33.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;9;55.20;100.00 %;
Total;;9;55.20;100.00 %;
;;;;
Tische;;;;;
Theke;;525;6242.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;287;4008.80;64.22 %;;0;0.00;;287;4008.80
Getränke;;720;1788.20;28.65 %;;43;156.60;;677;1631.60
Speisen;;178;445.50;7.14 %;;15;38.90;;163;406.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;249;3356.20;53.76 %;;0;0.00;;249;3356.20
Milchmischgetränke;;380;999.80;16.02 %;;31;115.20;;349;884.60
Equipment_;;33;592.60;9.49 %;;0;0.00;;33;592.60
Speisen;;178;445.50;7.14 %;;15;38.90;;163;406.60
Hafer;;148;445.40;7.13 %;;3;11.40;;145;434.00
Kaffee;;129;261.40;4.19 %;;7;22.60;;122;238.80
Gutscheine;;5;60.00;0.96 %;;0;0.00;;5;60.00
Non Kaffee;;55;51.40;0.82 %;;2;7.40;;53;44.00
Decaf;;5;17.60;0.28 %;;0;0.00;;5;17.60
Summer;;3;12.60;0.20 %;;0;0.00;;3;12.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
MUYU 250g;0;57;536.74;8.60 %;;0;0.00;;57;536.74
Shakisso 250g;0;24;344.98;5.53 %;;0;0.00;;24;344.98
Cappuccino;0;100;340.00;5.45 %;;8;27.20;;92;312.80
Bella Vista 250g;0;21;280.20;4.49 %;;0;0.00;;21;280.20
MUYU 500g;0;15;270.00;4.33 %;;0;0.00;;15;270.00
Flat White;0;68;258.40;4.14 %;;12;45.60;;56;212.80
MUYU BOTTLE 365;0;18;243.00;3.89 %;;0;0.00;;18;243.00
Lucia Dias 250g;0;25;235.20;3.77 %;;0;0.00;;25;235.20
Izuba 250g;0;20;230.00;3.68 %;;0;0.00;;20;230.00
Sanai Red 250g;0;9;193.50;3.10 %;;0;0.00;;9;193.50
Tasse M;0;6;168.00;2.69 %;;0;0.00;;6;168.00
Cappuccino groß;0;40;168.00;2.69 %;;2;8.40;;38;159.60
German Carranza 250g;0;9;157.50;2.52 %;;0;0.00;;9;157.50
Hafer Cappuccino;0;45;153.00;2.45 %;;1;3.40;;44;149.60
Villa Maria 250g;0;12;140.68;2.25 %;;0;0.00;;12;140.68
MUYU 1000g;0;4;136.00;2.18 %;;0;0.00;;4;136.00
Kanelbullar;0;40;128.00;2.05 %;;4;12.80;;36;115.20
Hafer Flat White;0;32;121.60;1.95 %;;1;3.80;;31;117.80
Kinto travel  Tumbler 350ml;0;3;111.00;1.78 %;;0;0.00;;3;111.00
Banana Bread;0;28;106.40;1.70 %;;0;0.00;;28;106.40
Hafer Cappuccino Groß;0;25;105.00;1.68 %;;1;4.20;;24;100.80
Mr Toi 250g;0;7;101.50;1.63 %;;0;0.00;;7;101.50
BREW Buch;0;8;96.90;1.55 %;;0;0.00;;8;96.90
Shakisso 500g;0;3;90.00;1.44 %;;0;0.00;;3;90.00
Caffé Latte;0;24;86.40;1.38 %;;3;10.80;;21;75.60
AeroPress coffee maker;0;2;73.00;1.17 %;;0;0.00;;2;73.00
Pain au Chocolat;0;26;72.80;1.17 %;;3;8.40;;23;64.40
Kakao groß;0;18;72.00;1.15 %;;5;20.00;;13;52.00
ReCup ausgeben ´;0;72;72.00;1.15 %;;0;0.00;;72;72.00
ATSABE 250g;0;6;69.00;1.11 %;;0;0.00;;6;69.00
Agua Iglesia 250g;0;6;69.00;1.11 %;;0;0.00;;6;69.00
Tasche SUEDHANG;0;6;54.70;0.88 %;;0;0.00;;6;54.70
Filterkaffee;0;21;54.60;0.87 %;;2;5.20;;19;49.40
Lucia Dias 500g;0;3;54.00;0.87 %;;0;0.00;;3;54.00
Tasse S;0;3;54.00;0.87 %;;0;0.00;;3;54.00
Americano;0;19;53.20;0.85 %;;1;2.80;;18;50.40
Croissant;0;23;50.60;0.81 %;;5;11.00;;18;39.60
Familia Aguilera 250g;0;4;46.90;0.75 %;;0;0.00;;4;46.90
Izuba 500g;0;2;44.00;0.70 %;;0;0.00;;2;44.00
Izuba 1kg;0;1;42.00;0.67 %;;0;0.00;;1;42.00
Zimtstern *;0;37;33.30;0.53 %;;1;0.90;;36;32.40
Caffé Latte doppelt;0;8;32.00;0.51 %;;0;0.00;;8;32.00
Espresso Macchiato;0;13;31.20;0.50 %;;1;2.40;;12;28.80
Espresso Single;0;14;30.80;0.49 %;;0;0.00;;14;30.80
10€ Gutschein;0;3;30.00;0.48 %;;0;0.00;;3;30.00
Cookie;0;14;28.00;0.45 %;;1;2.00;;13;26.00
AeroPress filter;0;4;28.00;0.45 %;;0;0.00;;4;28.00
Bella Vista  500g;0;1;26.00;0.42 %;;0;0.00;;1;26.00
Espresso Doppio;0;10;26.00;0.42 %;;0;0.00;;10;26.00
25€ Gutschein;0;1;25.00;0.40 %;;0;0.00;;1;25.00
Villa Maria 500g;0;1;24.00;0.38 %;;0;0.00;;1;24.00
Americano groß;0;8;24.00;0.38 %;;1;3.00;;7;21.00
ReCup ausgeben*;0;23;23.00;0.37 %;;0;0.00;;23;23.00
Hand Brew;0;5;23.00;0.37 %;;2;9.20;;3;13.80
Quiche;0;6;22.80;0.37 %;;1;3.80;;5;19.00
Agua Iglesia 500g;0;1;22.00;0.35 %;;0;0.00;;1;22.00
Hafer Caffè Latte;0;6;21.60;0.35 %;;0;0.00;;6;21.60
Espresso Doppio Macchiato;0;6;18.00;0.29 %;;0;0.00;;6;18.00
ReCup ausgeben;0;16;16.00;0.26 %;;0;0.00;;16;16.00
Kinder Kakao;0;5;16.00;0.26 %;;1;3.20;;4;12.80
Hafer Caffè Latte groß;0;4;16.00;0.26 %;;0;0.00;;4;16.00
MIKOLAJ Limonade;0;4;15.20;0.24 %;;0;0.00;;4;15.20
Black Tea;0;3;13.80;0.22 %;;0;0.00;;3;13.80
Green Tea;0;3;13.80;0.22 %;;0;0.00;;3;13.80
Lemon Verbena Tea;0;3;13.80;0.22 %;;1;4.60;;2;9.20
Espresso Tonic;0;3;12.60;0.20 %;;0;0.00;;3;12.60
Apfelschorle;0;4;12.00;0.19 %;;0;0.00;;4;12.00
Decaf Cappuccino;0;3;10.20;0.16 %;;0;0.00;;3;10.20
Hafer Kakao groß;0;2;8.00;0.13 %;;0;0.00;;2;8.00
Hario V60 filter (100) 02;0;1;7.00;0.11 %;;0;0.00;;1;7.00
5€ Gutschein;0;1;5.00;0.08 %;;0;0.00;;1;5.00
Decaf Flat White;0;1;3.80;0.06 %;;0;0.00;;1;3.80
Zimtstern;0;4;3.60;0.06 %;;0;0.00;;4;3.60
Decaf Caffè Latte;0;1;3.60;0.06 %;;0;0.00;;1;3.60
Hafer Kinder Kakao;0;1;3.20;0.05 %;;0;0.00;;1;3.20
Hafer Espresso Macchiato groß;0;1;3.00;0.05 %;;0;0.00;;1;3.00
Mineralwasser Sprudel;0;1;2.80;0.04 %;;1;2.80;;0;0.00
ReCup ausgeben **;0;2;2.00;0.03 %;;0;0.00;;2;2.00
Deckel ReCup;0;1;1.00;0.02 %;;0;0.00;;1;1.00
Extra Shot;0;1;0.60;0.01 %;;0;0.00;;1;0.60
Milchschaum Kids;0;11;0.00;0.00 %;;0;0.00;;11;0.00
ReCup annehmen*;0;9;-9.00;-0.14 %;;0;0.00;;9;-9.00
ReCup annehmen;0;16;-16.00;-0.26 %;;0;0.00;;16;-16.00
ReCup annehmen **;0;23;-23.00;-0.37 %;;0;0.00;;23;-23.00
ReCup annehmen ´;0;45;-45.00;-0.72 %;;0;0.00;;45;-45.00
;;;;
