;von;bis;;
Datum:;27.04.2022;27.04.2022;;
Enthalt Z;677;677;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1235.10;99.78 %;
Auslagen;;;2.00;0.16 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.70;0.06 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;2.00;0.16 %;
19.0%;;;500.44;40.45 %;
7.0%;;;734.66;59.39 %;
Total;;;1237.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;2.00;0.18 %;
19.0%;;;420.54;37.91 %;
7.0%;;;686.66;61.91 %;
Total;;;1109.20;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;79.90;62.47 %;
7.0%;;;48.00;37.53 %;
Total;;;127.90;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;109;435.70;35.22 %;0.00
Maestro;;50;464.70;37.56 %;0.00
MasterCard;;8;69.50;5.62 %;0.30
Mehrzweckgutschein;;2;10.00;0.81 %;0.00
Visa;;17;118.60;9.59 %;0.40
Visa Electron;;15;138.60;11.20 %;0.00
Total;;201;1237.10;100.00 %;0.70
;;;;
Umsatzdetails;;;;;
Anna;;;97.30;7.88 %;0.00
Emanuel;;;207.50;16.80 %;0.00
Lena P.;;;210.40;17.04 %;0.40
Mik;;;108.50;8.78 %;0.00
Robin;;;13.00;1.05 %;0.00
Sofia;;;598.40;48.45 %;0.30
Total;;;1235.10;100.00 %;0.70
;;;;
Stornos;;;;;
Kommunikationsfehler;;1;3.80;100.00 %;
Total;;1;3.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;2;3.80;100.00 %;
Total;;2;3.80;100.00 %;
;;;;
Tische;;;;;
Theke;;201;1237.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;317;769.24;62.18 %;;35;103.40;;282;665.84
Sonstiges;;19;243.00;19.64 %;;0;0.00;;19;243.00
Speisen;;64;224.86;18.18 %;;14;42.40;;50;182.46
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer;;127;316.20;25.56 %;;13;46.00;;114;270.20
Milchmischgetränke;;109;289.80;23.43 %;;8;26.80;;101;263.00
Röstkaffee;;18;230.50;18.63 %;;0;0.00;;18;230.50
Speisen;;64;224.86;18.18 %;;14;42.40;;50;182.46
Kaffee;;65;129.87;10.50 %;;14;30.60;;51;99.27
Non Kaffee;;13;21.97;1.78 %;;0;0.00;;13;21.97
Equipment_;;1;12.50;1.01 %;;0;0.00;;1;12.50
Summer;;2;7.80;0.63 %;;0;0.00;;2;7.80
Decaf;;1;3.60;0.29 %;;0;0.00;;1;3.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Cappuccino;0;51;173.40;14.02 %;;10;34.00;;41;139.40
Cappuccino;0;39;132.60;10.72 %;;4;13.60;;35;119.00
Flat White;0;16;60.80;4.91 %;;1;3.80;;15;57.00
CUERPO 250g;0;5;47.50;3.84 %;;0;0.00;;5;47.50
Banana Bread;0;12;45.60;3.69 %;;2;7.60;;10;38.00
Chakra Warmi 250g;0;3;43.50;3.52 %;;0;0.00;;3;43.50
MUYU 250g;0;4;38.00;3.07 %;;0;0.00;;4;38.00
Kuchen Maple Carrot;0;8;36.06;2.91 %;;0;0.00;;8;36.06
MUYU 1000g;0;1;34.00;2.75 %;;0;0.00;;1;34.00
Hafer Caffè Latte;0;9;32.40;2.62 %;;0;0.00;;9;32.40
Americano;0;11;30.80;2.49 %;;1;2.80;;10;28.00
Cappuccino groß;0;7;29.40;2.38 %;;1;4.20;;6;25.20
Hafer Flat White auf Eis;0;7;29.40;2.38 %;;1;4.20;;6;25.20
Espresso Single;0;13;28.07;2.27 %;;4;8.80;;9;19.27
MUYU BOTTLE 365;0;2;27.00;2.18 %;;0;0.00;;2;27.00
Hafer Flat White;0;7;26.60;2.15 %;;1;3.80;;6;22.80
Flat White auf Eis;0;6;25.20;2.04 %;;1;4.20;;5;21.00
Hafer Cappuccino Groß;0;6;25.20;2.04 %;;0;0.00;;6;25.20
Filterkaffee;0;9;23.40;1.89 %;;2;5.20;;7;18.20
Chocolate Cake;0;6;22.80;1.84 %;;0;0.00;;6;22.80
Pain au Chocolat;0;8;22.40;1.81 %;;4;11.20;;4;11.20
Caffé Latte;0;6;21.60;1.75 %;;0;0.00;;6;21.60
Espresso Doppio;0;8;20.80;1.68 %;;2;5.20;;6;15.60
Kanelbullar;0;6;19.20;1.55 %;;0;0.00;;6;19.20
Espresso Macchiato;0;8;19.20;1.55 %;;4;9.60;;4;9.60
Raspberry Cake vegan;0;5;19.00;1.54 %;;1;3.80;;4;15.20
ReCup ausgeben*;0;19;19.00;1.54 %;;0;0.00;;19;19.00
ReCup ausgeben ´;0;18;18.00;1.46 %;;1;1.00;;17;17.00
Croissant;0;8;17.60;1.42 %;;4;8.80;;4;8.80
Don Martin 250g;0;1;16.50;1.33 %;;0;0.00;;1;16.50
Hafer Caffè Latte groß;0;4;16.00;1.29 %;;0;0.00;;4;16.00
Sandwich Vegan;0;3;14.40;1.16 %;;1;4.80;;2;9.60
Bella Vista 250g;0;1;13.50;1.09 %;;0;0.00;;1;13.50
BREW Buch;0;1;12.50;1.01 %;;0;0.00;;1;12.50
Familia Aguilera 250g;0;1;10.50;0.85 %;;0;0.00;;1;10.50
MIKOLAJ Limonade;0;3;10.47;0.85 %;;0;0.00;;3;10.47
Sandwich Vegetarisch;0;2;9.60;0.78 %;;0;0.00;;2;9.60
Apfelschorle;0;3;9.00;0.73 %;;0;0.00;;3;9.00
Granola;0;2;8.40;0.68 %;;1;4.20;;1;4.20
Hafer Kakao groß;0;2;8.00;0.65 %;;1;4.00;;1;4.00
Caffé Latte doppelt;0;2;8.00;0.65 %;;0;0.00;;2;8.00
Cookie;0;3;6.00;0.49 %;;1;2.00;;2;4.00
ReCup ausgeben;0;5;5.00;0.40 %;;0;0.00;;5;5.00
Hand Brew;0;1;4.60;0.37 %;;0;0.00;;1;4.60
Espresso Tonic;0;1;4.20;0.34 %;;0;0.00;;1;4.20
Kakao groß;0;1;4.00;0.32 %;;0;0.00;;1;4.00
Lemon Poppy Cake;0;1;3.80;0.31 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.29 %;;0;0.00;;1;3.60
Nitro Americano;0;1;3.60;0.29 %;;0;0.00;;1;3.60
Kinder Kakao;0;1;3.20;0.26 %;;0;0.00;;1;3.20
Hafer Kinder Kakao;0;1;3.20;0.26 %;;0;0.00;;1;3.20
Espresso Doppio Macchiato;0;1;3.00;0.24 %;;0;0.00;;1;3.00
ReCup ausgeben **;0;3;3.00;0.24 %;;0;0.00;;3;3.00
Americano groß;0;1;3.00;0.24 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato groß;0;1;3.00;0.24 %;;0;0.00;;1;3.00
Deckel ReCup;0;1;1.00;0.08 %;;0;0.00;;1;1.00
Milchschaum Kids;0;1;0.50;0.04 %;;0;0.00;;1;0.50
ReCup annehmen **;0;2;-2.00;-0.16 %;;0;0.00;;2;-2.00
ReCup annehmen;0;8;-8.00;-0.65 %;;1;-1.00;;7;-7.00
ReCup annehmen ´;0;13;-13.00;-1.05 %;;0;0.00;;13;-13.00
ReCup annehmen*;0;20;-20.00;-1.62 %;;0;0.00;;20;-20.00
;;;;
