;von;bis;;
Datum:;30.04.2022;30.04.2022;;
Enthalt Z;680;680;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2810.10;98.99 %;
Auslagen;;;22.00;0.77 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;6.80;0.24 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;22.00;0.78 %;
19.0%;;;1123.50;39.67 %;
7.0%;;;1686.60;59.55 %;
Total;;;2832.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;22.00;0.87 %;
19.0%;;;944.01;37.13 %;
7.0%;;;1576.37;62.00 %;
Total;;;2542.38;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;179.49;61.95 %;
7.0%;;;110.23;38.05 %;
Total;;;289.72;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;143;1000.60;35.33 %;0.00
Maestro;;72;928.00;32.77 %;4.70
MasterCard;;24;269.00;9.50 %;1.40
Visa;;29;256.70;9.06 %;0.00
Visa Electron;;9;377.80;13.34 %;0.70
Total;;277;2832.10;100.00 %;6.80
;;;;
Umsatzdetails;;;;;
Anna;;;216.60;7.71 %;0.00
Annacotta;;;881.20;31.36 %;2.60
Katharina;;;604.20;21.50 %;1.90
Lena P.;;;839.60;29.88 %;0.00
Sofia;;;268.50;9.55 %;2.30
Total;;;2810.10;100.00 %;6.80
;;;;
Stornos;;;;;
Änderung durch Gast;;2;4.40;100.00 %;
Total;;2;4.40;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;1.20;100.00 %;
Total;;1;1.20;100.00 %;
;;;;
Tische;;;;;
Theke;;277;2832.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;496;1313.10;46.36 %;;122;380.50;;374;932.60
Sonstiges;;50;1082.00;38.20 %;;8;145.00;;42;937.00
Speisen;;123;437.00;15.43 %;;34;100.20;;89;336.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;45;750.50;26.50 %;;8;145.00;;37;605.50
Milchmischgetränke;;250;642.40;22.68 %;;58;205.00;;192;437.40
Speisen;;123;437.00;15.43 %;;34;100.20;;89;336.80
Hafer;;106;342.40;12.09 %;;26;97.20;;80;245.20
Equipment_;;4;296.50;10.47 %;;0;0.00;;4;296.50
Kaffee;;110;239.80;8.47 %;;32;64.80;;78;175.00
Non Kaffee;;20;50.30;1.78 %;;5;9.90;;15;40.40
Gutscheine;;1;35.00;1.24 %;;0;0.00;;1;35.00
Summer;;7;27.80;0.98 %;;1;3.60;;6;24.20
Decaf;;3;10.40;0.37 %;;0;0.00;;3;10.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;84;285.60;10.08 %;;28;95.20;;56;190.40
Comandante;0;1;260.00;9.18 %;;0;0.00;;1;260.00
Hafer Cappuccino;0;53;180.20;6.36 %;;11;37.40;;42;142.80
Flat White;0;38;144.40;5.10 %;;12;45.60;;26;98.80
Banana Bread;0;30;114.00;4.03 %;;7;26.60;;23;87.40
MUYU 500g;0;6;108.00;3.81 %;;2;36.00;;4;72.00
MUYU 1000g;0;3;102.00;3.60 %;;1;34.00;;2;68.00
German Carranza 250g;0;3;85.50;3.02 %;;0;0.00;;3;85.50
Cappuccino groß;0;20;84.00;2.97 %;;5;21.00;;15;63.00
Don Martin 250g;0;5;82.50;2.91 %;;1;16.50;;4;66.00
Ayla Bombe 250g;0;5;77.50;2.74 %;;2;31.00;;3;46.50
MUYU 250g;0;7;66.50;2.35 %;;0;0.00;;7;66.50
Raspberry Cake vegan;0;17;64.60;2.28 %;;0;0.00;;17;64.60
Hafer Flat White;0;16;60.80;2.15 %;;3;11.40;;13;49.40
Chakra Warmi 250g;0;4;58.00;2.05 %;;0;0.00;;4;58.00
Caffé Latte;0;16;57.60;2.03 %;;5;18.00;;11;39.60
Kuchen Maple Carrot;0;11;52.80;1.86 %;;0;0.00;;11;52.80
Filterkaffee;0;18;46.80;1.65 %;;5;13.00;;13;33.80
Hafer Cappuccino Groß;0;11;46.20;1.63 %;;7;29.40;;4;16.80
Chocolate Cake;0;12;45.60;1.61 %;;0;0.00;;12;45.60
Americano;0;15;42.00;1.48 %;;5;14.00;;10;28.00
Kinder Kakao;0;12;38.40;1.36 %;;5;16.00;;7;22.40
CUERPO 250g;0;4;38.00;1.34 %;;1;9.50;;3;28.50
Espresso Doppio;0;14;36.40;1.29 %;;4;10.40;;10;26.00
CUERPO 500g;0;2;36.00;1.27 %;;1;18.00;;1;18.00
Divers. Gutscheine;0;1;35.00;1.24 %;;0;0.00;;1;35.00
CUERPO 1000g;0;1;34.00;1.20 %;;0;0.00;;1;34.00
Pain au Chocolat;0;12;33.60;1.19 %;;12;33.60;;0;0.00
Hand Brew;0;7;32.20;1.14 %;;1;4.60;;6;27.60
Kakao groß;0;7;28.00;0.99 %;;0;0.00;;7;28.00
Espresso Single;0;12;26.40;0.93 %;;4;8.80;;8;17.60
Cookie;0;13;26.00;0.92 %;;5;10.00;;8;16.00
EL MORENO 250g;0;2;25.00;0.88 %;;0;0.00;;2;25.00
Espresso Macchiato;0;10;24.00;0.85 %;;5;12.00;;5;12.00
Sandwich Vegan;0;5;24.00;0.85 %;;0;0.00;;5;24.00
Sandwich Vegetarisch;0;5;22.80;0.81 %;;2;8.40;;3;14.40
Croissant;0;10;22.00;0.78 %;;6;13.20;;4;8.80
ReCup ausgeben ´;0;21;21.00;0.74 %;;1;1.00;;20;20.00
Americano groß;0;7;21.00;0.74 %;;1;3.00;;6;18.00
Caffé Latte doppelt;0;5;20.00;0.71 %;;1;4.00;;4;16.00
Lemon Poppy Cake;0;5;19.00;0.67 %;;0;0.00;;5;19.00
Lemon Verbena Tea;0;4;18.40;0.65 %;;1;4.60;;3;13.80
Kinto coffee server 600ml;0;1;17.00;0.60 %;;0;0.00;;1;17.00
MIKOLAJ Limonade;0;4;15.20;0.54 %;;1;3.80;;3;11.40
Nitro Americano;0;4;14.40;0.51 %;;1;3.60;;3;10.80
MUYU BOTTLE 365;0;1;13.50;0.48 %;;0;0.00;;1;13.50
ReCup ausgeben*;0;13;13.00;0.46 %;;0;0.00;;13;13.00
Granola;0;3;12.60;0.44 %;;2;8.40;;1;4.20
BREW Buch;0;1;12.50;0.44 %;;0;0.00;;1;12.50
Caballero 250g;0;1;12.50;0.44 %;;0;0.00;;1;12.50
Espresso Doppio Macchiato;0;4;12.00;0.42 %;;1;3.00;;3;9.00
EL CARMEN Decaf 250g;0;1;11.50;0.41 %;;0;0.00;;1;11.50
ReCup ausgeben;0;11;11.00;0.39 %;;1;1.00;;10;10.00
Hafer Caffè Latte;0;3;10.80;0.38 %;;1;3.60;;2;7.20
Hafer Kinder Kakao;0;3;9.60;0.34 %;;1;3.20;;2;6.40
Black Tea;0;2;9.20;0.32 %;;0;0.00;;2;9.20
Flat White auf Eis;0;2;8.40;0.30 %;;1;4.20;;1;4.20
Hafer Flat White auf Eis;0;2;8.40;0.30 %;;1;4.20;;1;4.20
Hafer Kakao groß;0;2;8.00;0.28 %;;2;8.00;;0;0.00
Hario V60 filter (100) 02;0;1;7.00;0.25 %;;0;0.00;;1;7.00
Decaf Cappuccino;0;2;6.80;0.24 %;;0;0.00;;2;6.80
Nimbus Cocktail;0;1;5.40;0.19 %;;0;0.00;;1;5.40
Milchschaum Kids;0;9;4.50;0.16 %;;3;1.50;;6;3.00
Espresso Tonic;0;1;4.20;0.15 %;;0;0.00;;1;4.20
Hafer Caffè Latte groß;0;1;4.00;0.14 %;;0;0.00;;1;4.00
Cold Brew;0;1;3.80;0.13 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.13 %;;0;0.00;;1;3.60
Apfelschorle;0;1;3.00;0.11 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato;0;1;2.40;0.08 %;;0;0.00;;1;2.40
ReCup annehmen*;0;1;-1.00;-0.04 %;;0;0.00;;1;-1.00
ReCup annehmen;0;12;-12.00;-0.42 %;;5;-5.00;;7;-7.00
ReCup annehmen ´;0;45;-45.00;-1.59 %;;0;0.00;;45;-45.00
;;;;
