;von;bis;;
Datum:;03.05.2022;03.05.2022;;
Enthalt Z;683;683;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1314.70;101.15 %;
Auslagen;;;-15.00;-1.15 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-15.00;-1.15 %;
19.0%;;;412.80;31.76 %;
7.0%;;;901.90;69.39 %;
Total;;;1299.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-15.00;-1.28 %;
19.0%;;;346.81;29.52 %;
7.0%;;;842.97;71.76 %;
Total;;;1174.78;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;65.99;52.83 %;
7.0%;;;58.93;47.17 %;
Total;;;124.92;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;117;522.70;40.22 %;0.00
Maestro;;65;514.00;39.55 %;0.00
MasterCard;;9;72.60;5.59 %;0.00
Visa;;16;112.40;8.65 %;0.00
Visa Electron;;5;78.00;6.00 %;0.00
Total;;212;1299.70;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Annacotta;;;477.10;36.29 %;0.00
Emanuel;;;268.60;20.43 %;0.00
Lora;;;106.70;8.12 %;0.00
Robin;;;113.90;8.66 %;0.00
Sofia;;;348.40;26.50 %;0.00
Total;;;1314.70;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;5;14.80;100.00 %;
Total;;5;14.80;100.00 %;
;;;;
Tische;;;;;
Theke;;210;1299.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;332;751.40;57.81 %;;18;51.60;;314;699.80
Sonstiges;;22;326.80;25.14 %;;0;0.00;;22;326.80
Speisen;;68;221.50;17.04 %;;4;11.60;;64;209.90
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;149;362.40;27.88 %;;4;15.40;;145;347.00
Röstkaffee;;21;289.80;22.30 %;;0;0.00;;21;289.80
Speisen;;68;221.50;17.04 %;;4;11.60;;64;209.90
Hafer;;79;198.95;15.31 %;;4;14.00;;75;184.95
Kaffee;;75;125.35;9.64 %;;6;16.00;;69;109.35
Summer;;14;51.20;3.94 %;;1;3.60;;13;47.60
Equipment_;;1;37.00;2.85 %;;0;0.00;;1;37.00
Non Kaffee;;15;13.50;1.04 %;;3;2.60;;12;10.90
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;35;119.00;9.16 %;;0;0.00;;35;119.00
Hafer Cappuccino;0;27;90.95;7.00 %;;3;10.20;;24;80.75
Flat White;0;23;87.40;6.72 %;;2;7.60;;21;79.80
Banana Bread;0;19;72.20;5.56 %;;1;3.80;;18;68.40
Flat White auf Eis;0;12;50.40;3.88 %;;0;0.00;;12;50.40
Filterkaffee;0;19;48.75;3.75 %;;1;2.60;;18;46.15
Chakra Warmi 250g;0;3;43.50;3.35 %;;0;0.00;;3;43.50
Caffé Latte;0;12;43.20;3.32 %;;1;3.60;;11;39.60
Kinto travel  Tumbler 350ml;0;1;37.00;2.85 %;;0;0.00;;1;37.00
Nitro Americano;0;10;36.00;2.77 %;;1;3.60;;9;32.40
EL CARMEN Decaf 250g;0;3;34.50;2.65 %;;0;0.00;;3;34.50
Hafer Flat White;0;9;34.20;2.63 %;;1;3.80;;8;30.40
MUYU 1000g;0;1;34.00;2.62 %;;0;0.00;;1;34.00
Cappuccino groß;0;8;33.60;2.59 %;;1;4.20;;7;29.40
MUYU 500g;0;2;31.50;2.42 %;;0;0.00;;2;31.50
Ayla Bombe 250g;0;2;31.00;2.39 %;;0;0.00;;2;31.00
Americano;0;11;30.80;2.37 %;;2;5.60;;9;25.20
Hafer Cappuccino Groß;0;7;29.40;2.26 %;;0;0.00;;7;29.40
MUYU 250g;0;3;28.50;2.19 %;;0;0.00;;3;28.50
CUERPO 250g;0;3;28.50;2.19 %;;0;0.00;;3;28.50
ReCup ausgeben ´;0;28;28.00;2.15 %;;0;0.00;;28;28.00
Pain au Chocolat;0;10;27.30;2.10 %;;0;0.00;;10;27.30
Sandwich Vegetarisch;0;6;26.40;2.03 %;;0;0.00;;6;26.40
Croissant;0;10;22.00;1.69 %;;0;0.00;;10;22.00
Hafer Flat White auf Eis;0;5;21.00;1.62 %;;0;0.00;;5;21.00
Cookie;0;10;20.00;1.54 %;;2;4.00;;8;16.00
Raspberry Cake vegan;0;5;19.00;1.46 %;;0;0.00;;5;19.00
CUERPO 500g;0;1;18.00;1.38 %;;0;0.00;;1;18.00
EL MORENO 500g;0;1;17.30;1.33 %;;0;0.00;;1;17.30
Espresso Doppio;0;6;15.60;1.20 %;;1;2.60;;5;13.00
Cold Brew;0;4;15.20;1.17 %;;0;0.00;;4;15.20
Americano groß;0;5;15.00;1.15 %;;0;0.00;;5;15.00
Kuchen Maple Carrot;0;3;14.40;1.11 %;;0;0.00;;3;14.40
ReCup ausgeben*;0;14;14.00;1.08 %;;0;0.00;;14;14.00
Kinder Kakao;0;4;12.80;0.98 %;;0;0.00;;4;12.80
Granola;0;3;12.60;0.97 %;;0;0.00;;3;12.60
EL MORENO 250g;0;1;12.50;0.96 %;;0;0.00;;1;12.50
MIKOLAJ Limonade;0;3;11.40;0.88 %;;0;0.00;;3;11.40
Hafer Caffè Latte;0;3;10.80;0.83 %;;0;0.00;;3;10.80
Familia Aguilera 250g;0;1;10.50;0.81 %;;0;0.00;;1;10.50
Espresso Macchiato;0;4;9.60;0.74 %;;0;0.00;;4;9.60
Espresso Single;0;4;8.80;0.68 %;;0;0.00;;4;8.80
Caffé Latte doppelt;0;2;8.00;0.62 %;;0;0.00;;2;8.00
Lemon Poppy Cake;0;2;7.60;0.58 %;;1;3.80;;1;3.80
Espresso Doppio Macchiato;0;2;6.00;0.46 %;;0;0.00;;2;6.00
Black Tea;0;1;4.60;0.35 %;;1;4.60;;0;0.00
Hand Brew;0;1;4.60;0.35 %;;1;4.60;;0;0.00
Hafer Kakao groß;0;1;4.00;0.31 %;;0;0.00;;1;4.00
Kakao groß;0;1;4.00;0.31 %;;0;0.00;;1;4.00
Hafer Kinder Kakao;0;1;3.20;0.25 %;;0;0.00;;1;3.20
ReCup ausgeben;0;3;3.00;0.23 %;;0;0.00;;3;3.00
Apfelschorle;0;1;3.00;0.23 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato;0;1;2.40;0.18 %;;0;0.00;;1;2.40
Milchschaum Kids;0;3;1.50;0.12 %;;0;0.00;;3;1.50
Extra Shot;0;2;1.20;0.09 %;;1;0.60;;1;0.60
ReCup annehmen **;0;7;-7.00;-0.54 %;;2;-2.00;;5;-5.00
ReCup annehmen*;0;11;-11.00;-0.85 %;;0;0.00;;11;-11.00
ReCup annehmen;0;18;-18.00;-1.38 %;;0;0.00;;18;-18.00
ReCup annehmen ´;0;24;-24.00;-1.85 %;;0;0.00;;24;-24.00
;;;;
