;von;bis;;
Datum:;22.05.2022;22.05.2022;;
Enthalt Z;703;703;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1908.10;98.72 %;
Auslagen;;;19.00;0.98 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;5.80;0.30 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;19.00;0.99 %;
19.0%;;;746.60;38.74 %;
7.0%;;;1161.50;60.27 %;
Total;;;1927.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;19.00;1.10 %;
19.0%;;;627.37;36.22 %;
7.0%;;;1085.60;62.68 %;
Total;;;1731.97;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;119.23;61.10 %;
7.0%;;;75.90;38.90 %;
Total;;;195.13;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;158;967.40;50.20 %;0.00
Maestro;;53;491.00;25.48 %;5.20
MasterCard;;20;172.50;8.95 %;0.60
Visa;;16;176.80;9.17 %;0.00
Visa Electron;;14;119.40;6.20 %;0.00
Total;;261;1927.10;100.00 %;5.80
;;;;
Umsatzdetails;;;;;
Karolina;;;411.10;21.54 %;0.80
Lena P.;;;502.40;26.33 %;4.40
Robin;;;994.60;52.13 %;0.60
Total;;;1908.10;100.00 %;5.80
;;;;
Stornos;;;;;
Kommunikationsfehler;;1;2.60;100.00 %;
Total;;1;2.60;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;7.00;100.00 %;
Total;;1;7.00;100.00 %;
;;;;
Tische;;;;;
Theke;;259;1927.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;479;1295.80;67.24 %;;81;278.90;;398;1016.90
Speisen;;119;390.80;20.28 %;;37;117.40;;82;273.40
Sonstiges;;19;240.50;12.48 %;;1;18.00;;18;222.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;203;511.80;26.56 %;;35;130.60;;168;381.20
Hafer;;144;403.80;20.95 %;;23;85.80;;121;318.00
Speisen;;119;390.80;20.28 %;;37;117.40;;82;273.40
Röstkaffee;;19;240.50;12.48 %;;1;18.00;;18;222.50
Summer;;39;156.80;8.14 %;;1;3.80;;38;153.00
Kaffee;;63;156.60;8.13 %;;17;50.00;;46;106.60
Non Kaffee;;26;55.00;2.85 %;;4;5.30;;22;49.70
Decaf;;4;11.80;0.61 %;;1;3.40;;3;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Flat White auf Eis;0;43;180.60;9.37 %;;3;12.60;;40;168.00
Cappuccino;0;48;163.20;8.47 %;;17;57.80;;31;105.40
Flat White auf Eis;0;30;126.00;6.54 %;;3;12.60;;27;113.40
Banana Bread;0;30;114.00;5.92 %;;8;30.40;;22;83.60
Cappuccino groß;0;26;109.20;5.67 %;;9;37.80;;17;71.40
Hafer Cappuccino;0;32;108.80;5.65 %;;10;34.00;;22;74.80
Kanelbullar;0;31;99.20;5.15 %;;8;25.60;;23;73.60
Cold Brew;0;16;60.80;3.15 %;;1;3.80;;15;57.00
Flat White;0;15;57.00;2.96 %;;4;15.20;;11;41.80
MUYU 500g;0;3;54.00;2.80 %;;1;18.00;;2;36.00
MUYU 250g;0;5;47.50;2.46 %;;0;0.00;;5;47.50
Kuchen Maple Carrot;0;9;43.20;2.24 %;;1;4.80;;8;38.40
Pain au Chocolat;0;15;42.00;2.18 %;;10;28.00;;5;14.00
Espresso Tonic;0;10;42.00;2.18 %;;0;0.00;;10;42.00
Hafer Cappuccino Groß;0;10;42.00;2.18 %;;3;12.60;;7;29.40
Hafer Flat White;0;10;38.00;1.97 %;;5;19.00;;5;19.00
EL MORENO 250g;0;3;37.50;1.95 %;;0;0.00;;3;37.50
ReCup ausgeben ´;0;37;37.00;1.92 %;;0;0.00;;37;37.00
Filterkaffee;0;13;33.80;1.75 %;;0;0.00;;13;33.80
Caffé Latte;0;9;32.40;1.68 %;;2;7.20;;7;25.20
Nitro Americano;0;9;32.40;1.68 %;;0;0.00;;9;32.40
Americano groß;0;9;27.00;1.40 %;;4;12.00;;5;15.00
Lemon Poppy Cake;0;7;26.60;1.38 %;;0;0.00;;7;26.60
MIKOLAJ Limonade;0;7;26.60;1.38 %;;1;3.80;;6;22.80
Americano;0;9;25.20;1.31 %;;3;8.40;;6;16.80
ReCup ausgeben*;0;25;25.00;1.30 %;;0;0.00;;25;25.00
Cookie;0;12;24.00;1.25 %;;1;2.00;;11;22.00
IZUBA 250g;0;2;21.88;1.14 %;;0;0.00;;2;21.88
Nimbus Cocktail;0;4;21.60;1.12 %;;0;0.00;;4;21.60
Granola;0;5;21.00;1.09 %;;4;16.80;;1;4.20
Croissant;0;9;19.80;1.03 %;;4;8.80;;5;11.00
CUERPO 500g;0;1;18.00;0.93 %;;0;0.00;;1;18.00
DON MARTIN 250g;0;1;16.50;0.86 %;;0;0.00;;1;16.50
Caffé Latte doppelt;0;4;16.00;0.83 %;;0;0.00;;4;16.00
Apfelschorle;0;5;15.00;0.78 %;;0;0.00;;5;15.00
Espresso Single;0;6;13.20;0.68 %;;2;4.40;;4;8.80
CABALLERO 250g;0;1;12.50;0.65 %;;0;0.00;;1;12.50
Espresso Doppio Macchiato;0;4;12.00;0.62 %;;1;3.00;;3;9.00
Hafer Kakao;0;3;12.00;0.62 %;;1;4.00;;2;8.00
Espresso Macchiato;0;5;12.00;0.62 %;;2;4.80;;3;7.20
AYLA BOMBE 250g;0;1;11.62;0.60 %;;0;0.00;;1;11.62
EL CARMEN Decaf 250g;0;1;11.50;0.60 %;;0;0.00;;1;11.50
Coldbrew;0;3;11.40;0.59 %;;2;7.60;;1;3.80
CUERPO 250g;0;1;9.50;0.49 %;;0;0.00;;1;9.50
Hand Brew;0;2;9.20;0.48 %;;1;4.60;;1;4.60
Mineralwasser Sprudel;0;3;8.40;0.44 %;;0;0.00;;3;8.40
Espresso Doppio;0;3;7.80;0.40 %;;2;5.20;;1;2.60
Hafer Caffè Latte;0;2;7.20;0.37 %;;1;3.60;;1;3.60
ReCup ausgeben;0;7;7.00;0.36 %;;0;0.00;;7;7.00
Kakao;0;1;4.00;0.21 %;;0;0.00;;1;4.00
Hafer Caffè Latte doppelt;0;1;4.00;0.21 %;;0;0.00;;1;4.00
Milchschaum Kids;0;8;4.00;0.21 %;;3;1.50;;5;2.50
Decaf Flat White;0;1;3.80;0.20 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.19 %;;0;0.00;;1;3.60
Decaf Cappuccino;0;1;3.40;0.18 %;;1;3.40;;0;0.00
Hafer Kinder Kakao;0;1;3.20;0.17 %;;0;0.00;;1;3.20
ReCup ausgeben **;0;2;2.00;0.10 %;;0;0.00;;2;2.00
ReCup ausgeben* 1;0;1;1.00;0.05 %;;0;0.00;;1;1.00
Marmelade;0;1;1.00;0.05 %;;1;1.00;;0;0.00
ReCup annehmen **;0;1;-1.00;-0.05 %;;0;0.00;;1;-1.00
ReCup annehmen;0;2;-2.00;-0.10 %;;0;0.00;;2;-2.00
