;von;bis;;
Datum:;06.07.2022;06.07.2022;;
Enthalt Z;749;749;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1839.20;97.51 %;
Auslagen;;;47.00;2.49 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;47.00;2.49 %;
19.0%;;;705.60;37.41 %;
7.0%;;;1133.60;60.10 %;
Total;;;1886.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;47.00;2.77 %;
19.0%;;;592.94;34.89 %;
7.0%;;;1059.51;62.34 %;
Total;;;1699.45;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;112.66;60.33 %;
7.0%;;;74.09;39.67 %;
Total;;;186.75;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;155;792.90;42.04 %;0.00
Maestro;;60;535.30;28.38 %;0.00
MasterCard;;15;214.30;11.36 %;0.00
Mehrzweckgutschein;;1;13.40;0.71 %;0.00
Visa;;26;181.50;9.62 %;0.00
Visa Electron;;7;148.80;7.89 %;0.00
Total;;264;1886.20;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;336.40;18.29 %;0.00
Artyom;;;379.50;20.63 %;0.00
Jairo;;;36.20;1.97 %;0.00
Mik;;;66.30;3.60 %;0.00
Robin;;;489.20;26.60 %;0.00
Sofia;;;531.60;28.90 %;0.00
Total;;;1839.20;100.00 %;0.00
;;;;
Stornos;;;;;
Kommunikationsfehler;;2;7.40;29.60 %;
Training/Testbuchung;;5;17.60;70.40 %;
Total;;7;25.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;4;3.50;62.50 %;
Staff Bottled Drinks;;1;2.10;37.50 %;
Total;;5;5.60;100.00 %;
;;;;
Tische;;;;;
Theke;;262;1886.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;396;1108.20;58.75 %;;78;283.40;;318;824.80
Sonstiges;;29;430.50;22.82 %;;0;0.00;;29;430.50
Speisen;;104;347.50;18.42 %;;30;111.20;;74;236.30
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;190;477.00;25.29 %;;30;116.20;;160;360.80
Speisen;;104;347.50;18.42 %;;30;111.20;;74;236.30
Röstkaffee;;22;347.00;18.40 %;;0;0.00;;22;347.00
Hafer;;102;338.80;17.96 %;;25;92.60;;77;246.20
Summer;;32;124.30;6.59 %;;11;44.00;;21;80.30
Kaffee;;50;118.20;6.27 %;;10;24.60;;40;93.60
Equipment_;;3;53.50;2.84 %;;0;0.00;;3;53.50
Non Kaffee;;22;49.90;2.65 %;;2;6.00;;20;43.90
Gutscheine;;4;30.00;1.59 %;;0;0.00;;4;30.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;50;170.00;9.01 %;;6;20.40;;44;149.60
Cappuccino groß;0;31;130.20;6.90 %;;11;46.20;;20;84.00
Hafer Flat White auf Eis;0;23;96.60;5.12 %;;3;12.60;;20;84.00
Hafer Cappuccino;0;28;95.20;5.05 %;;13;44.20;;15;51.00
Banana Bread;0;21;79.80;4.23 %;;10;38.00;;11;41.80
CUERPO 1000g;0;2;68.00;3.61 %;;0;0.00;;2;68.00
Kanelbullar;0;21;67.20;3.56 %;;6;19.20;;15;48.00
Hafer Cappuccino Groß;0;16;67.20;3.56 %;;4;16.80;;12;50.40
Flat White auf Eis;0;14;58.80;3.12 %;;4;16.80;;10;42.00
Flat White;0;14;53.20;2.82 %;;4;15.20;;10;38.00
Nitro Americano;0;14;50.40;2.67 %;;5;18.00;;9;32.40
Kuchen Maple Carrot;0;10;48.00;2.54 %;;3;14.40;;7;33.60
CUERPO 250g;0;5;47.50;2.52 %;;0;0.00;;5;47.50
Hafer Flat White;0;11;41.80;2.22 %;;3;11.40;;8;30.40
Caffé Latte;0;11;39.60;2.10 %;;4;14.40;;7;25.20
MUYU 250g;0;4;38.00;2.01 %;;0;0.00;;4;38.00
EL MORENO 250g;0;3;37.50;1.99 %;;0;0.00;;3;37.50
Kinto travel  Tumbler 350ml;0;1;37.00;1.96 %;;0;0.00;;1;37.00
MUYU 500g;0;2;36.00;1.91 %;;0;0.00;;2;36.00
MUYU 1000g;0;1;34.00;1.80 %;;0;0.00;;1;34.00
Pain au Chocolat;0;12;33.60;1.78 %;;2;5.60;;10;28.00
ReCup ausgeben ´;0;33;33.00;1.75 %;;0;0.00;;33;33.00
LUS HELENA SALAZAR 250g;0;2;33.00;1.75 %;;0;0.00;;2;33.00
Sandwich Vegetarisch;0;7;31.20;1.65 %;;2;9.60;;5;21.60
Croissant;0;14;30.80;1.63 %;;2;4.40;;12;26.40
Cold Brew;0;8;30.40;1.61 %;;1;3.80;;7;26.60
Americano;0;10;28.00;1.48 %;;0;0.00;;10;28.00
Filterkaffee;0;10;25.40;1.35 %;;3;7.80;;7;17.60
CABALLERO 500g;0;1;24.00;1.27 %;;0;0.00;;1;24.00
Apfelschorle;0;8;24.00;1.27 %;;2;6.00;;6;18.00
Espresso Tonic;0;6;23.10;1.22 %;;4;16.80;;2;6.30
MIKOLAJ Limonade;0;6;22.80;1.21 %;;0;0.00;;6;22.80
Cookie;0;11;21.50;1.14 %;;1;2.00;;10;19.50
Granola;0;5;21.00;1.11 %;;2;8.40;;3;12.60
10€ Gutschein;0;2;20.00;1.06 %;;0;0.00;;2;20.00
Espresso Single;0;9;19.80;1.05 %;;4;8.80;;5;11.00
Hafer Caffè Latte;0;5;18.00;0.95 %;;1;3.60;;4;14.40
DON MARTIN 250g;0;1;16.50;0.87 %;;0;0.00;;1;16.50
Nimbus Cocktail;0;3;16.20;0.86 %;;1;5.40;;2;10.80
ReCup ausgeben*;0;15;15.00;0.80 %;;0;0.00;;15;15.00
Sandwich Vegan;0;3;14.40;0.76 %;;2;9.60;;1;4.80
IZUBA 250g;0;1;12.50;0.66 %;;0;0.00;;1;12.50
Caffé Latte doppelt;0;3;12.00;0.64 %;;0;0.00;;3;12.00
5€ Gutschein;0;2;10.00;0.53 %;;0;0.00;;2;10.00
Espresso Macchiato;0;4;9.60;0.51 %;;1;2.40;;3;7.20
Tasche SUEDHANG;0;1;9.50;0.50 %;;0;0.00;;1;9.50
Hand Brew;0;2;9.20;0.49 %;;0;0.00;;2;9.20
Americano groß;0;3;9.00;0.48 %;;1;3.00;;2;6.00
Kakao;0;2;8.00;0.42 %;;0;0.00;;2;8.00
