;von;bis;;
Datum:;25.09.2022;25.09.2022;;
Enthalt Z;830;830;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2141.70;99.18 %;
Auslagen;;;17.00;0.79 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.80;0.04 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;17.00;0.79 %;
19.0%;;;1037.70;48.07 %;
7.0%;;;1104.00;51.14 %;
Total;;;2158.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;17.00;0.89 %;
19.0%;;;871.94;45.39 %;
7.0%;;;1031.90;53.72 %;
Total;;;1920.84;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;165.76;69.69 %;
7.0%;;;72.10;30.31 %;
Total;;;237.86;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;159;974.60;45.15 %;0.00
Maestro;;52;560.10;25.95 %;0.80
MasterCard;;24;237.60;11.01 %;0.00
Mehrzweckgutschein;;1;7.20;0.33 %;0.00
Visa;;25;223.10;10.33 %;0.00
Visa Electron;;16;156.10;7.23 %;0.00
Total;;277;2158.70;100.00 %;0.80
;;;;
Umsatzdetails;;;;;
Annacotta;;;652.00;30.44 %;0.00
Artyom;;;25.90;1.21 %;0.00
Clara;;;629.30;29.38 %;0.00
Lena P.;;;127.50;5.95 %;0.00
Robin;;;269.90;12.60 %;0.00
Slobo;;;437.10;20.41 %;0.80
Total;;;2141.70;100.00 %;0.80
;;;;
Stornos;;;;;
vertippt;;1;3.80;100.00 %;
Total;;1;3.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;2;7.00;100.00 %;
Total;;2;7.00;100.00 %;
;;;;
Tische;;;;;
Theke;;277;2158.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;564;1411.20;65.37 %;;206;641.00;;358;770.20
Speisen;;124;437.22;20.25 %;;57;216.60;;67;220.62
Sonstiges;;22;310.28;14.37 %;;1;13.50;;21;296.78
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;254;673.60;31.20 %;;92;303.00;;162;370.60
Speisen;;124;437.22;20.25 %;;57;216.60;;67;220.62
Hafer;;169;432.00;20.01 %;;53;182.40;;116;249.60
Röstkaffee;;21;307.38;14.24 %;;1;13.50;;20;293.88
Kaffee;;103;200.80;9.30 %;;39;98.00;;64;102.80
Non Kaffee;;30;73.60;3.41 %;;16;34.20;;14;39.40
Summer;;8;31.20;1.45 %;;6;23.40;;2;7.80
Equipment_;;1;2.90;0.13 %;;0;0.00;;1;2.90
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;80;272.00;12.60 %;;43;146.20;;37;125.80
Hafer Cappuccino;0;53;180.20;8.35 %;;22;74.80;;31;105.40
Cappuccino groß;0;30;126.00;5.84 %;;12;50.40;;18;75.60
Hafer Flat White;0;30;114.00;5.28 %;;11;41.80;;19;72.20
Flat White;0;28;106.40;4.93 %;;10;38.00;;18;68.40
Kanelbullar;0;29;92.80;4.30 %;;14;44.80;;15;48.00
Banana Bread;0;22;83.60;3.87 %;;6;22.80;;16;60.80
ATSABE 250g;0;6;77.68;3.60 %;;0;0.00;;6;77.68
Kakao;0;16;64.00;2.96 %;;8;32.00;;8;32.00
Pain au Chocolat;0;22;60.22;2.79 %;;5;14.00;;17;46.22
Filterkaffee;0;22;57.20;2.65 %;;9;23.40;;13;33.80
MUYU BOTTLE 365;0;4;54.00;2.50 %;;1;13.50;;3;40.50
Caffé Latte;0;14;50.40;2.33 %;;6;21.60;;8;28.80
EL MORENO 250g;0;4;50.00;2.32 %;;0;0.00;;4;50.00
Kuchen Maple Carrot;0;10;48.00;2.22 %;;8;38.40;;2;9.60
Hafer Caffè Latte;0;13;46.80;2.17 %;;9;32.40;;4;14.40
ReCup ausgeben ´;0;45;45.00;2.08 %;;2;2.00;;43;43.00
Hafer Cappuccino Groß;0;9;37.80;1.75 %;;3;12.60;;6;25.20
Croissant;0;15;36.00;1.67 %;;6;14.40;;9;21.60
CUERPO 1000g;0;1;34.00;1.58 %;;0;0.00;;1;34.00
MUYU 1000g;0;1;34.00;1.58 %;;0;0.00;;1;34.00
NY cheesecake;0;7;33.60;1.56 %;;5;24.00;;2;9.60
Espresso Single;0;14;30.80;1.43 %;;6;13.20;;8;17.60
Espresso Doppio;0;11;28.60;1.32 %;;5;13.00;;6;15.60
Hafer Kakao;0;7;28.00;1.30 %;;3;12.00;;4;16.00
ReCup ausgeben*;0;27;27.00;1.25 %;;0;0.00;;27;27.00
Lemon Poppy Cake;0;7;26.60;1.23 %;;3;11.40;;4;15.20
Americano;0;9;25.20;1.17 %;;4;11.20;;5;14.00
Sandwich Vegetarisch;0;5;24.00;1.11 %;;4;19.20;;1;4.80
Sandwich Vegan;0;5;24.00;1.11 %;;4;19.20;;1;4.80
EL CARMEN Decaf 250g;0;2;23.00;1.07 %;;0;0.00;;2;23.00
Americano groß;0;7;21.00;0.97 %;;4;12.00;;3;9.00
Espresso Macchiato;0;8;19.20;0.89 %;;5;12.00;;3;7.20
Kinder Kakao;0;6;19.20;0.89 %;;2;6.40;;4;12.80
MIKOLAJ Limonade;0;5;19.00;0.88 %;;2;7.60;;3;11.40
CUERPO 500g;0;1;18.00;0.83 %;;0;0.00;;1;18.00
CUERPO 250g;0;2;16.70;0.77 %;;0;0.00;;2;16.70
Nitro Americano;0;4;14.40;0.67 %;;3;10.80;;1;3.60
Black Tea;0;3;13.80;0.64 %;;2;9.20;;1;4.60
ReCup ausgeben_;0;13;13.00;0.60 %;;0;0.00;;13;13.00
Flat White auf Eis.;0;3;12.60;0.58 %;;3;12.60;;0;0.00
Flat White auf Eis;0;3;12.60;0.58 %;;2;8.40;;1;4.20
Hafer Flat White auf Eis;0;3;12.60;0.58 %;;2;8.40;;1;4.20
Lemon Verbena Tea;0;2;9.20;0.43 %;;1;4.60;;1;4.60
Hand Brew;0;2;9.20;0.43 %;;2;9.20;;0;0.00
Espresso Doppio Macchiato;0;3;9.00;0.42 %;;2;6.00;;1;3.00
Apfelschorle;0;3;9.00;0.42 %;;2;6.00;;1;3.00
Mineralwasser Sprudel;0;3;8.40;0.39 %;;0;0.00;;3;8.40
Granola;0;2;8.40;0.39 %;;2;8.40;;0;0.00
Caffé Latte doppelt;0;2;8.00;0.37 %;;1;4.00;;1;4.00
Mineralwasser Still;0;2;5.60;0.26 %;;1;2.80;;1;2.80
Milchschaum Kids;0;10;5.00;0.23 %;;8;4.00;;2;1.00
Green Tea;0;1;4.60;0.21 %;;0;0.00;;1;4.60
Espresso Tonic;0;1;4.20;0.19 %;;0;0.00;;1;4.20
Hafer Caffè Latte doppelt;0;1;4.00;0.19 %;;0;0.00;;1;4.00
Hafer Kinder Kakao;0;1;3.20;0.15 %;;0;0.00;;1;3.20
Minor Figures 1l;0;1;2.90;0.13 %;;0;0.00;;1;2.90
Hafer Espresso Macchiato;0;1;2.40;0.11 %;;1;2.40;;0;0.00
Extra Shot;0;1;0.60;0.03 %;;0;0.00;;1;0.60
ReCup annehmen **;0;1;-1.00;-0.05 %;;0;0.00;;1;-1.00
ReCup annehmen;0;13;-13.00;-0.60 %;;2;-2.00;;11;-11.00
ReCup annehmen*;0;24;-24.00;-1.11 %;;2;-2.00;;22;-22.00
ReCup annehmen ´;0;30;-30.00;-1.39 %;;6;-6.00;;24;-24.00
;;;;
