;von;bis;;
Datum:;02.10.2022;02.10.2022;;
Enthalt Z;837;837;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2032.20;99.27 %;
Auslagen;;;13.00;0.64 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.00;0.10 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;13.00;0.64 %;
19.0%;;;949.30;46.42 %;
7.0%;;;1082.90;52.95 %;
Total;;;2045.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;13.00;0.71 %;
19.0%;;;797.62;43.76 %;
7.0%;;;1012.14;55.53 %;
Total;;;1822.76;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;151.68;68.19 %;
7.0%;;;70.76;31.81 %;
Total;;;222.44;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;121;850.50;41.59 %;0.00
Maestro;;72;729.20;35.65 %;2.00
MasterCard;;13;144.70;7.08 %;0.00
Mehrzweckgutschein;;1;8.40;0.41 %;0.00
Visa;;24;218.20;10.67 %;0.00
Visa Electron;;13;94.20;4.61 %;0.00
Total;;244;2045.20;100.00 %;2.00
;;;;
Umsatzdetails;;;;;
Angi;;;804.40;39.58 %;0.00
Anna S.;;;770.10;37.89 %;0.00
Annacotta;;;46.70;2.30 %;0.00
Karolina;;;196.00;9.64 %;2.00
Lena P.;;;60.70;2.99 %;0.00
Robin;;;154.30;7.59 %;0.00
Total;;;2032.20;100.00 %;2.00
;;;;
Stornos;;;;;
vertippt;;2;9.00;100.00 %;
Total;;2;9.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;240;2045.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;434;1213.10;59.31 %;;201;636.80;;233;576.30
Speisen;;144;496.60;24.28 %;;90;303.40;;54;193.20
Sonstiges;;21;335.50;16.40 %;;8;122.00;;13;213.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;184;583.00;28.51 %;;85;288.80;;99;294.20
Speisen;;144;496.60;24.28 %;;90;303.40;;54;193.20
Hafer;;125;343.80;16.81 %;;55;202.20;;70;141.60
Röstkaffee;;18;285.00;13.94 %;;5;71.50;;13;213.50
Kaffee;;79;176.40;8.63 %;;41;101.20;;38;75.20
Non Kaffee;;44;102.10;4.99 %;;19;40.40;;25;61.70
Equipment_;;3;50.50;2.47 %;;3;50.50;;0;0.00
Summer;;2;7.80;0.38 %;;1;4.20;;1;3.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;55;187.00;9.14 %;;32;108.80;;23;78.20
Hafer Flat White;0;33;125.40;6.13 %;;17;64.60;;16;60.80
Banana Bread;0;29;110.20;5.39 %;;15;57.00;;14;53.20
Kanelbullar;0;33;105.60;5.16 %;;21;67.20;;12;38.40
Hafer Cappuccino;0;31;105.40;5.15 %;;20;68.00;;11;37.40
Cappuccino groß;0;23;96.60;4.72 %;;13;54.60;;10;42.00
RUGALI 250g;0;5;87.50;4.28 %;;1;17.50;;4;70.00
Flat White;0;23;87.40;4.27 %;;9;34.20;;14;53.20
Caffé Latte;0;21;75.60;3.70 %;;9;32.40;;12;43.20
Croissant;0;27;64.80;3.17 %;;20;48.00;;7;16.80
Kakao;0;16;64.00;3.13 %;;6;24.00;;10;40.00
Hafer Cappuccino Groß;0;13;54.60;2.67 %;;6;25.20;;7;29.40
Pain au Chocolat;0;19;53.20;2.60 %;;13;36.40;;6;16.80
Filterkaffee;0;17;44.20;2.16 %;;12;31.20;;5;13.00
Kuchen Maple Carrot;0;9;43.20;2.11 %;;6;28.80;;3;14.40
ATSABE 250g;0;3;40.50;1.98 %;;1;13.50;;2;27.00
GERMAN CARRANZA 250g;0;2;39.00;1.91 %;;1;19.50;;1;19.50
TASSE S;0;2;36.00;1.76 %;;2;36.00;;0;0.00
Caffé Latte doppelt;0;9;36.00;1.76 %;;5;20.00;;4;16.00
MUYU 1000g;0;1;34.00;1.66 %;;0;0.00;;1;34.00
Americano;0;12;33.60;1.64 %;;8;22.40;;4;11.20
Lemon Poppy Cake;0;7;26.60;1.30 %;;3;11.40;;4;15.20
Hafer Flat White auf Eis;0;6;25.20;1.23 %;;4;16.80;;2;8.40
Apfelschorle;0;8;24.00;1.17 %;;4;12.00;;4;12.00
NY cheesecake;0;5;24.00;1.17 %;;0;0.00;;5;24.00
Sandwich Vegetarisch;0;5;24.00;1.17 %;;5;24.00;;0;0.00
Sandwich Vegan;0;5;24.00;1.17 %;;2;9.60;;3;14.40
Espresso Doppio;0;9;23.40;1.14 %;;2;5.20;;7;18.20
Espresso Macchiato;0;9;21.60;1.06 %;;5;12.00;;4;9.60
ReCup ausgeben ´;0;21;21.00;1.03 %;;4;4.00;;17;17.00
Granola;0;5;21.00;1.03 %;;5;21.00;;0;0.00
Espresso Single;0;9;19.80;0.97 %;;6;13.20;;3;6.60
MIKOLAJ Limonade;0;5;19.00;0.93 %;;1;3.80;;4;15.20
CUERPO 250g;0;2;19.00;0.93 %;;0;0.00;;2;19.00
Black Tea;0;4;18.40;0.90 %;;2;9.20;;2;9.20
Americano groß;0;6;18.00;0.88 %;;2;6.00;;4;12.00
CUERPO 500g;0;1;18.00;0.88 %;;0;0.00;;1;18.00
Kinder Kakao;0;5;16.00;0.78 %;;3;9.60;;2;6.40
ReCup ausgeben*;0;15;15.00;0.73 %;;0;0.00;;15;15.00
BREW Buch;0;1;14.50;0.71 %;;1;14.50;;0;0.00
Hafer Caffè Latte;0;4;14.40;0.70 %;;3;10.80;;1;3.60
MUYU BOTTLE 365;0;1;13.50;0.66 %;;0;0.00;;1;13.50
EL MORENO 250g;0;1;12.50;0.61 %;;0;0.00;;1;12.50
Fritz Cola;0;4;12.00;0.59 %;;1;3.00;;3;9.00
Hafer Caffè Latte doppelt;0;3;12.00;0.59 %;;2;8.00;;1;4.00
Sapto Wening 250g;0;1;11.50;0.56 %;;1;11.50;;0;0.00
MUYU 250g;0;1;9.50;0.46 %;;1;9.50;;0;0.00
Hand Brew;0;2;9.20;0.45 %;;2;9.20;;0;0.00
Lemon Verbena Tea;0;2;9.20;0.45 %;;0;0.00;;2;9.20
Flat White auf Eis;0;2;8.40;0.41 %;;1;4.20;;1;4.20
ReCup ausgeben_;0;8;8.00;0.39 %;;3;3.00;;5;5.00
Milchschaum Kids;0;13;6.50;0.32 %;;8;4.00;;5;2.50
Mineralwasser Sprudel;0;2;5.60;0.27 %;;2;5.60;;0;0.00
Hafer Espresso Macchiato;0;2;4.80;0.23 %;;2;4.80;;0;0.00
Green Tea;0;1;4.60;0.22 %;;0;0.00;;1;4.60
Espresso Tonic;0;1;4.20;0.21 %;;1;4.20;;0;0.00
Hafer Kakao;0;1;4.00;0.20 %;;1;4.00;;0;0.00
Nitro Americano;0;1;3.60;0.18 %;;0;0.00;;1;3.60
Espresso Doppio Macchiato;0;1;3.00;0.15 %;;0;0.00;;1;3.00
Mineralwasser Still;0;1;2.80;0.14 %;;1;2.80;;0;0.00
ReCup ausgeben **;0;2;2.00;0.10 %;;0;0.00;;2;2.00
Extra Shot;0;1;0.60;0.03 %;;0;0.00;;1;0.60
ReCup annehmen **;0;2;-2.00;-0.10 %;;0;0.00;;2;-2.00
ReCup annehmen;0;5;-5.00;-0.24 %;;1;-1.00;;4;-4.00
ReCup annehmen ´;0;9;-9.00;-0.44 %;;3;-3.00;;6;-6.00
