;von;bis;;
Datum:;16.12.2022;16.12.2022;;
Enthalt Z;916;916;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2219.30;98.01 %;
Auslagen;;;45.00;1.99 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;45.00;1.99 %;
19.0%;;;1039.90;45.93 %;
7.0%;;;1179.40;52.09 %;
Total;;;2264.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;45.00;2.23 %;
19.0%;;;873.98;43.24 %;
7.0%;;;1102.31;54.53 %;
Total;;;2021.29;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;165.92;68.28 %;
7.0%;;;77.09;31.72 %;
Total;;;243.01;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;114;769.70;33.99 %;0.00
Maestro;;70;806.20;35.60 %;0.00
MasterCard;;13;151.70;6.70 %;0.00
Visa;;30;404.10;17.85 %;0.00
Visa Electron;;13;132.60;5.86 %;0.00
Total;;240;2264.30;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;958.60;43.19 %;0.00
Lena R.;;;731.30;32.95 %;0.00
Robin;;;305.50;13.77 %;0.00
Slobo;;;223.90;10.09 %;0.00
Total;;;2219.30;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;2;16.90;63.77 %;
Änderung durch Gast;;3;9.60;36.23 %;
Total;;5;26.50;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;2;1.50;100.00 %;
Total;;2;1.50;100.00 %;
;;;;
Tische;;;;;
Theke;;240;2264.30;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;314;1003.40;44.31 %;;173;652.10;;141;351.30
Sonstiges;;64;891.00;39.35 %;;0;0.00;;64;891.00
Speisen;;105;369.90;16.34 %;;65;232.00;;40;137.90
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;51;682.50;30.14 %;;0;0.00;;51;682.50
Milchmischgetränke;;132;410.80;18.14 %;;74;286.80;;58;124.00
Speisen;;105;369.90;16.34 %;;65;232.00;;40;137.90
Hafer;;101;356.00;15.72 %;;67;259.20;;34;96.80
Kaffee;;61;173.60;7.67 %;;24;77.20;;37;96.40
Equipment_;;6;168.50;7.44 %;;0;0.00;;6;168.50
Non Kaffee;;17;52.80;2.33 %;;6;22.30;;11;30.50
Gutscheine;;7;40.00;1.77 %;;0;0.00;;7;40.00
Decaf;;3;10.20;0.45 %;;2;6.60;;1;3.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
SIÉU SAO 250g;0;11;170.50;7.53 %;;0;0.00;;11;170.50
Cappuccino;0;43;154.80;6.84 %;;30;108.00;;13;46.80
Hafer Cappuccino;0;40;144.00;6.36 %;;33;118.80;;7;25.20
Flat White;0;27;108.00;4.77 %;;20;80.00;;7;28.00
MUYU 250g;0;9;94.50;4.17 %;;0;0.00;;9;94.50
CUERPO 250g;0;9;94.50;4.17 %;;0;0.00;;9;94.50
Cappuccino groß;0;22;92.40;4.08 %;;15;63.00;;7;29.40
Hafer Flat White;0;20;80.00;3.53 %;;12;48.00;;8;32.00
Hafer Cappuccino Groß;0;18;75.60;3.34 %;;14;58.80;;4;16.80
LOS PLACERES 250g;0;5;62.50;2.76 %;;0;0.00;;5;62.50
L.A.C. Red;0;3;52.50;2.32 %;;0;0.00;;3;52.50
Kuchen Maple Carrot;0;10;48.00;2.12 %;;6;28.80;;4;19.20
Kanelbullar;0;15;47.20;2.08 %;;8;25.60;;7;21.60
NY cheesecake;0;9;43.20;1.91 %;;7;33.60;;2;9.60
Caffé Latte;0;11;41.80;1.85 %;;5;19.00;;6;22.80
Croissant;0;17;40.80;1.80 %;;11;26.40;;6;14.40
RUMUKIA 250g;0;3;40.50;1.79 %;;0;0.00;;3;40.50
Americano;0;13;39.00;1.72 %;;9;27.00;;4;12.00
Pain au Chocolat;0;14;38.50;1.70 %;;8;22.40;;6;16.10
Banana Bread;0;10;38.00;1.68 %;;5;19.00;;5;19.00
Kinto travel  Tumbler 350ml;0;1;37.00;1.63 %;;0;0.00;;1;37.00
AeroPress coffee maker;0;1;36.50;1.61 %;;0;0.00;;1;36.50
LUIS ANIBAL;0;2;35.00;1.55 %;;0;0.00;;2;35.00
TASSE L;0;1;35.00;1.55 %;;0;0.00;;1;35.00
Hand Brew;0;7;33.60;1.48 %;;4;19.20;;3;14.40
FAZENDA IP 250g;0;3;31.50;1.39 %;;0;0.00;;3;31.50
DOI PANGKHON;0;2;31.00;1.37 %;;0;0.00;;2;31.00
Cookie;0;11;30.80;1.36 %;;8;22.40;;3;8.40
5€ Gutschein;0;6;30.00;1.32 %;;0;0.00;;6;30.00
Sandwich Vegan;0;6;28.80;1.27 %;;5;24.00;;1;4.80
TASSE M;0;1;28.00;1.24 %;;0;0.00;;1;28.00
Espresso Macchiato;0;10;26.00;1.15 %;;1;2.60;;9;23.40
LOS PLACERES 500g;0;1;24.00;1.06 %;;0;0.00;;1;24.00
Lemon Poppy Cake;0;6;22.80;1.01 %;;2;7.60;;4;15.20
CANEPHORA Buch;0;1;22.50;0.99 %;;0;0.00;;1;22.50
Chai Oat;0;5;22.00;0.97 %;;4;17.60;;1;4.40
Ingwer Minze;0;5;21.00;0.93 %;;3;12.60;;2;8.40
Filterkaffee;0;7;21.00;0.93 %;;2;6.00;;5;15.00
CUERPO 500g;0;1;20.00;0.88 %;;0;0.00;;1;20.00
Sandwich Vegetarisch;0;4;19.20;0.85 %;;2;9.60;;2;9.60
Chai Oat *;0;4;17.60;0.78 %;;0;0.00;;4;17.60
Kakao normal gr;0;4;16.80;0.74 %;;4;16.80;;0;0.00
Espresso Single;0;7;16.80;0.74 %;;3;7.20;;4;9.60
MUYU BOTTLE 365;0;1;14.50;0.64 %;;0;0.00;;1;14.50
Espresso Doppio;0;5;14.00;0.62 %;;2;5.60;;3;8.40
Hafer Kakao Groß;0;3;12.60;0.56 %;;1;4.20;;2;8.40
Granola;0;3;12.60;0.56 %;;3;12.60;;0;0.00
EL CARMEN Decaf 250g;0;1;11.50;0.51 %;;0;0.00;;1;11.50
Hafer Caffè Latte;0;3;11.40;0.50 %;;2;7.60;;1;3.80
ReCup ausgeben ´;0;11;11.00;0.49 %;;0;0.00;;11;11.00
10€ Gutschein;0;1;10.00;0.44 %;;0;0.00;;1;10.00
Espresso Doppio Macchiato;0;3;9.60;0.42 %;;1;3.20;;2;6.40
Americano groß;0;3;9.60;0.42 %;;2;6.40;;1;3.20
TASCHE;0;1;9.50;0.42 %;;0;0.00;;1;9.50
Hafer Caffè Latte doppelt;0;2;8.40;0.37 %;;1;4.20;;1;4.20
Decaf Cappuccino;0;2;7.20;0.32 %;;1;3.60;;1;3.60
ReCup ausgeben*;0;6;6.00;0.26 %;;0;0.00;;6;6.00
ReCup ausgeben_;0;5;5.00;0.22 %;;0;0.00;;5;5.00
Black Tea;0;1;4.60;0.20 %;;1;4.60;;0;0.00
Lemon Verbena Tea;0;1;4.60;0.20 %;;1;4.60;;0;0.00
Decaf Americano;0;1;3.00;0.13 %;;1;3.00;;0;0.00
Deckel ReCup;0;2;2.00;0.09 %;;0;0.00;;2;2.00
ReCup ausgeben **;0;2;2.00;0.09 %;;0;0.00;;2;2.00
Milchschaum Kids;0;2;1.00;0.04 %;;1;0.50;;1;0.50
ReCup annehmen;0;1;-1.00;-0.04 %;;0;0.00;;1;-1.00
ReCup annehmen*;0;4;-4.00;-0.18 %;;0;0.00;;4;-4.00
ReCup annehmen ´;0;14;-14.00;-0.62 %;;0;0.00;;14;-14.00
;;;;
