;von;bis;;
Datum:;15.06.2020;15.06.2020;;
Enthalt Z;34;34;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1121.00;96.65 %;
Auslagen;;;34.00;2.93 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;4.80;0.41 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;34.00;2.94 %;
19.0%;;;191.30;16.56 %;
7.0%;;;929.70;80.49 %;
Total;;;1155.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;34.00;3.20 %;
19.0%;;;160.70;15.11 %;
7.0%;;;868.80;81.69 %;
Total;;;1063.50;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;30.60;33.44 %;
7.0%;;;60.90;66.56 %;
Total;;;91.50;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;130;769.40;66.61 %;0.00
Maestro;;11;169.90;14.71 %;1.60
MasterCard;;4;39.50;3.42 %;0.00
Mehrzweckgutschein;;5;7.50;0.65 %;0.00
Visa;;6;61.00;5.28 %;0.00
Visa Electron;;6;107.70;9.32 %;3.20
Total;;162;1155.00;100.00 %;4.80
;;;;
Umsatzdetails;;;;;
Anna;;;544.80;48.60 %;3.20
Daniel;;;162.00;14.45 %;0.00
Emanuel;;;85.10;7.59 %;0.00
Karo;;;325.60;29.05 %;1.60
Martin;;;3.50;0.31 %;0.00
Total;;;1121.00;100.00 %;4.80
;;;;
Stornos;;;;;
Kommunikationsfehler;;2;1.50;6.28 %;
vertippt;;8;19.90;83.26 %;
Änderung durch Gast;;1;2.50;10.46 %;
Total;;11;23.90;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;81;614.90;53.24 %;
Tisch 1;;9;115.70;10.02 %;
Tisch 10;;4;22.10;1.91 %;
Tisch 11;;7;33.90;2.94 %;
Tisch 12;;13;60.00;5.19 %;
Tisch 2;;15;75.70;6.55 %;
Tisch 20;;6;63.00;5.45 %;
Tisch 3;;6;71.20;6.16 %;
Tisch 4;;9;73.60;6.37 %;
Tisch 5;;5;24.90;2.16 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;237;671.10;58.10 %;;0;0.00;;237;671.10
Sonstiges;;32;389.00;33.68 %;;0;0.00;;32;389.00
Speisen;;24;94.90;8.22 %;;0;0.00;;24;94.90
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;222;619.10;53.60 %;;0;0.00;;222;619.10
Röstkaffee;;29;348.00;30.13 %;;0;0.00;;29;348.00
Speisen;;24;94.90;8.22 %;;0;0.00;;24;94.90
Getränke ReCup;;15;52.00;4.50 %;;0;0.00;;15;52.00
Equipment;;1;21.00;1.82 %;;0;0.00;;1;21.00
Gutscheine;;2;20.00;1.73 %;;0;0.00;;2;20.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;70;224.00;19.39 %;;0;0.00;;70;224.00
Prima Estate 250g;0;7;66.50;5.76 %;;0;0.00;;7;66.50
Kuchen Maple Carrot;0;13;62.40;5.40 %;;0;0.00;;13;62.40
Cappuccino groß;0;16;60.80;5.26 %;;0;0.00;;16;60.80
Caffé Latte klein;0;17;59.50;5.15 %;;0;0.00;;17;59.50
Finca Isnul 250g;0;5;52.50;4.55 %;;0;0.00;;5;52.50
Lua Clara 250g;0;4;46.00;3.98 %;;0;0.00;;4;46.00
El Moreno 250g;0;4;46.00;3.98 %;;0;0.00;;4;46.00
Flat White;0;11;41.80;3.62 %;;0;0.00;;11;41.80
Caffé Latte groß;0;9;34.20;2.96 %;;0;0.00;;9;34.20
Prima Estate 1000g;0;1;34.00;2.94 %;;0;0.00;;1;34.00
Espresso single;0;13;26.00;2.25 %;;0;0.00;;13;26.00
Croissant CREMA LIMA;0;7;24.50;2.12 %;;0;0.00;;7;24.50
ReCup ausgeben;0;21;21.00;1.82 %;;0;0.00;;21;21.00
Don Pasquale 250g;0;2;21.00;1.82 %;;0;0.00;;2;21.00
El Carmen Decaf 250g;0;2;21.00;1.82 %;;0;0.00;;2;21.00
Tasse Milchkaffee;0;1;21.00;1.82 %;;0;0.00;;1;21.00
10€ Gutschein;0;2;20.00;1.73 %;;0;0.00;;2;20.00
Don Pasquale 500g;0;1;20.00;1.73 %;;0;0.00;;1;20.00
Filterkaffee;0;8;20.00;1.73 %;;0;0.00;;8;20.00
Prima Estate 500g;0;1;18.00;1.56 %;;0;0.00;;1;18.00
Café Crème klein;0;7;17.50;1.52 %;;0;0.00;;7;17.50
Tea;0;5;17.50;1.52 %;;0;0.00;;5;17.50
Espresso double;0;7;17.50;1.52 %;;0;0.00;;7;17.50
Cappuccino groß ReCup;0;4;15.20;1.32 %;;0;0.00;;4;15.20
Americano groß;0;5;15.00;1.30 %;;0;0.00;;5;15.00
Americano klein;0;6;15.00;1.30 %;;0;0.00;;6;15.00
Kaltgetränk;0;5;14.00;1.21 %;;0;0.00;;5;14.00
Bumbogo 250g;0;1;13.50;1.17 %;;0;0.00;;1;13.50
Hand Brew;0;3;13.50;1.17 %;;0;0.00;;3;13.50
Kakao ReCup;0;3;10.50;0.91 %;;0;0.00;;3;10.50
Kakao;0;3;10.50;0.91 %;;0;0.00;;3;10.50
Papakuchi 250g;0;1;9.50;0.82 %;;0;0.00;;1;9.50
Flat White auf Eis ReCup;0;2;8.00;0.69 %;;0;0.00;;2;8.00
Croissant pur;0;4;8.00;0.69 %;;0;0.00;;4;8.00
Espresso Macciato single;0;2;5.00;0.43 %;;0;0.00;;2;5.00
Flat White auf Eis;0;1;4.00;0.35 %;;0;0.00;;1;4.00
Flat White ReCup;0;1;3.80;0.33 %;;0;0.00;;1;3.80
Caffé Latte groß ReCup;0;1;3.80;0.33 %;;0;0.00;;1;3.80
Espresso Tonic;0;1;3.50;0.30 %;;0;0.00;;1;3.50
Cappuccino ReCup;0;1;3.20;0.28 %;;0;0.00;;1;3.20
Café Crème groß;0;1;3.00;0.26 %;;0;0.00;;1;3.00
Americano auf Eis;0;1;2.80;0.24 %;;0;0.00;;1;2.80
Café Crème klein ReCup;0;1;2.50;0.22 %;;0;0.00;;1;2.50
Espresso Macciato single ReCup;0;1;2.50;0.22 %;;0;0.00;;1;2.50
Filterkaffee ReCup;0;1;2.50;0.22 %;;0;0.00;;1;2.50
Milchschaum Kids;0;3;0.00;0.00 %;;0;0.00;;3;0.00
ReCup zurücknehmen;0;7;-7.00;-0.61 %;;0;0.00;;7;-7.00
;;;;
