;von;bis;;
Datum:;04.07.2020;04.07.2020;;
Enthalt Z;57;57;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1680.30;98.33 %;
Auslagen;;;26.00;1.52 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.50;0.15 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;26.00;1.52 %;
5.0%;;;1379.20;80.83 %;
16.0%;;;301.10;17.65 %;
Total;;;1706.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;26.00;1.63 %;
5.0%;;;1313.64;82.14 %;
16.0%;;;259.59;16.23 %;
Total;;;1599.23;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;65.56;61.23 %;
16.0%;;;41.51;38.77 %;
Total;;;107.07;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;180;1230.50;72.12 %;0.00
Maestro;;21;306.70;17.97 %;2.50
MasterCard;;1;18.00;1.05 %;0.00
Visa;;2;32.50;1.90 %;0.00
Visa Electron;;7;118.60;6.95 %;0.00
Total;;211;1706.30;100.00 %;2.50
;;;;
Umsatzdetails;;;;;
Anna;;;233.50;13.90 %;0.00
Lena;;;657.20;39.11 %;0.00
Moritz;;;271.70;16.17 %;2.50
Robin;;;191.00;11.37 %;0.00
Slobo;;;326.90;19.45 %;0.00
Total;;;1680.30;100.00 %;2.50
;;;;
Stornos;;;;;
Kommunikationsfehler;;1;3.20;20.92 %;
Training/Testbuchung;;2;6.40;41.83 %;
vertippt;;2;5.70;37.25 %;
Total;;5;15.30;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;155;1250.90;73.31 %;
Tisch 1;;7;64.10;3.76 %;
Tisch 10;;3;24.70;1.45 %;
Tisch 11;;4;33.30;1.95 %;
Tisch 12;;3;14.60;0.86 %;
Tisch 13;;2;20.70;1.21 %;
Tisch 14;;1;6.40;0.38 %;
Tisch 15;;3;31.10;1.82 %;
Tisch 2;;9;92.40;5.42 %;
Tisch 20;;3;39.30;2.30 %;
Tisch 3;;6;43.30;2.54 %;
Tisch 30;;6;35.30;2.07 %;
Tisch 33;;1;7.20;0.42 %;
Tisch 4;;1;5.00;0.29 %;
Tisch 5;;5;38.00;2.23 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;341;992.10;58.14 %;;0;0.00;;341;992.10
Sonstiges;;41;567.50;33.26 %;;0;0.00;;41;567.50
Speisen;;40;146.70;8.60 %;;0;0.00;;40;146.70
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Kaffee;;232;637.10;37.34 %;;0;0.00;;232;637.10
Röstkaffee;;37;514.50;30.15 %;;0;0.00;;37;514.50
Sommer;;80;278.00;16.29 %;;0;0.00;;80;278.00
Speisen;;40;146.70;8.60 %;;0;0.00;;40;146.70
Non Kaffee;;29;77.00;4.51 %;;0;0.00;;29;77.00
Equipment;;2;38.00;2.23 %;;0;0.00;;2;38.00
Gutscheine;;2;15.00;0.88 %;;0;0.00;;2;15.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;95;304.00;17.82 %;;0;0.00;;95;304.00
Flat White auf Eis;0;47;197.40;11.57 %;;0;0.00;;47;197.40
Kuchen Maple Carrot;0;19;91.20;5.34 %;;0;0.00;;19;91.20
Lua Clara 250g;0;6;69.00;4.04 %;;0;0.00;;6;69.00
Prima Estate 250g;0;7;66.50;3.90 %;;0;0.00;;7;66.50
Flat White;0;17;64.60;3.79 %;;0;0.00;;17;64.60
Bumbogo 250g;0;4;54.00;3.16 %;;0;0.00;;4;54.00
Espresso single;0;22;44.00;2.58 %;;0;0.00;;22;44.00
Lua Clara 500g;0;2;44.00;2.58 %;;0;0.00;;2;44.00
El Moreno 500g;0;2;44.00;2.58 %;;0;0.00;;2;44.00
Don Pasquale 250g;0;4;42.00;2.46 %;;0;0.00;;4;42.00
Finca Isnul 250g;0;4;42.00;2.46 %;;0;0.00;;4;42.00
Kaltgetränk;0;15;42.00;2.46 %;;0;0.00;;15;42.00
Cappuccino groß;0;11;41.80;2.45 %;;0;0.00;;11;41.80
Finca Isnul 500g;0;2;40.00;2.34 %;;0;0.00;;2;40.00
Caffé Latte;0;10;35.00;2.05 %;;0;0.00;;10;35.00
Prima Estate 1000g;0;1;34.00;1.99 %;;0;0.00;;1;34.00
Americano auf Eis;0;12;33.60;1.97 %;;0;0.00;;12;33.60
Croissant CREMA LIMA;0;9;31.50;1.85 %;;0;0.00;;9;31.50
Cold Brew;0;9;27.00;1.58 %;;0;0.00;;9;27.00
Croissant pur;0;12;24.00;1.41 %;;0;0.00;;12;24.00
El Moreno 250g;0;2;23.00;1.35 %;;0;0.00;;2;23.00
