;von;bis;;
Datum:;27.07.2020;27.07.2020;;
Enthalt Z;75;75;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1139.60;100.35 %;
Auslagen;;;-4.00;-0.35 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-4.00;-0.35 %;
5.0%;;;893.90;78.72 %;
16.0%;;;245.70;21.64 %;
Total;;;1135.60;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-4.00;-0.38 %;
5.0%;;;851.36;80.38 %;
16.0%;;;211.86;20.00 %;
Total;;;1059.22;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;42.54;55.70 %;
16.0%;;;33.84;44.30 %;
Total;;;76.38;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;172;1127.20;99.26 %;0.00
Mehrzweckgutschein;;1;8.40;0.74 %;0.00
Total;;173;1135.60;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;223.30;19.59 %;0.00
Lena;;;372.80;32.71 %;0.00
Mik;;;77.00;6.76 %;0.00
Moritz;;;466.50;40.94 %;0.00
Total;;;1139.60;100.00 %;0.00
;;;;
Stornos;;;;;
Kommunikationsfehler;;2;5.20;21.31 %;
vertippt;;4;16.00;65.57 %;
Änderung durch Gast;;1;3.20;13.11 %;
Total;;7;24.40;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;139;911.00;80.22 %;
Tisch 1;;4;21.90;1.93 %;
Tisch 10;;3;14.10;1.24 %;
Tisch 11;;1;4.50;0.40 %;
Tisch 12;;1;5.60;0.49 %;
Tisch 13;;3;18.50;1.63 %;
Tisch 14;;2;16.70;1.47 %;
Tisch 15;;1;6.20;0.55 %;
Tisch 2;;7;85.90;7.56 %;
Tisch 20;;1;8.00;0.70 %;
Tisch 3;;2;17.20;1.51 %;
Tisch 30;;2;6.00;0.53 %;
Tisch 4;;2;8.00;0.70 %;
Tisch 5;;1;12.00;1.06 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;253;710.00;62.52 %;;1;3.20;;252;706.80
Sonstiges;;24;291.50;25.67 %;;0;0.00;;24;291.50
Speisen;;43;134.10;11.81 %;;0;0.00;;43;134.10
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Kaffee;;148;377.40;33.23 %;;1;3.20;;147;374.20
Röstkaffee;;24;291.50;25.67 %;;0;0.00;;24;291.50
Sommer;;78;268.40;23.64 %;;0;0.00;;78;268.40
Speisen;;43;134.10;11.81 %;;0;0.00;;43;134.10
Non Kaffee;;24;54.60;4.81 %;;0;0.00;;24;54.60
Hafer;;3;9.60;0.85 %;;0;0.00;;3;9.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Flat White auf Eis;0;45;189.00;16.64 %;;0;0.00;;45;189.00
Cappuccino;0;46;147.20;12.96 %;;1;3.20;;45;144.00
Bumbogo 250g;0;4;54.00;4.76 %;;0;0.00;;4;54.00
Finca Isnul 250g;0;5;52.50;4.62 %;;0;0.00;;5;52.50
Kaltgetränk;0;17;47.60;4.19 %;;0;0.00;;17;47.60
Kuchen Maple Carrot;0;9;43.20;3.80 %;;0;0.00;;9;43.20
Americano auf Eis;0;14;39.20;3.45 %;;0;0.00;;14;39.20
Prima Estate 250g;0;4;38.00;3.35 %;;0;0.00;;4;38.00
Cappuccino groß;0;10;38.00;3.35 %;;0;0.00;;10;38.00
Croissant;0;19;38.00;3.35 %;;0;0.00;;19;38.00
Flat White;0;8;30.40;2.68 %;;0;0.00;;8;30.40
Caffé Latte;0;8;28.00;2.47 %;;0;0.00;;8;28.00
Cold Brew;0;9;27.00;2.38 %;;0;0.00;;9;27.00
Lua Clara 250g;0;2;23.00;2.03 %;;0;0.00;;2;23.00
El Moreno 250g;0;2;23.00;2.03 %;;0;0.00;;2;23.00
Café Crème;0;9;22.50;1.98 %;;0;0.00;;9;22.50
Espresso single;0;11;22.00;1.94 %;;0;0.00;;11;22.00
Lua Clara 500g;0;1;22.00;1.94 %;;0;0.00;;1;22.00
El Carmen Decaf 250g;0;2;21.00;1.85 %;;0;0.00;;2;21.00
Finca Isnul 500g;0;1;20.00;1.76 %;;0;0.00;;1;20.00
Filterkaffee;0;8;20.00;1.76 %;;0;0.00;;8;20.00
Prima Estate 500g;0;1;18.00;1.59 %;;0;0.00;;1;18.00
Hand Brew;0;4;18.00;1.59 %;;0;0.00;;4;18.00
Pain au chocolat;0;6;16.80;1.48 %;;0;0.00;;6;16.80
Caffé Latte doppelt;0;4;15.20;1.34 %;;0;0.00;;4;15.20
Espresso Macchiato;0;5;12.50;1.10 %;;0;0.00;;5;12.50
Café Crème groß;0;4;12.00;1.06 %;;0;0.00;;4;12.00
Banana Bread PINE NUT;0;3;11.40;1.00 %;;0;0.00;;3;11.40
Don Pasquale 250g;0;1;10.50;0.92 %;;0;0.00;;1;10.50
Croissant CREMA LIMA;0;3;10.50;0.92 %;;0;0.00;;3;10.50
Americano;0;4;10.00;0.88 %;;0;0.00;;4;10.00
Cappuccino Hafer;0;3;9.60;0.85 %;;0;0.00;;3;9.60
Papakuchi 250g;0;1;9.50;0.84 %;;0;0.00;;1;9.50
Americano groß;0;3;9.00;0.79 %;;0;0.00;;3;9.00
ReCup ausgeben *;0;9;9.00;0.79 %;;0;0.00;;9;9.00
Granola COCOS;0;2;8.40;0.74 %;;0;0.00;;2;8.40
Kakao;0;2;7.00;0.62 %;;0;0.00;;2;7.00
Panini DUKKAH BETA;0;1;5.80;0.51 %;;0;0.00;;1;5.80
Doppio;0;2;5.00;0.44 %;;0;0.00;;2;5.00
Espresso Tonic;0;1;4.20;0.37 %;;0;0.00;;1;4.20
ReCup ausgeben;0;4;4.00;0.35 %;;0;0.00;;4;4.00
Extra Shot;0;1;0.60;0.05 %;;0;0.00;;1;0.60
Milchschaum Kids;0;5;0.00;0.00 %;;0;0.00;;5;0.00
ReCup zurücknehmen;0;17;-17.00;-1.50 %;;0;0.00;;17;-17.00
;;;;
