;von;bis;;
Datum:;20.02.2021;20.02.2021;;
Enthalt Z;247;247;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2710.90;94.36 %;
Auslagen;;;162.00;5.64 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;162.00;5.64 %;
19.0%;;;371.90;12.95 %;
7.0%;;;2339.00;81.42 %;
Total;;;2872.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;162.00;6.09 %;
19.0%;;;312.41;11.74 %;
7.0%;;;2185.69;82.17 %;
Total;;;2660.10;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;59.49;27.96 %;
7.0%;;;153.31;72.04 %;
Total;;;212.80;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;277;1685.00;58.65 %;0.00
Maestro;;58;699.00;24.33 %;0.00
MasterCard;;7;84.40;2.94 %;0.00
Mehrzweckgutschein;;1;5.00;0.17 %;0.00
Visa;;18;235.90;8.21 %;0.00
Visa Electron;;18;163.60;5.69 %;0.00
Total;;379;2872.90;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Khalid;;;119.80;4.42 %;0.00
Martin;;;2591.10;95.58 %;0.00
Total;;;2710.90;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;3;-3.00;-375.00 %;
Änderung durch Gast;;1;3.80;475.00 %;
Total;;4;0.80;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;376;2872.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;1393;1852.80;64.49 %;;0;0.00;;1393;1852.80
Sonstiges;;52;713.50;24.84 %;;0;0.00;;52;713.50
Speisen;;101;306.60;10.67 %;;0;0.00;;101;306.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;395;1359.40;47.32 %;;0;0.00;;395;1359.40
Röstkaffee;;47;673.00;23.43 %;;0;0.00;;47;673.00
Kaffee;;983;456.00;15.87 %;;0;0.00;;983;456.00
Speisen;;101;306.60;10.67 %;;0;0.00;;101;306.60
Non Kaffee;;15;37.40;1.30 %;;0;0.00;;15;37.40
Equipment;;4;30.50;1.06 %;;0;0.00;;4;30.50
Gutscheine;;1;10.00;0.35 %;;0;0.00;;1;10.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;206;659.20;22.95 %;;0;0.00;;206;659.20
ReCup ausgeben;0;507;507.00;17.65 %;;0;0.00;;507;507.00
Flat White;0;63;239.40;8.33 %;;0;0.00;;63;239.40
Cappuccino groß;0;54;205.20;7.14 %;;0;0.00;;54;205.20
Caffé Latte;0;49;171.50;5.97 %;;0;0.00;;49;171.50
Kanelbullar;0;35;112.00;3.90 %;;0;0.00;;35;112.00
Banana Bread PINE NUT;0;22;83.60;2.91 %;;0;0.00;;22;83.60
Americano;0;33;82.50;2.87 %;;0;0.00;;33;82.50
MUYU 250g;0;8;76.00;2.65 %;;0;0.00;;8;76.00
EL CARMEN Decaf 250g;0;5;57.50;2.00 %;;0;0.00;;5;57.50
Croissant;0;24;48.00;1.67 %;;0;0.00;;24;48.00
EL MORENO 250g;0;4;46.00;1.60 %;;0;0.00;;4;46.00
Caffé Latte doppelt;0;12;45.60;1.59 %;;0;0.00;;12;45.60
Filterkaffee;0;18;45.00;1.57 %;;0;0.00;;18;45.00
LUA CLARA 500g;0;2;44.00;1.53 %;;0;0.00;;2;44.00
FINCA ISNUL 1000g;0;1;42.00;1.46 %;;0;0.00;;1;42.00
Pain au chocolat;0;15;42.00;1.46 %;;0;0.00;;15;42.00
KRA JAN 250g;0;3;40.50;1.41 %;;0;0.00;;3;40.50
Kakao;0;11;38.50;1.34 %;;0;0.00;;11;38.50
Doppio;0;15;37.50;1.31 %;;0;0.00;;15;37.50
Espresso single;0;18;36.00;1.25 %;;0;0.00;;18;36.00
LA DALIA 250g;0;2;35.00;1.22 %;;0;0.00;;2;35.00
LUA CLARA 250g;0;3;34.50;1.20 %;;0;0.00;;3;34.50
FINCA ISNUL 250g;0;3;34.50;1.20 %;;0;0.00;;3;34.50
MUYU 1000g;0;1;34.00;1.18 %;;0;0.00;;1;34.00
Espresso Macchiato;0;13;32.50;1.13 %;;0;0.00;;13;32.50
DON PASCUAL 250g;0;3;31.50;1.10 %;;0;0.00;;3;31.50
GOVER CUEVA 250g;0;2;29.00;1.01 %;;0;0.00;;2;29.00
MUYU BOTTLE 365;0;2;27.00;0.94 %;;0;0.00;;2;27.00
Kaltgetränk;0;8;22.40;0.78 %;;0;0.00;;8;22.40
EL MORENO 500g;0;1;22.00;0.77 %;;0;0.00;;1;22.00
EL CARMEN Decaf 500g;0;1;22.00;0.77 %;;0;0.00;;1;22.00
ATSABE 500g;0;1;22.00;0.77 %;;0;0.00;;1;22.00
Americano groß;0;7;21.00;0.73 %;;0;0.00;;7;21.00
ALT Sandwich;0;5;21.00;0.73 %;;0;0.00;;5;21.00
Hario V60 filter (100) 02;0;3;21.00;0.73 %;;0;0.00;;3;21.00
Divers. Röstkaffee;0;1;20.00;0.70 %;;0;0.00;;1;20.00
MUYU 500g;0;1;18.00;0.63 %;;0;0.00;;1;18.00
Hand Brew;0;4;18.00;0.63 %;;0;0.00;;4;18.00
Café Crème;0;7;17.50;0.61 %;;0;0.00;;7;17.50
GUJI HADESO 250g;0;1;16.50;0.57 %;;0;0.00;;1;16.50
Tea;0;4;14.00;0.49 %;;0;0.00;;4;14.00
ATSABE 250g;0;1;11.50;0.40 %;;0;0.00;;1;11.50
10€ Gutschein;0;1;10.00;0.35 %;;0;0.00;;1;10.00
PAPAKUCHI 250g;0;1;9.50;0.33 %;;0;0.00;;1;9.50
Tasche;0;1;9.50;0.33 %;;0;0.00;;1;9.50
Doppio Macchiato;0;3;9.00;0.31 %;;0;0.00;;3;9.00
Café Crème groß;0;2;6.00;0.21 %;;0;0.00;;2;6.00
ReCup ausgeben **;0;1;1.00;0.03 %;;0;0.00;;1;1.00
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup zurücknehmen;0;356;-356.00;-12.39 %;;0;0.00;;356;-356.00
;;;;
