;von;bis;;
Datum:;27.03.2021;27.03.2021;;
Enthalt Z;281;281;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2614.85;96.32 %;
Auslagen;;;99.00;3.65 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.00;0.04 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;99.00;3.65 %;
19.0%;;;525.60;19.37 %;
7.0%;;;2089.25;76.98 %;
Total;;;2713.85;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;99.00;3.97 %;
19.0%;;;441.57;17.71 %;
7.0%;;;1952.34;78.32 %;
Total;;;2492.91;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;84.03;38.03 %;
7.0%;;;136.91;61.97 %;
Total;;;220.94;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;239;1233.60;45.46 %;0.00
Maestro;;57;891.30;32.84 %;0.00
MasterCard;;11;92.60;3.41 %;0.00
Visa;;11;176.00;6.49 %;0.00
Visa Electron;;29;320.35;11.80 %;1.00
Total;;347;2713.85;100.00 %;1.00
;;;;
Umsatzdetails;;;;;
Anna;;;132.85;5.08 %;0.00
Laura;;;869.60;33.26 %;0.00
Martin;;;213.70;8.17 %;0.00
Mik;;;36.70;1.40 %;0.00
Raquel;;;1131.30;43.26 %;1.00
Slobo;;;230.70;8.82 %;0.00
Total;;;2614.85;100.00 %;1.00
;;;;
Stornos;;;;;
vertippt;;5;39.00;100.00 %;
Total;;5;39.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;7.25;100.00 %;
Total;;1;7.25;100.00 %;
;;;;
Tische;;;;;
Theke;;347;2713.85;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;1198;1588.00;58.51 %;;0;0.00;;1198;1588.00
Sonstiges;;52;656.25;24.18 %;;0;0.00;;52;656.25
Speisen;;151;469.60;17.30 %;;0;0.00;;151;469.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;649;1052.40;38.78 %;;0;0.00;;649;1052.40
Röstkaffee;;52;656.25;24.18 %;;0;0.00;;52;656.25
Speisen;;151;469.60;17.30 %;;0;0.00;;151;469.60
Hafer;;125;239.20;8.81 %;;0;0.00;;125;239.20
Kaffee;;375;232.50;8.57 %;;0;0.00;;375;232.50
Non Kaffee;;48;60.40;2.23 %;;0;0.00;;48;60.40
decaf;;1;3.50;0.13 %;;0;0.00;;1;3.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino groß;0;81;307.80;11.34 %;;0;0.00;;81;307.80
Cappuccino;0;94;300.80;11.08 %;;0;0.00;;94;300.80
ReCup ausgeben ´;0;233;233.00;8.59 %;;0;0.00;;233;233.00
Flat White;0;36;136.80;5.04 %;;0;0.00;;36;136.80
Kanelbullar;0;42;134.40;4.95 %;;0;0.00;;42;134.40
Banana Bread PINE NUT;0;34;129.20;4.76 %;;0;0.00;;34;129.20
ReCup ausgeben;0;125;125.00;4.61 %;;0;0.00;;125;125.00
Caffé Latte;0;28;98.00;3.61 %;;0;0.00;;28;98.00
Don Primitivo 250g;0;7;94.25;3.47 %;;0;0.00;;7;94.25
MUYU 250g;0;9;85.50;3.15 %;;0;0.00;;9;85.50
Hafer Cappuccino;0;23;73.60;2.71 %;;0;0.00;;23;73.60
Pain au chocolat;0;26;72.80;2.68 %;;0;0.00;;26;72.80
La Esperanza 250g;0;5;67.50;2.49 %;;0;0.00;;5;67.50
ALT Sandwich;0;16;67.20;2.48 %;;0;0.00;;16;67.20
Croissant;0;33;66.00;2.43 %;;0;0.00;;33;66.00
Kakao;0;18;63.00;2.32 %;;0;0.00;;18;63.00
Caffé Latte doppelt;0;15;57.00;2.10 %;;0;0.00;;15;57.00
Ouro 250g;0;6;54.00;1.99 %;;0;0.00;;6;54.00
Hafer Cappuccino Groß;0;14;53.20;1.96 %;;0;0.00;;14;53.20
La Esperanza 500g;0;2;52.00;1.92 %;;0;0.00;;2;52.00
ReCup ausgeben*;0;51;51.00;1.88 %;;0;0.00;;51;51.00
K‘OH 250g;0;3;46.50;1.71 %;;0;0.00;;3;46.50
FINCA ISNUL 250g;0;4;46.00;1.70 %;;0;0.00;;4;46.00
EL MORENO 250g;0;4;46.00;1.70 %;;0;0.00;;4;46.00
Americano groß;0;15;45.00;1.66 %;;0;0.00;;15;45.00
Café Crème groß;0;14;42.00;1.55 %;;0;0.00;;14;42.00
MUYU 500g;0;2;36.00;1.33 %;;0;0.00;;2;36.00
Tea;0;10;35.00;1.29 %;;0;0.00;;10;35.00
Ouro 500g;0;2;34.00;1.25 %;;0;0.00;;2;34.00
Hafer Flat White;0;8;30.40;1.12 %;;0;0.00;;8;30.40
Doppio;0;12;30.00;1.11 %;;0;0.00;;12;30.00
Filterkaffee;0;12;30.00;1.11 %;;0;0.00;;12;30.00
Guardabaxo 250g;0;3;28.50;1.05 %;;0;0.00;;3;28.50
MUYU BOTTLE 365;0;2;27.00;0.99 %;;0;0.00;;2;27.00
Espresso single;0;13;26.00;0.96 %;;0;0.00;;13;26.00
Hafer Caffè Latte;0;7;24.50;0.90 %;;0;0.00;;7;24.50
Café Crème;0;9;22.50;0.83 %;;0;0.00;;9;22.50
Americano;0;9;22.50;0.83 %;;0;0.00;;9;22.50
Kaltgetränk;0;8;22.40;0.83 %;;0;0.00;;8;22.40
Hafer Caffè Latte Groß;0;5;19.00;0.70 %;;0;0.00;;5;19.00
Guardabaxo 500g;0;1;18.00;0.66 %;;0;0.00;;1;18.00
Hand Brew;0;4;18.00;0.66 %;;0;0.00;;4;18.00
ReCup ausgeben **;0;15;15.00;0.55 %;;0;0.00;;15;15.00
Espresso Macchiato;0;5;12.50;0.46 %;;0;0.00;;5;12.50
Doppio Macchiato;0;4;12.00;0.44 %;;0;0.00;;4;12.00
ATSABE 250g;0;1;11.50;0.42 %;;0;0.00;;1;11.50
PAPAKUCHI 250g;0;1;9.50;0.35 %;;0;0.00;;1;9.50
Decaf Caffè Latte *;0;1;3.50;0.13 %;;0;0.00;;1;3.50
Hafer Kakao;0;1;3.50;0.13 %;;0;0.00;;1;3.50
Milchschaum Kids;0;3;0.00;0.00 %;;0;0.00;;3;0.00
ReCup annehmen **;0;12;-12.00;-0.44 %;;0;0.00;;12;-12.00
ReCup annehmen*;0;16;-16.00;-0.59 %;;0;0.00;;16;-16.00
ReCup annehmen ´;0;144;-144.00;-5.31 %;;0;0.00;;144;-144.00
ReCup annehmen;0;153;-153.00;-5.64 %;;0;0.00;;153;-153.00
;;;;
