;von;bis;;
Datum:;03.04.2021;03.04.2021;;
Enthalt Z;287;287;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2382.40;98.12 %;
Auslagen;;;44.00;1.81 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.70;0.07 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;44.00;1.81 %;
19.0%;;;552.80;22.78 %;
7.0%;;;1829.60;75.40 %;
Total;;;2426.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;44.00;1.98 %;
19.0%;;;464.40;20.94 %;
7.0%;;;1709.84;77.08 %;
Total;;;2218.24;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;88.40;42.47 %;
7.0%;;;119.76;57.53 %;
Total;;;208.16;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;199;1131.00;46.61 %;0.00
Maestro;;54;781.90;32.22 %;0.70
MasterCard;;11;92.20;3.80 %;0.00
Visa;;16;191.80;7.90 %;0.00
Visa Electron;;14;229.50;9.46 %;1.00
Total;;294;2426.40;100.00 %;1.70
;;;;
Umsatzdetails;;;;;
Anna;;;396.30;16.63 %;0.00
Elisa;;;649.00;27.24 %;0.30
Lena;;;1065.10;44.71 %;1.00
Martin;;;73.50;3.09 %;0.00
Sebastian;;;198.50;8.33 %;0.40
Total;;;2382.40;100.00 %;1.70
;;;;
Stornos;;;;;
Änderung durch Gast;;2;19.00;100.00 %;
Total;;2;19.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;290;2426.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;1056;1228.90;50.65 %;;0;0.00;;1056;1228.90
Sonstiges;;68;850.50;35.05 %;;0;0.00;;68;850.50
Speisen;;112;347.00;14.30 %;;0;0.00;;112;347.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;63;821.50;33.86 %;;0;0.00;;63;821.50
Milchmischgetränke;;413;737.10;30.38 %;;0;0.00;;413;737.10
Speisen;;112;347.00;14.30 %;;0;0.00;;112;347.00
Hafer;;143;295.90;12.20 %;;0;0.00;;143;295.90
Kaffee;;463;143.50;5.91 %;;0;0.00;;463;143.50
Non Kaffee;;36;48.60;2.00 %;;0;0.00;;36;48.60
Gutscheine;;3;15.00;0.62 %;;0;0.00;;3;15.00
Equipment;;2;14.00;0.58 %;;0;0.00;;2;14.00
decaf;;1;3.80;0.16 %;;0;0.00;;1;3.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;93;297.60;12.27 %;;0;0.00;;93;297.60
ReCup ausgeben ´;0;149;149.00;6.14 %;;0;0.00;;149;149.00
ReCup ausgeben;0;139;139.00;5.73 %;;0;0.00;;139;139.00
MUYU 250g;0;13;123.50;5.09 %;;0;0.00;;13;123.50
Cappuccino groß;0;30;114.00;4.70 %;;0;0.00;;30;114.00
Hafer Cappuccino;0;34;108.80;4.48 %;;0;0.00;;34;108.80
MUYU 1000g;0;3;102.00;4.20 %;;0;0.00;;3;102.00
Kanelbullar;0;30;96.00;3.96 %;;0;0.00;;30;96.00
Flat White;0;25;95.00;3.92 %;;0;0.00;;25;95.00
La Esperanza 250g;0;7;94.50;3.89 %;;0;0.00;;7;94.50
Banana Bread PINE NUT;0;22;83.60;3.45 %;;0;0.00;;22;83.60
FINCA ISNUL 250g;0;7;80.50;3.32 %;;0;0.00;;7;80.50
MUYU 500g;0;4;72.00;2.97 %;;0;0.00;;4;72.00
EL MORENO 250g;0;6;69.00;2.84 %;;0;0.00;;6;69.00
Caffé Latte;0;19;66.50;2.74 %;;0;0.00;;19;66.50
Americano;0;26;65.00;2.68 %;;0;0.00;;26;65.00
Croissant;0;29;63.80;2.63 %;;0;0.00;;29;63.80
Ouro 250g;0;6;54.00;2.23 %;;0;0.00;;6;54.00
Pain au chocolat;0;19;53.20;2.19 %;;0;0.00;;19;53.20
Hafer Cappuccino Groß;0;14;53.20;2.19 %;;0;0.00;;14;53.20
ReCup ausgeben*;0;52;52.00;2.14 %;;0;0.00;;52;52.00
ALT Sandwich;0;12;50.40;2.08 %;;0;0.00;;12;50.40
Espresso single;0;21;42.00;1.73 %;;0;0.00;;21;42.00
Kakao;0;12;42.00;1.73 %;;0;0.00;;12;42.00
Caffé Latte doppelt;0;11;41.80;1.72 %;;0;0.00;;11;41.80
Hafer Flat White;0;11;41.80;1.72 %;;0;0.00;;11;41.80
MUYU BOTTLE 365;0;3;40.50;1.67 %;;0;0.00;;3;40.50
Hafer Caffè Latte;0;11;38.50;1.59 %;;0;0.00;;11;38.50
LUA CLARA 250g;0;3;34.50;1.42 %;;0;0.00;;3;34.50
Filterkaffee;0;13;32.50;1.34 %;;0;0.00;;13;32.50
Don Primitivo 250g;0;2;29.00;1.20 %;;0;0.00;;2;29.00
Guardabaxo 250g;0;3;28.50;1.17 %;;0;0.00;;3;28.50
Doppio;0;9;22.50;0.93 %;;0;0.00;;9;22.50
EL MORENO 500g;0;1;22.00;0.91 %;;0;0.00;;1;22.00
Café Crème;0;8;20.00;0.82 %;;0;0.00;;8;20.00
Espresso Macchiato;0;8;20.00;0.82 %;;0;0.00;;8;20.00
Americano groß;0;6;18.00;0.74 %;;0;0.00;;6;18.00
PAPAKUCHI 500g;0;1;18.00;0.74 %;;0;0.00;;1;18.00
Lemon Tea;0;5;17.50;0.72 %;;0;0.00;;5;17.50
Ouro 500g;0;1;17.00;0.70 %;;0;0.00;;1;17.00
K‘OH 250g;0;1;15.50;0.64 %;;0;0.00;;1;15.50
5€ Gutschein;0;3;15.00;0.62 %;;0;0.00;;3;15.00
ReCup ausgeben **;0;14;14.00;0.58 %;;0;0.00;;14;14.00
Hario V60 filter (100) 02;0;2;14.00;0.58 %;;0;0.00;;2;14.00
ATSABE 250g;0;1;11.50;0.47 %;;0;0.00;;1;11.50
Black tea;0;3;10.50;0.43 %;;0;0.00;;3;10.50
PAPAKUCHI 250g;0;1;9.50;0.39 %;;0;0.00;;1;9.50
Hafer Caffè Latte Groß;0;2;7.60;0.31 %;;0;0.00;;2;7.60
Green tea;0;2;7.00;0.29 %;;0;0.00;;2;7.00
Hafer Kakao;0;2;7.00;0.29 %;;0;0.00;;2;7.00
Café Crème groß;0;2;6.00;0.25 %;;0;0.00;;2;6.00
Kaltgetränk;0;2;5.60;0.23 %;;0;0.00;;2;5.60
Hand Brew;0;1;4.50;0.19 %;;0;0.00;;1;4.50
Flat White auf Eis;0;1;4.20;0.17 %;;0;0.00;;1;4.20
Decaf Flat White *;0;1;3.80;0.16 %;;0;0.00;;1;3.80
Doppio Macchiato;0;1;3.00;0.12 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato dopio;0;1;3.00;0.12 %;;0;0.00;;1;3.00
Deckel ReCup;0;1;1.00;0.04 %;;0;0.00;;1;1.00
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup annehmen **;0;7;-7.00;-0.29 %;;0;0.00;;7;-7.00
ReCup annehmen*;0;16;-16.00;-0.66 %;;0;0.00;;16;-16.00
ReCup annehmen ´;0;73;-73.00;-3.01 %;;0;0.00;;73;-73.00
ReCup annehmen;0;229;-229.00;-9.44 %;;0;0.00;;229;-229.00
;;;;
