;von;bis;;
Datum:;05.05.2021;05.05.2021;;
Enthalt Z;321;321;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1027.30;96.98 %;
Auslagen;;;32.00;3.02 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;32.00;3.02 %;
19.0%;;;313.10;29.56 %;
7.0%;;;714.20;67.42 %;
Total;;;1059.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;32.00;3.32 %;
19.0%;;;263.03;27.33 %;
7.0%;;;667.45;69.35 %;
Total;;;962.48;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;50.07;51.71 %;
7.0%;;;46.75;48.29 %;
Total;;;96.82;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;106;379.90;35.86 %;0.00
Maestro;;32;407.50;38.47 %;0.00
MasterCard;;6;148.30;14.00 %;0.00
Visa;;2;34.70;3.28 %;0.00
Visa Electron;;8;88.90;8.39 %;0.00
Total;;154;1059.30;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;181.80;17.70 %;0.00
Khalid;;;526.50;51.25 %;0.00
Martin;;;116.40;11.33 %;0.00
Mik;;;202.60;19.72 %;0.00
Total;;;1027.30;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;154;1059.30;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;452;543.20;51.28 %;;0;0.00;;452;543.20
Sonstiges;;29;417.50;39.41 %;;0;0.00;;29;417.50
Speisen;;33;98.60;9.31 %;;0;0.00;;33;98.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;24;339.50;32.05 %;;0;0.00;;24;339.50
Milchmischgetränke;;266;234.10;22.10 %;;0;0.00;;266;234.10
Hafer;;82;161.80;15.27 %;;0;0.00;;82;161.80
Kaffee;;86;129.50;12.23 %;;0;0.00;;86;129.50
Speisen;;33;98.60;9.31 %;;0;0.00;;33;98.60
Equipment;;3;63.00;5.95 %;;0;0.00;;3;63.00
Gutscheine;;2;15.00;1.42 %;;0;0.00;;2;15.00
Non Kaffee;;16;13.00;1.23 %;;0;0.00;;16;13.00
decaf;;2;4.80;0.45 %;;0;0.00;;2;4.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;44;140.80;13.29 %;;0;0.00;;44;140.80
ReCup ausgeben ´;0;72;72.00;6.80 %;;0;0.00;;72;72.00
MUYU BOTTLE 365;0;5;67.50;6.37 %;;0;0.00;;5;67.50
Tasse M;0;2;56.00;5.29 %;;0;0.00;;2;56.00
EL MORENO 250g;0;4;46.00;4.34 %;;0;0.00;;4;46.00
Cappuccino groß;0;12;45.60;4.30 %;;0;0.00;;12;45.60
LUA CLARA 500g;0;2;44.00;4.15 %;;0;0.00;;2;44.00
Hafer Cappuccino;0;13;41.60;3.93 %;;0;0.00;;13;41.60
ReCup ausgeben*;0;39;39.00;3.68 %;;0;0.00;;39;39.00
MUYU 250g;0;4;38.00;3.59 %;;0;0.00;;4;38.00
Flat White;0;10;38.00;3.59 %;;0;0.00;;10;38.00
ReCup ausgeben;0;37;37.00;3.49 %;;0;0.00;;37;37.00
MUYU 500g;0;2;36.00;3.40 %;;0;0.00;;2;36.00
Filterkaffee;0;14;35.00;3.30 %;;0;0.00;;14;35.00
Hafer Cappuccino Groß;0;8;30.40;2.87 %;;0;0.00;;8;30.40
Kanelbullar;0;9;28.80;2.72 %;;0;0.00;;9;28.80
Banana Bread PINE NUT;0;7;26.60;2.51 %;;0;0.00;;7;26.60
Hafer Flat White;0;7;26.60;2.51 %;;0;0.00;;7;26.60
Gover Cueva 250g;0;2;25.00;2.36 %;;0;0.00;;2;25.00
Gover Cueva 500g;0;1;24.00;2.27 %;;0;0.00;;1;24.00
FINCA ISNUL 500g;0;1;22.00;2.08 %;;0;0.00;;1;22.00
Caffé Latte;0;6;21.00;1.98 %;;0;0.00;;6;21.00
Hand Brew;0;4;18.00;1.70 %;;0;0.00;;4;18.00
K‘HO 250g;0;1;15.50;1.46 %;;0;0.00;;1;15.50
Hafer Caffè Latte;0;4;14.00;1.32 %;;0;0.00;;4;14.00
Pain au chocolat;0;5;14.00;1.32 %;;0;0.00;;5;14.00
Green tea;0;4;14.00;1.32 %;;0;0.00;;4;14.00
Flat White auf Eis;0;3;12.60;1.19 %;;0;0.00;;3;12.60
Café Crème;0;5;12.50;1.18 %;;0;0.00;;5;12.50
Villa Maria 250g;0;1;12.50;1.18 %;;0;0.00;;1;12.50
Cookie;0;6;12.00;1.13 %;;0;0.00;;6;12.00
Kakao;0;3;10.50;0.99 %;;0;0.00;;3;10.50
10€ Gutschein;0;1;10.00;0.94 %;;0;0.00;;1;10.00
Americano;0;4;10.00;0.94 %;;0;0.00;;4;10.00
Ouro 250g;0;1;9.00;0.85 %;;0;0.00;;1;9.00
Croissant;0;4;8.80;0.83 %;;0;0.00;;4;8.80
ALT Sandwich;0;2;8.40;0.79 %;;0;0.00;;2;8.40
Caffé Latte doppelt;0;2;7.60;0.72 %;;0;0.00;;2;7.60
Doppio;0;3;7.50;0.71 %;;0;0.00;;3;7.50
Hario V60 filter (100) 02;0;1;7.00;0.66 %;;0;0.00;;1;7.00
Espresso single;0;3;6.00;0.57 %;;0;0.00;;3;6.00
Hafer Espresso Macchiato dopio;0;2;6.00;0.57 %;;0;0.00;;2;6.00
Americano groß;0;2;6.00;0.57 %;;0;0.00;;2;6.00
5€ Gutschein;0;1;5.00;0.47 %;;0;0.00;;1;5.00
ReCup ausgeben **;0;5;5.00;0.47 %;;0;0.00;;5;5.00
Hafer Flat White auf ice;0;1;4.20;0.40 %;;0;0.00;;1;4.20
Decaf Flat White *;0;1;3.80;0.36 %;;0;0.00;;1;3.80
Hafer Kakao;0;1;3.50;0.33 %;;0;0.00;;1;3.50
Doppio Macchiato;0;1;3.00;0.28 %;;0;0.00;;1;3.00
Café Crème groß;0;1;3.00;0.28 %;;0;0.00;;1;3.00
Espresso Macchiato;0;1;2.50;0.24 %;;0;0.00;;1;2.50
Hafer Espresso Macchiato;0;1;2.50;0.24 %;;0;0.00;;1;2.50
ReCup ausgeben* 1;0;1;1.00;0.09 %;;0;0.00;;1;1.00
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup annehmen*;0;6;-6.00;-0.57 %;;0;0.00;;6;-6.00
ReCup annehmen **;0;6;-6.00;-0.57 %;;0;0.00;;6;-6.00
ReCup annehmen;0;11;-11.00;-1.04 %;;0;0.00;;11;-11.00
ReCup annehmen ´;0;114;-114.00;-10.76 %;;0;0.00;;114;-114.00
;;;;
