;von;bis;;
Datum:;29.06.2021;29.06.2021;;
Enthalt Z;377;377;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;931.40;100.25 %;
Auslagen;;;-3.00;-0.32 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.70;0.08 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-3.00;-0.32 %;
19.0%;;;310.00;33.39 %;
7.0%;;;621.40;66.93 %;
Total;;;928.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-3.00;-0.36 %;
19.0%;;;260.49;31.07 %;
7.0%;;;580.90;69.29 %;
Total;;;838.39;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;49.51;55.00 %;
7.0%;;;40.50;45.00 %;
Total;;;90.01;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;90;528.30;56.90 %;0.00
Maestro;;25;267.30;28.79 %;0.70
MasterCard;;8;62.20;6.70 %;0.00
Visa;;6;52.00;5.60 %;0.00
Visa Electron;;3;18.60;2.00 %;0.00
Total;;132;928.40;100.00 %;0.70
;;;;
Umsatzdetails;;;;;
Laura;;;303.10;32.54 %;0.00
Mik;;;24.80;2.66 %;0.00
Sebastian;;;369.30;39.65 %;0.00
Slobo;;;234.20;25.14 %;0.70
Total;;;931.40;100.00 %;0.70
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;131;917.40;98.82 %;
Tisch 7;;1;11.00;1.18 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;226;556.40;59.93 %;;0;0.00;;226;556.40
Sonstiges;;15;223.00;24.02 %;;0;0.00;;15;223.00
Speisen;;49;149.00;16.05 %;;0;0.00;;49;149.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;119;249.20;26.84 %;;0;0.00;;119;249.20
Röstkaffee;;14;188.00;20.25 %;;0;0.00;;14;188.00
Speisen;;49;149.00;16.05 %;;0;0.00;;49;149.00
Hafer;;38;121.60;13.10 %;;0;0.00;;38;121.60
Kaffee;;49;114.80;12.37 %;;0;0.00;;49;114.80
Non Kaffee;;10;37.00;3.99 %;;0;0.00;;10;37.00
Equipment;;1;35.00;3.77 %;;0;0.00;;1;35.00
Summer;;6;25.20;2.71 %;;0;0.00;;6;25.20
Decaf;;4;8.60;0.93 %;;0;0.00;;4;8.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;42;142.80;15.38 %;;0;0.00;;42;142.80
Banana Bread PINE NUT;0;14;53.20;5.73 %;;0;0.00;;14;53.20
Flat White auf Eis;0;12;50.40;5.43 %;;0;0.00;;12;50.40
Kanelbullar;0;13;41.60;4.48 %;;0;0.00;;13;41.60
Americano;0;14;39.20;4.22 %;;0;0.00;;14;39.20
Villa Maria 250g;0;3;37.50;4.04 %;;0;0.00;;3;37.50
Tasse L;0;1;35.00;3.77 %;;0;0.00;;1;35.00
EL MORENO 250g;0;3;34.50;3.72 %;;0;0.00;;3;34.50
Hafer Cappuccino;0;10;34.00;3.66 %;;0;0.00;;10;34.00
Hafer Flat White auf Eis;0;8;33.60;3.62 %;;0;0.00;;8;33.60
Cappuccino groß;0;6;25.20;2.71 %;;0;0.00;;6;25.20
Gover Cueva 250g;0;2;25.00;2.69 %;;0;0.00;;2;25.00
Croissant;0;11;24.20;2.61 %;;0;0.00;;11;24.20
Hafer Flat White;0;6;22.80;2.46 %;;0;0.00;;6;22.80
FINCA ISNUL 500g;0;1;22.00;2.37 %;;0;0.00;;1;22.00
EL CARMEN Decaf 500g;0;1;22.00;2.37 %;;0;0.00;;1;22.00
Caffé Latte;0;6;21.60;2.33 %;;0;0.00;;6;21.60
Pain au Chocolat;0;7;19.60;2.11 %;;0;0.00;;7;19.60
ReCup ausgeben ´;0;19;19.00;2.05 %;;0;0.00;;19;19.00
Flat White;0;4;15.20;1.64 %;;0;0.00;;4;15.20
Don Primitivo 250g;0;1;14.50;1.56 %;;0;0.00;;1;14.50
Lemon Verbena Tea;0;3;13.80;1.49 %;;0;0.00;;3;13.80
Black Tea;0;3;13.80;1.49 %;;0;0.00;;3;13.80
Filterkaffee;0;5;13.00;1.40 %;;0;0.00;;5;13.00
Espresso Macchiato;0;5;12.00;1.29 %;;0;0.00;;5;12.00
Americano groß;0;4;12.00;1.29 %;;0;0.00;;4;12.00
EL CARMEN Decaf 250g;0;1;11.50;1.24 %;;0;0.00;;1;11.50
Izuba 250g;0;1;11.50;1.24 %;;0;0.00;;1;11.50
Coldbrew;0;3;11.40;1.23 %;;0;0.00;;3;11.40
Cold Brew;0;3;11.40;1.23 %;;0;0.00;;3;11.40
Hafer Caffè Latte;0;3;10.80;1.16 %;;0;0.00;;3;10.80
MUYU 250g;0;1;9.50;1.02 %;;0;0.00;;1;9.50
Espresso Single;0;4;8.80;0.95 %;;0;0.00;;4;8.80
Mineralwasser;0;3;8.40;0.90 %;;0;0.00;;3;8.40
Espresso Tonic;0;2;8.40;0.90 %;;0;0.00;;2;8.40
Hafer Caffè Latte groß;0;2;8.00;0.86 %;;0;0.00;;2;8.00
Espresso Doppio;0;3;7.80;0.84 %;;0;0.00;;3;7.80
Scone;0;2;6.40;0.69 %;;0;0.00;;2;6.40
Espresso Doppio Macchiato;0;2;6.00;0.65 %;;0;0.00;;2;6.00
ReCup ausgeben*;0;6;6.00;0.65 %;;0;0.00;;6;6.00
Nimbus Cocktail;0;1;5.40;0.58 %;;0;0.00;;1;5.40
Hand Brew;0;1;4.60;0.50 %;;0;0.00;;1;4.60
Decaf Flat White auf Eis;0;1;4.20;0.45 %;;0;0.00;;1;4.20
Hafer Cappuccino Groß;0;1;4.20;0.45 %;;0;0.00;;1;4.20
ReCup ausgeben;0;4;4.00;0.43 %;;0;0.00;;4;4.00
Kakao groß;0;1;4.00;0.43 %;;0;0.00;;1;4.00
Cookie;0;2;4.00;0.43 %;;0;0.00;;2;4.00
Hafer Kakao;0;1;3.20;0.34 %;;0;0.00;;1;3.20
Decaf Espresso Macchiato;0;1;2.40;0.26 %;;0;0.00;;1;2.40
