;von;bis;;
Datum:;06.07.2021;06.07.2021;;
Enthalt Z;384;384;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1442.00;98.90 %;
Auslagen;;;16.00;1.10 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;16.00;1.10 %;
19.0%;;;433.20;29.71 %;
7.0%;;;1008.80;69.19 %;
Total;;;1458.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;16.00;1.21 %;
19.0%;;;363.99;27.51 %;
7.0%;;;942.92;71.28 %;
Total;;;1322.91;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;69.21;51.23 %;
7.0%;;;65.88;48.77 %;
Total;;;135.09;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;115;711.30;48.79 %;0.00
Maestro;;48;411.70;28.24 %;0.00
MasterCard;;7;96.00;6.58 %;0.00
Visa;;9;123.10;8.44 %;0.00
Visa Electron;;8;115.90;7.95 %;0.00
Total;;187;1458.00;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;287.30;19.92 %;0.00
Khalid;;;840.00;58.25 %;0.00
Mik;;;4.20;0.29 %;0.00
Robin;;;238.40;16.53 %;0.00
Slobo;;;72.10;5.00 %;0.00
Total;;;1442.00;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;4.60;100.00 %;
Total;;1;4.60;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;4.50;100.00 %;
Total;;1;4.50;100.00 %;
;;;;
Tische;;;;;
Theke;;182;1431.40;98.18 %;
Tisch 7;;5;26.60;1.82 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;315;841.60;57.72 %;;18;57.40;;297;784.20
Sonstiges;;29;431.00;29.56 %;;1;11.50;;28;419.50
Speisen;;62;185.40;12.72 %;;4;13.40;;58;172.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;29;431.00;29.56 %;;1;11.50;;28;419.50
Milchmischgetränke;;140;403.00;27.64 %;;9;31.40;;131;371.60
Speisen;;62;185.40;12.72 %;;4;13.40;;58;172.00
Hafer;;74;183.00;12.55 %;;4;14.40;;70;168.60
Kaffee;;76;159.60;10.95 %;;5;11.60;;71;148.00
Non Kaffee;;13;47.40;3.25 %;;0;0.00;;13;47.40
Summer;;9;37.80;2.59 %;;0;0.00;;9;37.80
Decaf;;3;10.80;0.74 %;;0;0.00;;3;10.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;58;197.20;13.53 %;;8;27.20;;50;170.00
Hafer Cappuccino;0;19;64.60;4.43 %;;3;10.20;;16;54.40
Caffé Latte;0;17;61.20;4.20 %;;0;0.00;;17;61.20
Flat White;0;14;53.20;3.65 %;;0;0.00;;14;53.20
MUYU 500g;0;3;49.50;3.40 %;;0;0.00;;3;49.50
Banana Bread PINE NUT;0;13;49.40;3.39 %;;1;3.80;;12;45.60
Hafer Flat White auf Eis;0;10;42.00;2.88 %;;1;4.20;;9;37.80
Kanelbullar;0;13;41.60;2.85 %;;2;6.40;;11;35.20
MUYU 250g;0;4;38.00;2.61 %;;0;0.00;;4;38.00
Cappuccino groß;0;9;37.80;2.59 %;;0;0.00;;9;37.80
Gover Cueva 250g;0;3;37.50;2.57 %;;0;0.00;;3;37.50
Izuba 250g;0;3;34.50;2.37 %;;0;0.00;;3;34.50
MIKOLAJ Limonade;0;9;34.20;2.35 %;;0;0.00;;9;34.20
