;von;bis;;
Datum:;09.07.2021;09.07.2021;;
Enthalt Z;387;387;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2011.00;101.52 %;
Auslagen;;;-32.00;-1.62 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.90;0.10 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-32.00;-1.62 %;
19.0%;;;581.00;29.36 %;
7.0%;;;1430.00;72.26 %;
Total;;;1979.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-32.00;-1.78 %;
19.0%;;;488.18;27.23 %;
7.0%;;;1336.61;74.55 %;
Total;;;1792.79;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;92.82;49.85 %;
7.0%;;;93.39;50.15 %;
Total;;;186.21;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;156;951.50;48.08 %;0.00
Maestro;;59;622.20;31.44 %;0.20
MasterCard;;19;190.30;9.62 %;1.30
Visa;;11;111.00;5.61 %;0.00
Visa Electron;;9;104.00;5.26 %;0.40
Total;;254;1979.00;100.00 %;1.90
;;;;
Umsatzdetails;;;;;
Anna;;;108.20;5.38 %;1.30
Laura;;;1175.20;58.44 %;0.60
Robin;;;550.40;27.37 %;0.00
Sebastian;;;177.20;8.81 %;0.00
Total;;;2011.00;100.00 %;1.90
;;;;
Stornos;;;;;
vertippt;;4;15.80;100.00 %;
Total;;4;15.80;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;3;19.10;100.00 %;
Total;;3;19.10;100.00 %;
;;;;
Tische;;;;;
Theke;;249;1958.10;98.94 %;
Tisch 7;;3;20.90;1.06 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;522;1056.60;53.39 %;;0;0.00;;522;1056.60
Sonstiges;;45;612.40;30.94 %;;0;0.00;;45;612.40
Speisen;;98;310.00;15.66 %;;0;0.00;;98;310.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;42;567.40;28.67 %;;0;0.00;;42;567.40
Milchmischgetränke;;193;470.20;23.76 %;;0;0.00;;193;470.20
Hafer;;105;334.00;16.88 %;;0;0.00;;105;334.00
Speisen;;98;310.00;15.66 %;;0;0.00;;98;310.00
Kaffee;;182;101.60;5.13 %;;0;0.00;;182;101.60
Summer;;20;84.40;4.26 %;;0;0.00;;20;84.40
Non Kaffee;;20;59.00;2.98 %;;0;0.00;;20;59.00
Gutscheine;;3;45.00;2.27 %;;0;0.00;;3;45.00
Decaf;;2;7.40;0.37 %;;0;0.00;;2;7.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;55;187.00;9.45 %;;0;0.00;;55;187.00
Hafer Cappuccino;0;32;108.80;5.50 %;;0;0.00;;32;108.80
Flat White;0;24;91.20;4.61 %;;0;0.00;;24;91.20
MUYU 250g;0;9;85.50;4.32 %;;0;0.00;;9;85.50
Cappuccino groß;0;19;79.80;4.03 %;;0;0.00;;19;79.80
Banana Bread PINE NUT;0;20;76.00;3.84 %;;0;0.00;;20;76.00
Hafer Flat White auf Eis;0;17;71.40;3.61 %;;0;0.00;;17;71.40
MUYU 1000g;0;2;68.00;3.44 %;;0;0.00;;2;68.00
Kanelbullar;0;19;60.80;3.07 %;;0;0.00;;19;60.80
Caffé Latte;0;15;54.00;2.73 %;;0;0.00;;15;54.00
Hafer Flat White;0;14;53.20;2.69 %;;0;0.00;;14;53.20
Kuchen Maple Carrot;0;11;52.80;2.67 %;;0;0.00;;11;52.80
Gover Cueva 250g;0;4;50.00;2.53 %;;0;0.00;;4;50.00
MUYU 500g;0;3;49.50;2.50 %;;0;0.00;;3;49.50
Hafer Caffè Latte;0;13;46.80;2.36 %;;0;0.00;;13;46.80
Villa Maria 250g;0;4;43.78;2.21 %;;0;0.00;;4;43.78
Americano;0;15;42.00;2.12 %;;0;0.00;;15;42.00
Guardabaxo 250g;0;4;38.00;1.92 %;;0;0.00;;4;38.00
Flat White auf Eis.;0;9;37.80;1.91 %;;0;0.00;;9;37.80
Flat White auf Eis;0;9;37.80;1.91 %;;0;0.00;;9;37.80
Croissant;0;16;35.20;1.78 %;;0;0.00;;16;35.20
ReCup ausgeben ´;0;34;34.00;1.72 %;;0;0.00;;34;34.00
EL MORENO 250g;0;3;31.62;1.60 %;;0;0.00;;3;31.62
K‘HO 250g;0;2;31.00;1.57 %;;0;0.00;;2;31.00
MIKOLAJ Limonade;0;8;30.40;1.54 %;;0;0.00;;8;30.40
Pain au Chocolat;0;10;28.00;1.41 %;;0;0.00;;10;28.00
Espresso Macchiato;0;11;26.40;1.33 %;;0;0.00;;11;26.40
Filterkaffee;0;10;26.00;1.31 %;;0;0.00;;10;26.00
25€ Gutschein;0;1;25.00;1.26 %;;0;0.00;;1;25.00
Espresso Single;0;11;24.20;1.22 %;;0;0.00;;11;24.20
Gover Cueva 500g;0;1;24.00;1.21 %;;0;0.00;;1;24.00
Espresso Doppio;0;9;23.40;1.18 %;;0;0.00;;9;23.40
Izuba 250g;0;2;23.00;1.16 %;;0;0.00;;2;23.00
Brownie;0;7;22.40;1.13 %;;0;0.00;;7;22.40
Cookie;0;11;22.00;1.11 %;;0;0.00;;11;22.00
EL MORENO 500g;0;1;22.00;1.11 %;;0;0.00;;1;22.00
Izuba 500g;0;1;22.00;1.11 %;;0;0.00;;1;22.00
Hafer Cappuccino Groß;0;5;21.00;1.06 %;;0;0.00;;5;21.00
10€ Gutschein;0;2;20.00;1.01 %;;0;0.00;;2;20.00
Cold Brew;0;5;19.00;0.96 %;;0;0.00;;5;19.00
Hand Brew;0;4;18.40;0.93 %;;0;0.00;;4;18.40
Espresso Tonic;0;4;16.80;0.85 %;;0;0.00;;4;16.80
FINCA ISNUL 500g;0;1;16.50;0.83 %;;0;0.00;;1;16.50
ReCup ausgeben*;0;16;16.00;0.81 %;;0;0.00;;16;16.00
Coldbrew;0;4;15.20;0.77 %;;0;0.00;;4;15.20
Espresso Doppio Macchiato;0;5;15.00;0.76 %;;0;0.00;;5;15.00
Don Primitivo 250g;0;1;14.50;0.73 %;;0;0.00;;1;14.50
MUYU BOTTLE 365;0;1;13.50;0.68 %;;0;0.00;;1;13.50
Scone;0;4;12.80;0.65 %;;0;0.00;;4;12.80
Apfelschorle;0;4;12.00;0.61 %;;0;0.00;;4;12.00
ATSABE 250g;0;1;11.50;0.58 %;;0;0.00;;1;11.50
FINCA ISNUL 250g;0;1;11.50;0.58 %;;0;0.00;;1;11.50
EL CARMEN Decaf 250g;0;1;11.50;0.58 %;;0;0.00;;1;11.50
Nimbus Cocktail;0;2;10.80;0.55 %;;0;0.00;;2;10.80
ReCup ausgeben;0;10;10.00;0.51 %;;0;0.00;;10;10.00
Mineralwasser;0;3;8.40;0.42 %;;0;0.00;;3;8.40
Caffé Latte doppelt;0;2;8.00;0.40 %;;0;0.00;;2;8.00
Hafer Caffè Latte groß;0;2;8.00;0.40 %;;0;0.00;;2;8.00
Kakao;0;2;6.40;0.32 %;;0;0.00;;2;6.40
Hafer Espresso Macchiato groß;0;2;6.00;0.30 %;;0;0.00;;2;6.00
Hafer Espresso Macchiato;0;2;4.80;0.24 %;;0;0.00;;2;4.80
Black Tea;0;1;4.60;0.23 %;;0;0.00;;1;4.60
Lemon Verbena Tea;0;1;4.60;0.23 %;;0;0.00;;1;4.60
Kakao groß;0;1;4.00;0.20 %;;0;0.00;;1;4.00
Decaf Caffè Latte Groß;0;1;4.00;0.20 %;;0;0.00;;1;4.00
Decaf Cappuccino;0;1;3.40;0.17 %;;0;0.00;;1;3.40
Americano groß;0;1;3.00;0.15 %;;0;0.00;;1;3.00
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup annehmen **;0;1;-1.00;-0.05 %;;0;0.00;;1;-1.00
ReCup annehmen*;0;2;-2.00;-0.10 %;;0;0.00;;2;-2.00
ReCup annehmen ´;0;32;-32.00;-1.62 %;;0;0.00;;32;-32.00
ReCup annehmen;0;102;-102.00;-5.15 %;;0;0.00;;102;-102.00
;;;;
