;von;bis;;
Datum:;11.07.2021;11.07.2021;;
Enthalt Z;389;389;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1867.90;96.20 %;
Auslagen;;;73.00;3.76 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.80;0.04 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;73.00;3.76 %;
19.0%;;;435.40;22.43 %;
7.0%;;;1432.50;73.81 %;
Total;;;1940.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;73.00;4.11 %;
19.0%;;;365.86;20.58 %;
7.0%;;;1338.92;75.31 %;
Total;;;1777.78;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;69.54;42.63 %;
7.0%;;;93.58;57.37 %;
Total;;;163.12;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;137;1011.00;52.09 %;0.00
Maestro;;48;535.60;27.60 %;0.80
MasterCard;;7;98.00;5.05 %;0.00
Mehrzweckgutschein;;1;6.80;0.35 %;0.00
Visa;;13;172.30;8.88 %;0.00
Visa Electron;;7;117.20;6.04 %;0.00
Total;;213;1940.90;100.00 %;0.80
;;;;
Umsatzdetails;;;;;
Anna;;;45.80;2.45 %;0.00
Annacotta;;;1235.80;66.16 %;0.80
Emanuel;;;19.00;1.02 %;0.00
Katharina;;;278.90;14.93 %;0.00
Raquel;;;288.40;15.44 %;0.00
Total;;;1867.90;100.00 %;0.80
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;213;1940.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;434;1221.20;62.92 %;;0;0.00;;434;1221.20
Sonstiges;;28;387.50;19.96 %;;0;0.00;;28;387.50
Speisen;;99;332.20;17.12 %;;0;0.00;;99;332.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;229;718.60;37.02 %;;0;0.00;;229;718.60
Röstkaffee;;26;368.50;18.99 %;;0;0.00;;26;368.50
Speisen;;99;332.20;17.12 %;;0;0.00;;99;332.20
Kaffee;;126;249.40;12.85 %;;0;0.00;;126;249.40
Hafer;;39;133.80;6.89 %;;0;0.00;;39;133.80
Non Kaffee;;28;67.00;3.45 %;;0;0.00;;28;67.00
Summer;;11;48.20;2.48 %;;0;0.00;;11;48.20
Equipment;;2;19.00;0.98 %;;0;0.00;;2;19.00
Decaf;;1;4.20;0.22 %;;0;0.00;;1;4.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;62;210.80;10.86 %;;0;0.00;;62;210.80
Flat White;0;41;155.80;8.03 %;;0;0.00;;41;155.80
Flat White auf Eis;0;28;117.60;6.06 %;;0;0.00;;28;117.60
Cappuccino groß;0;23;96.60;4.98 %;;0;0.00;;23;96.60
Kanelbullar;0;25;80.00;4.12 %;;0;0.00;;25;80.00
Caffé Latte;0;19;68.40;3.52 %;;0;0.00;;19;68.40
Kuchen Maple Carrot;0;12;57.60;2.97 %;;0;0.00;;12;57.60
MUYU 250g;0;6;57.00;2.94 %;;0;0.00;;6;57.00
Americano;0;19;53.20;2.74 %;;0;0.00;;19;53.20
Villa Maria 250g;0;4;50.00;2.58 %;;0;0.00;;4;50.00
Hafer Flat White auf Eis;0;11;46.20;2.38 %;;0;0.00;;11;46.20
