;von;bis;;
Datum:;27.07.2021;27.07.2021;;
Enthalt Z;406;407;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1769.10;98.37 %;
Auslagen;;;28.00;1.56 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.40;0.08 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;1.56 %;
19.0%;;;594.40;33.08 %;
7.0%;;;1174.70;65.37 %;
Total;;;1797.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;1.72 %;
19.0%;;;499.43;30.73 %;
7.0%;;;1098.01;67.55 %;
Total;;;1625.44;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;94.97;55.32 %;
7.0%;;;76.69;44.68 %;
Total;;;171.66;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;170;919.20;51.15 %;0.00
Maestro;;53;509.00;28.32 %;1.40
MasterCard;;9;105.90;5.89 %;0.00
Visa;;9;95.70;5.33 %;0.00
Visa Electron;;19;167.30;9.31 %;0.00
Total;;260;1797.10;100.00 %;1.40
;;;;
Umsatzdetails;;;;;
Mik;;;18.00;1.02 %;0.00
Robin;;;315.20;17.82 %;0.00
Sebastian;;;778.50;44.01 %;0.00
Slobo;;;657.40;37.16 %;1.40
Total;;;1769.10;100.00 %;1.40
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;9.50;100.00 %;
Total;;1;9.50;100.00 %;
;;;;
Tische;;;;;
Theke;;242;1681.90;93.59 %;
Tisch 7;;18;115.20;6.41 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;399;1157.80;64.43 %;;0;0.00;;399;1157.80
Sonstiges;;31;428.50;23.84 %;;0;0.00;;31;428.50
Speisen;;72;210.80;11.73 %;;0;0.00;;72;210.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;158;503.00;27.99 %;;0;0.00;;158;503.00
Röstkaffee;;27;380.50;21.17 %;;0;0.00;;27;380.50
Hafer;;122;361.00;20.09 %;;0;0.00;;122;361.00
Speisen;;72;210.80;11.73 %;;0;0.00;;72;210.80
Kaffee;;73;150.80;8.39 %;;0;0.00;;73;150.80
Summer;;22;88.40;4.92 %;;0;0.00;;22;88.40
Non Kaffee;;24;54.60;3.04 %;;0;0.00;;24;54.60
Equipment;;1;28.00;1.56 %;;0;0.00;;1;28.00
Gutscheine;;3;20.00;1.11 %;;0;0.00;;3;20.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;52;176.80;9.84 %;;0;0.00;;52;176.80
Flat White auf Eis;0;24;100.80;5.61 %;;0;0.00;;24;100.80
Hafer Cappuccino;0;29;98.60;5.49 %;;0;0.00;;29;98.60
Hafer Flat White auf Eis;0;23;96.60;5.38 %;;0;0.00;;23;96.60
Banana Bread PINE NUT;0;18;68.40;3.81 %;;0;0.00;;18;68.40
MUYU 500g;0;4;67.50;3.76 %;;0;0.00;;4;67.50
Cappuccino groß;0;15;63.00;3.51 %;;0;0.00;;15;63.00
Hafer Cappuccino Groß;0;13;54.60;3.04 %;;0;0.00;;13;54.60
Hafer Caffè Latte;0;15;54.00;3.00 %;;0;0.00;;15;54.00
Caffé Latte;0;14;50.40;2.80 %;;0;0.00;;14;50.40
Cold Brew;0;13;49.40;2.75 %;;0;0.00;;13;49.40
Flat White;0;12;45.60;2.54 %;;0;0.00;;12;45.60
Americano;0;16;44.80;2.49 %;;0;0.00;;16;44.80
FINCA ISNUL 500g;0;2;44.00;2.45 %;;0;0.00;;2;44.00
Kanelbullar;0;13;41.60;2.31 %;;0;0.00;;13;41.60
Croissant;0;18;39.60;2.20 %;;0;0.00;;18;39.60
MUYU 250g;0;4;38.00;2.11 %;;0;0.00;;4;38.00
MIKOLAJ Limonade;0;10;38.00;2.11 %;;0;0.00;;10;38.00
Hafer Flat White;0;10;38.00;2.11 %;;0;0.00;;10;38.00
Kakao groß;0;9;36.00;2.00 %;;0;0.00;;9;36.00
EL CARMEN Decaf 250g;0;3;34.50;1.92 %;;0;0.00;;3;34.50
Filterkaffee;0;13;33.80;1.88 %;;0;0.00;;13;33.80
Espresso Tonic;0;8;33.60;1.87 %;;0;0.00;;8;33.60
K‘HO 250g;0;2;31.00;1.73 %;;0;0.00;;2;31.00
Tasse M;0;1;28.00;1.56 %;;0;0.00;;1;28.00
Pain au Chocolat;0;10;28.00;1.56 %;;0;0.00;;10;28.00
Gover Cueva 500g;0;1;24.00;1.34 %;;0;0.00;;1;24.00
ATSABE 250g;0;2;23.00;1.28 %;;0;0.00;;2;23.00
EL CARMEN Decaf 500g;0;1;22.00;1.22 %;;0;0.00;;1;22.00
Brownie;0;6;19.20;1.07 %;;0;0.00;;6;19.20
Guardabaxo 250g;0;2;19.00;1.06 %;;0;0.00;;2;19.00
Espresso Doppio;0;7;18.20;1.01 %;;0;0.00;;7;18.20
ReCup ausgeben ´;0;17;17.00;0.95 %;;0;0.00;;17;17.00
Caffé Latte doppelt;0;4;16.00;0.89 %;;0;0.00;;4;16.00
Espresso Doppio Macchiato;0;5;15.00;0.83 %;;0;0.00;;5;15.00
Apfelschorle;0;5;15.00;0.83 %;;0;0.00;;5;15.00
M.Morales 500g;0;1;15.00;0.83 %;;0;0.00;;1;15.00
Don Primitivo 250g;0;1;14.50;0.81 %;;0;0.00;;1;14.50
ReCup ausgeben*;0;14;14.00;0.78 %;;0;0.00;;14;14.00
Cookie;0;7;14.00;0.78 %;;0;0.00;;7;14.00
MUYU BOTTLE 365;0;1;13.50;0.75 %;;0;0.00;;1;13.50
Villa Maria 250g;0;1;12.50;0.70 %;;0;0.00;;1;12.50
