;von;bis;;
Datum:;28.07.2021;28.07.2021;;
Enthalt Z;408;408;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1566.20;98.98 %;
Auslagen;;;14.00;0.88 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.20;0.14 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;14.00;0.89 %;
19.0%;;;489.60;30.98 %;
7.0%;;;1076.60;68.13 %;
Total;;;1580.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;14.00;0.98 %;
19.0%;;;411.35;28.73 %;
7.0%;;;1006.30;70.29 %;
Total;;;1431.65;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;78.25;52.68 %;
7.0%;;;70.30;47.32 %;
Total;;;148.55;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;146;669.60;42.37 %;0.00
Maestro;;43;458.90;29.04 %;0.60
MasterCard;;13;143.70;9.09 %;1.60
Mehrzweckgutschein;;1;1.60;0.10 %;0.00
Visa;;11;110.00;6.96 %;0.00
Visa Electron;;13;196.40;12.43 %;0.00
Total;;227;1580.20;100.00 %;2.20
;;;;
Umsatzdetails;;;;;
Emanuel;;;502.00;32.05 %;1.60
Mik;;;496.80;31.72 %;0.00
Robin;;;567.40;36.23 %;0.60
Total;;;1566.20;100.00 %;2.20
;;;;
Stornos;;;;;
Änderung durch Gast;;1;11.50;100.00 %;
Total;;1;11.50;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;181;1320.20;83.55 %;
Tisch 7;;41;260.00;16.45 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;334;884.00;55.94 %;;8;30.20;;326;853.80
Sonstiges;;33;485.00;30.69 %;;0;0.00;;33;485.00
Speisen;;72;211.20;13.37 %;;3;8.00;;69;203.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;173;490.80;31.06 %;;4;15.20;;169;475.60
Röstkaffee;;25;343.00;21.71 %;;0;0.00;;25;343.00
Speisen;;72;211.20;13.37 %;;3;8.00;;69;203.20
Hafer;;51;148.20;9.38 %;;4;15.00;;47;133.20
Equipment;;8;142.00;8.99 %;;0;0.00;;8;142.00
Kaffee;;72;133.40;8.44 %;;0;0.00;;72;133.40
Summer;;15;61.80;3.91 %;;0;0.00;;15;61.80
Non Kaffee;;22;46.40;2.94 %;;0;0.00;;22;46.40
Decaf;;1;3.40;0.22 %;;0;0.00;;1;3.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;50;170.00;10.76 %;;2;6.80;;48;163.20
Flat White;0;21;79.80;5.05 %;;0;0.00;;21;79.80
Hafer Cappuccino;0;22;74.80;4.73 %;;1;3.40;;21;71.40
Tasse S;0;4;72.00;4.56 %;;0;0.00;;4;72.00
Caffé Latte;0;19;68.40;4.33 %;;0;0.00;;19;68.40
Kanelbullar;0;20;64.00;4.05 %;;0;0.00;;20;64.00
Flat White auf Eis;0;15;63.00;3.99 %;;0;0.00;;15;63.00
MUYU 250g;0;6;57.00;3.61 %;;0;0.00;;6;57.00
Tasse M;0;2;56.00;3.54 %;;0;0.00;;2;56.00
Cappuccino groß;0;13;54.60;3.46 %;;2;8.40;;11;46.20
Pain au Chocolat;0;18;50.40;3.19 %;;1;2.80;;17;47.60
Banana Bread PINE NUT;0;12;45.60;2.89 %;;0;0.00;;12;45.60
Guardabaxo 250g;0;4;38.00;2.40 %;;0;0.00;;4;38.00
Hafer Flat White auf Eis;0;9;37.80;2.39 %;;1;4.20;;8;33.60
Villa Maria 250g;0;3;37.50;2.37 %;;0;0.00;;3;37.50
MUYU 1000g;0;1;34.00;2.15 %;;0;0.00;;1;34.00
K‘HO 250g;0;2;31.00;1.96 %;;0;0.00;;2;31.00
Americano;0;11;30.80;1.95 %;;0;0.00;;11;30.80
ReCup ausgeben ´;0;30;30.00;1.90 %;;0;0.00;;30;30.00
Croissant;0;12;26.40;1.67 %;;0;0.00;;12;26.40
Gover Cueva 500g;0;1;24.00;1.52 %;;0;0.00;;1;24.00
Caffé Latte doppelt;0;6;24.00;1.52 %;;0;0.00;;6;24.00
Villa Maria 500g;0;1;24.00;1.52 %;;0;0.00;;1;24.00
Izuba 250g;0;2;23.00;1.46 %;;0;0.00;;2;23.00
MIKOLAJ Limonade;0;6;22.80;1.44 %;;0;0.00;;6;22.80
Cold Brew;0;6;22.80;1.44 %;;0;0.00;;6;22.80
Hafer Flat White;0;6;22.80;1.44 %;;1;3.80;;5;19.00
FINCA ISNUL 500g;0;1;22.00;1.39 %;;0;0.00;;1;22.00
Flat White auf Eis.;0;5;21.00;1.33 %;;0;0.00;;5;21.00
Apfelschorle;0;7;21.00;1.33 %;;0;0.00;;7;21.00
Filterkaffee;0;8;20.80;1.32 %;;0;0.00;;8;20.80
Espresso Macchiato;0;8;19.20;1.22 %;;0;0.00;;8;19.20
MUYU 500g;0;1;18.00;1.14 %;;0;0.00;;1;18.00
Espresso Single;0;8;17.60;1.11 %;;0;0.00;;8;17.60
Kakao groß;0;4;16.00;1.01 %;;0;0.00;;4;16.00
Hario V60 filter (100) 02;0;2;14.00;0.89 %;;0;0.00;;2;14.00
Espresso Doppio;0;5;13.00;0.82 %;;0;0.00;;5;13.00
Brownie;0;4;12.80;0.81 %;;1;3.20;;3;9.60
Espresso Tonic;0;3;12.60;0.80 %;;0;0.00;;3;12.60
Gover Cueva 250g;0;1;12.50;0.79 %;;0;0.00;;1;12.50
ReCup ausgeben;0;12;12.00;0.76 %;;0;0.00;;12;12.00
Cookie;0;6;12.00;0.76 %;;1;2.00;;5;10.00
ATSABE 250g;0;1;11.50;0.73 %;;0;0.00;;1;11.50
M.Morales 250g;0;1;10.50;0.66 %;;0;0.00;;1;10.50
Hand Brew;0;2;9.20;0.58 %;;0;0.00;;2;9.20
Espresso Doppio Macchiato;0;3;9.00;0.57 %;;0;0.00;;3;9.00
Americano groß;0;3;9.00;0.57 %;;0;0.00;;3;9.00
ReCup ausgeben*;0;6;6.00;0.38 %;;0;0.00;;6;6.00
Mineralwasser;0;2;5.60;0.35 %;;0;0.00;;2;5.60
Nimbus Cocktail;0;1;5.40;0.34 %;;0;0.00;;1;5.40
Hafer Cappuccino Groß;0;1;4.20;0.27 %;;0;0.00;;1;4.20
Hafer Caffè Latte groß;0;1;4.00;0.25 %;;0;0.00;;1;4.00
Coldbrew;0;1;3.80;0.24 %;;0;0.00;;1;3.80
Hafer Caffè Latte;0;1;3.60;0.23 %;;1;3.60;;0;0.00
Decaf Cappuccino;0;1;3.40;0.22 %;;0;0.00;;1;3.40
Milchschaum Kids;0;4;0.00;0.00 %;;0;0.00;;4;0.00
ReCup annehmen **;0;3;-3.00;-0.19 %;;0;0.00;;3;-3.00
ReCup annehmen*;0;5;-5.00;-0.32 %;;0;0.00;;5;-5.00
ReCup annehmen;0;11;-11.00;-0.70 %;;0;0.00;;11;-11.00
ReCup annehmen ´;0;15;-15.00;-0.95 %;;0;0.00;;15;-15.00
;;;;
