;von;bis;;
Datum:;29.07.2021;29.07.2021;;
Enthalt Z;409;409;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1682.00;99.84 %;
Auslagen;;;0.00;0.00 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.70;0.16 %;
;;;;
Umsatz (Brutto);;;;;
19.0%;;;422.10;25.10 %;
7.0%;;;1259.90;74.90 %;
Total;;;1682.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
19.0%;;;354.66;23.15 %;
7.0%;;;1177.62;76.85 %;
Total;;;1532.28;100.00 %;
;;;;
Steuern;;;;;
19.0%;;;67.44;45.04 %;
7.0%;;;82.28;54.96 %;
Total;;;149.72;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;153;897.20;53.34 %;0.00
Maestro;;43;456.00;27.11 %;2.70
MasterCard;;7;52.60;3.13 %;0.00
Visa;;19;143.10;8.51 %;0.00
Visa Electron;;13;133.10;7.91 %;0.00
Total;;235;1682.00;100.00 %;2.70
;;;;
Umsatzdetails;;;;;
Emanuel;;;307.20;18.26 %;0.00
Mik;;;408.00;24.26 %;0.00
Robin;;;7.60;0.45 %;0.00
Sebastian;;;955.00;56.78 %;2.70
Slobo;;;4.20;0.25 %;0.00
Total;;;1682.00;100.00 %;2.70
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;233;1674.40;99.55 %;
Tisch 7;;2;7.60;0.45 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;399;1080.60;64.24 %;;1;3.40;;398;1077.20
Sonstiges;;24;355.00;21.11 %;;0;0.00;;24;355.00
Speisen;;84;246.40;14.65 %;;0;0.00;;84;246.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;198;555.80;33.04 %;;1;3.40;;197;552.40
Röstkaffee;;23;345.50;20.54 %;;0;0.00;;23;345.50
Speisen;;84;246.40;14.65 %;;0;0.00;;84;246.40
Hafer;;79;211.80;12.59 %;;0;0.00;;79;211.80
Kaffee;;70;136.40;8.11 %;;0;0.00;;70;136.40
Summer;;26;111.60;6.63 %;;0;0.00;;26;111.60
Non Kaffee;;26;65.00;3.86 %;;0;0.00;;26;65.00
Equipment;;1;9.50;0.56 %;;0;0.00;;1;9.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;55;187.00;11.12 %;;1;3.40;;54;183.60
Flat White auf Eis;0;43;180.60;10.74 %;;0;0.00;;43;180.60
MUYU 1000g;0;3;102.00;6.06 %;;0;0.00;;3;102.00
Flat White;0;25;95.00;5.65 %;;0;0.00;;25;95.00
Hafer Flat White auf Eis;0;22;92.40;5.49 %;;0;0.00;;22;92.40
Banana Bread PINE NUT;0;19;72.20;4.29 %;;0;0.00;;19;72.20
Americano;0;22;61.60;3.66 %;;0;0.00;;22;61.60
Kanelbullar;0;14;44.80;2.66 %;;0;0.00;;14;44.80
Hafer Cappuccino;0;13;44.20;2.63 %;;0;0.00;;13;44.20
Caffé Latte;0;12;43.20;2.57 %;;0;0.00;;12;43.20
Espresso Tonic;0;10;42.00;2.50 %;;0;0.00;;10;42.00
Cappuccino groß;0;10;42.00;2.50 %;;0;0.00;;10;42.00
MIKOLAJ Limonade;0;11;41.80;2.49 %;;0;0.00;;11;41.80
Croissant;0;19;41.80;2.49 %;;0;0.00;;19;41.80
MUYU 250g;0;4;38.00;2.26 %;;0;0.00;;4;38.00
Gover Cueva 250g;0;3;37.50;2.23 %;;0;0.00;;3;37.50
Pain au Chocolat;0;13;36.40;2.16 %;;0;0.00;;13;36.40
Don Primitivo 250g;0;2;29.00;1.72 %;;0;0.00;;2;29.00
MUYU BOTTLE 365;0;2;27.00;1.61 %;;0;0.00;;2;27.00
Hafer Flat White;0;7;26.60;1.58 %;;0;0.00;;7;26.60
Flat White auf Eis.;0;6;25.20;1.50 %;;0;0.00;;6;25.20
Hafer Cappuccino Groß;0;6;25.20;1.50 %;;0;0.00;;6;25.20
ATSABE 250g;0;2;23.00;1.37 %;;0;0.00;;2;23.00
ReCup ausgeben ´;0;23;23.00;1.37 %;;0;0.00;;23;23.00
Izuba 250g;0;2;23.00;1.37 %;;0;0.00;;2;23.00
Cold Brew;0;6;22.80;1.36 %;;0;0.00;;6;22.80
Nimbus Cocktail;0;4;21.60;1.28 %;;0;0.00;;4;21.60
Filterkaffee;0;8;20.80;1.24 %;;0;0.00;;8;20.80
Espresso Single;0;9;19.80;1.18 %;;0;0.00;;9;19.80
Brownie;0;6;19.20;1.14 %;;0;0.00;;6;19.20
MUYU 500g;0;1;18.00;1.07 %;;0;0.00;;1;18.00
Apfelschorle;0;6;18.00;1.07 %;;0;0.00;;6;18.00
ReCup ausgeben*;0;18;18.00;1.07 %;;0;0.00;;18;18.00
Scone;0;5;16.00;0.95 %;;0;0.00;;5;16.00
Cookie;0;8;16.00;0.95 %;;0;0.00;;8;16.00
K‘HO 250g;0;1;15.50;0.92 %;;0;0.00;;1;15.50
Espresso Macchiato;0;6;14.40;0.86 %;;0;0.00;;6;14.40
Hafer Caffè Latte;0;4;14.40;0.86 %;;0;0.00;;4;14.40
FINCA ISNUL 250g;0;1;11.50;0.68 %;;0;0.00;;1;11.50
EL CARMEN Decaf 250g;0;1;11.50;0.68 %;;0;0.00;;1;11.50
Tasche SUEDHANG;0;1;9.50;0.56 %;;0;0.00;;1;9.50
Guardabaxo 250g;0;1;9.50;0.56 %;;0;0.00;;1;9.50
ReCup ausgeben;0;9;9.00;0.54 %;;0;0.00;;9;9.00
Americano groß;0;3;9.00;0.54 %;;0;0.00;;3;9.00
Kakao groß;0;2;8.00;0.48 %;;0;0.00;;2;8.00
Espresso Doppio;0;3;7.80;0.46 %;;0;0.00;;3;7.80
Mineralwasser;0;2;5.60;0.33 %;;0;0.00;;2;5.60
Black Tea;0;1;4.60;0.27 %;;0;0.00;;1;4.60
Caffé Latte doppelt;0;1;4.00;0.24 %;;0;0.00;;1;4.00
Espresso Doppio Macchiato;0;1;3.00;0.18 %;;0;0.00;;1;3.00
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup annehmen **;0;5;-5.00;-0.30 %;;0;0.00;;5;-5.00
ReCup annehmen*;0;9;-9.00;-0.54 %;;0;0.00;;9;-9.00
ReCup annehmen;0;9;-9.00;-0.54 %;;0;0.00;;9;-9.00
ReCup annehmen ´;0;27;-27.00;-1.61 %;;0;0.00;;27;-27.00
;;;;
