;von;bis;;
Datum:;24.12.2021;24.12.2021;;
Enthalt Z;556;556;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1188.00;97.57 %;
Auslagen;;;28.00;2.30 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.60;0.13 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;2.30 %;
5.0%;;;12.50;1.03 %;
19.0%;;;292.10;24.02 %;
7.0%;;;883.40;72.65 %;
Total;;;1216.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;2.52 %;
5.0%;;;11.90;1.07 %;
19.0%;;;245.49;22.09 %;
7.0%;;;825.68;74.31 %;
Total;;;1111.07;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;0.60;0.57 %;
19.0%;;;46.61;44.42 %;
7.0%;;;57.72;55.01 %;
Total;;;104.93;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;71;495.20;40.72 %;0.00
Maestro;;30;421.60;34.67 %;0.00
MasterCard;;11;182.80;15.03 %;0.80
Visa;;10;59.80;4.92 %;0.00
Visa Electron;;5;56.60;4.65 %;0.80
Total;;127;1216.00;100.00 %;1.60
;;;;
Umsatzdetails;;;;;
Annacotta;;;989.20;83.27 %;0.80
Emanuel;;;126.90;10.68 %;0.00
Sebastian;;;71.90;6.05 %;0.80
Total;;;1188.00;100.00 %;1.60
;;;;
Stornos;;;;;
Änderung durch Gast;;1;13.50;100.00 %;
Total;;1;13.50;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;3;9.90;100.00 %;
Total;;3;9.90;100.00 %;
;;;;
Tische;;;;;
Theke;;127;1216.00;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;39;551.60;45.36 %;;0;0.00;;39;551.60
Getränke;;224;520.20;42.78 %;;7;22.60;;217;497.60
Speisen;;52;144.20;11.86 %;;3;7.80;;49;136.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;35;449.60;36.97 %;;0;0.00;;35;449.60
Milchmischgetränke;;124;283.40;23.31 %;;1;4.20;;123;279.20
Speisen;;52;144.20;11.86 %;;3;7.80;;49;136.40
Hafer;;37;118.80;9.77 %;;1;3.80;;36;115.00
Kaffee;;56;109.60;9.01 %;;5;14.60;;51;95.00
Equipment_;;3;77.00;6.33 %;;0;0.00;;3;77.00
Gutscheine;;1;25.00;2.06 %;;0;0.00;;1;25.00
Summer;;2;8.40;0.69 %;;0;0.00;;2;8.40
Non Kaffee;;5;0.00;0.00 %;;0;0.00;;5;0.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;39;132.60;10.90 %;;0;0.00;;39;132.60
Flat White;0;15;57.00;4.69 %;;0;0.00;;15;57.00
Lucia Dias 500g;0;3;54.00;4.44 %;;0;0.00;;3;54.00
Pain au Chocolat;0;19;53.20;4.38 %;;2;5.60;;17;47.60
MUYU 250g;0;5;47.50;3.91 %;;0;0.00;;5;47.50
Cappuccino groß;0;11;46.20;3.80 %;;1;4.20;;10;42.00
Lucia Dias 250g;0;5;42.90;3.53 %;;0;0.00;;5;42.90
Hafer Cappuccino;0;12;40.80;3.36 %;;0;0.00;;12;40.80
MUYU BOTTLE 365;0;3;40.50;3.33 %;;0;0.00;;3;40.50
Bella Vista 250g;0;3;40.50;3.33 %;;0;0.00;;3;40.50
Sanai Red 250g;0;2;37.70;3.10 %;;0;0.00;;2;37.70
AeroPress coffee maker;0;1;36.50;3.00 %;;0;0.00;;1;36.50
Agua Iglesia 250g;0;3;34.50;2.84 %;;0;0.00;;3;34.50
Banana Bread;0;9;34.20;2.81 %;;0;0.00;;9;34.20
Hafer Cappuccino Groß;0;8;33.60;2.76 %;;0;0.00;;8;33.60
Croissant;0;14;30.80;2.53 %;;1;2.20;;13;28.60
Americano groß;0;10;30.00;2.47 %;;3;9.00;;7;21.00
Mr Toi 250g;0;2;29.00;2.38 %;;0;0.00;;2;29.00
Tasse M;0;1;28.00;2.30 %;;0;0.00;;1;28.00
25€ Gutschein;0;1;25.00;2.06 %;;0;0.00;;1;25.00
Familia Aguilera 250g;0;2;25.00;2.06 %;;0;0.00;;2;25.00
Kakao groß;0;6;24.00;1.97 %;;0;0.00;;6;24.00
ATSABE 250g;0;2;23.00;1.89 %;;0;0.00;;2;23.00
ReCup ausgeben ´;0;22;22.00;1.81 %;;0;0.00;;22;22.00
Caffé Latte;0;6;21.60;1.78 %;;0;0.00;;6;21.60
Hand Brew;0;4;18.40;1.51 %;;0;0.00;;4;18.40
MUYU 500g;0;1;18.00;1.48 %;;0;0.00;;1;18.00
German Carranza 250g;0;1;17.50;1.44 %;;0;0.00;;1;17.50
Americano;0;6;16.80;1.38 %;;2;5.60;;4;11.20
Kanelbullar;0;5;16.00;1.32 %;;0;0.00;;5;16.00
Shakisso 250g;0;1;15.50;1.27 %;;0;0.00;;1;15.50
Hafer Flat White;0;4;15.20;1.25 %;;1;3.80;;3;11.40
Espresso Macchiato;0;6;14.40;1.18 %;;0;0.00;;6;14.40
BREW Buch;0;1;12.50;1.03 %;;0;0.00;;1;12.50
Villa Maria 250g;0;1;12.50;1.03 %;;0;0.00;;1;12.50
Izuba 250g;0;1;11.50;0.95 %;;0;0.00;;1;11.50
Espresso Single;0;5;11.00;0.90 %;;0;0.00;;5;11.00
Hafer Caffè Latte;0;3;10.80;0.89 %;;0;0.00;;3;10.80
Filterkaffee;0;4;10.40;0.86 %;;0;0.00;;4;10.40
Cookie;0;5;10.00;0.82 %;;0;0.00;;5;10.00
Espresso Tonic;0;2;8.40;0.69 %;;0;0.00;;2;8.40
ReCup ausgeben;0;8;8.00;0.66 %;;0;0.00;;8;8.00
Hafer Kinder Kakao;0;2;6.40;0.53 %;;0;0.00;;2;6.40
Espresso Doppio;0;2;5.20;0.43 %;;0;0.00;;2;5.20
ReCup ausgeben*;0;5;5.00;0.41 %;;0;0.00;;5;5.00
Hafer Kakao groß;0;1;4.00;0.33 %;;0;0.00;;1;4.00
Caffé Latte doppelt;0;1;4.00;0.33 %;;0;0.00;;1;4.00
