;von;bis;;
Datum:;15.03.2022;15.03.2022;;
Enthalt Z;633;633;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1048.50;96.89 %;
Auslagen;;;31.00;2.86 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.70;0.25 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;31.00;2.87 %;
19.0%;;;426.30;39.49 %;
7.0%;;;622.20;57.64 %;
Total;;;1079.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;31.00;3.19 %;
19.0%;;;358.25;36.90 %;
7.0%;;;581.55;59.90 %;
Total;;;970.80;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;68.05;62.60 %;
7.0%;;;40.65;37.40 %;
Total;;;108.70;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;110;678.60;62.86 %;0.00
Maestro;;28;179.70;16.65 %;0.90
MasterCard;;5;41.50;3.84 %;0.00
Mehrzweckgutschein;;1;4.20;0.39 %;0.00
Visa;;11;90.90;8.42 %;0.00
Visa Electron;;10;84.60;7.84 %;1.80
Total;;165;1079.50;100.00 %;2.70
;;;;
Umsatzdetails;;;;;
Emanuel;;;190.80;18.20 %;0.00
Lora;;;606.40;57.84 %;2.70
Robin;;;251.30;23.97 %;0.00
Total;;;1048.50;100.00 %;2.70
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;1.20;100.00 %;
Total;;1;1.20;100.00 %;
;;;;
Tische;;;;;
Theke;;165;1079.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;283;721.40;66.83 %;;44;153.60;;239;567.80
Speisen;;68;218.60;20.25 %;;18;58.80;;50;159.80
Sonstiges;;12;139.50;12.92 %;;0;0.00;;12;139.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;142;399.60;37.02 %;;28;101.20;;114;298.40
Speisen;;68;218.60;20.25 %;;18;58.80;;50;159.80
Hafer;;68;170.60;15.80 %;;8;30.60;;60;140.00
Kaffee;;51;119.40;11.06 %;;7;18.80;;44;100.60
Röstkaffee;;8;115.00;10.65 %;;0;0.00;;8;115.00
Non Kaffee;;21;27.60;2.56 %;;1;3.00;;20;24.60
Gutscheine;;3;15.00;1.39 %;;0;0.00;;3;15.00
Equipment_;;1;9.50;0.88 %;;0;0.00;;1;9.50
Summer;;1;4.20;0.39 %;;0;0.00;;1;4.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;41;139.40;12.91 %;;13;44.20;;28;95.20
Flat White;0;25;95.00;8.80 %;;4;15.20;;21;79.80
Cappuccino groß;0;20;84.00;7.78 %;;3;12.60;;17;71.40
Hafer Cappuccino;0;23;78.20;7.24 %;;3;10.20;;20;68.00
Banana Bread;0;17;64.60;5.98 %;;6;22.80;;11;41.80
Pain au Chocolat;0;17;47.60;4.41 %;;4;11.20;;13;36.40
Kanelbullar;0;12;38.40;3.56 %;;2;6.40;;10;32.00
Hafer Cappuccino Groß;0;9;37.80;3.50 %;;4;16.80;;5;21.00
MUYU 500g;0;2;36.00;3.33 %;;0;0.00;;2;36.00
Caffé Latte;0;10;36.00;3.33 %;;7;25.20;;3;10.80
Americano;0;12;33.60;3.11 %;;4;11.20;;8;22.40
Croissant;0;14;30.80;2.85 %;;4;8.80;;10;22.00
Hafer Flat White;0;8;30.40;2.82 %;;0;0.00;;8;30.40
ReCup ausgeben ´;0;26;26.00;2.41 %;;0;0.00;;26;26.00
Sandwich Vegetarisch;0;5;22.80;2.11 %;;2;9.60;;3;13.20
Americano groß;0;7;21.00;1.95 %;;1;3.00;;6;18.00
Kakao groß;0;4;16.00;1.48 %;;0;0.00;;4;16.00
Filterkaffee;0;6;15.60;1.45 %;;0;0.00;;6;15.60
Gernaro Perez 250g;0;1;15.50;1.44 %;;0;0.00;;1;15.50
5€ Gutschein;0;3;15.00;1.39 %;;0;0.00;;3;15.00
Don Martin 250g;0;1;14.50;1.34 %;;0;0.00;;1;14.50
Sandwich Vegan;0;3;14.40;1.33 %;;0;0.00;;3;14.40
MUYU BOTTLE 365;0;1;13.50;1.25 %;;0;0.00;;1;13.50
Bella Vista 250g;0;1;13.50;1.25 %;;0;0.00;;1;13.50
Espresso Single;0;6;13.20;1.22 %;;1;2.20;;5;11.00
ReCup ausgeben*;0;13;13.00;1.20 %;;0;0.00;;13;13.00
Familia Aguilera 250g;0;1;12.50;1.16 %;;0;0.00;;1;12.50
Apfelschorle;0;4;12.00;1.11 %;;1;3.00;;3;9.00
Caffé Latte doppelt;0;3;12.00;1.11 %;;1;4.00;;2;8.00
Espresso Macchiato;0;4;9.60;0.89 %;;1;2.40;;3;7.20
Lucia Dias 250g;0;1;9.50;0.88 %;;0;0.00;;1;9.50
Tasche SUEDHANG;0;1;9.50;0.88 %;;0;0.00;;1;9.50
Hand Brew;0;2;9.20;0.85 %;;0;0.00;;2;9.20
Espresso Doppio Macchiato;0;3;9.00;0.83 %;;0;0.00;;3;9.00
Mineralwasser Sprudel;0;3;8.40;0.78 %;;0;0.00;;3;8.40
Hafer Kakao groß;0;2;8.00;0.74 %;;0;0.00;;2;8.00
MIKOLAJ Limonade;0;2;7.60;0.70 %;;0;0.00;;2;7.60
ReCup ausgeben;0;6;6.00;0.56 %;;0;0.00;;6;6.00
Espresso Doppio;0;2;5.20;0.48 %;;0;0.00;;2;5.20
Black Tea;0;1;4.60;0.43 %;;0;0.00;;1;4.60
Espresso Tonic;0;1;4.20;0.39 %;;0;0.00;;1;4.20
Hafer Caffè Latte;0;1;3.60;0.33 %;;1;3.60;;0;0.00
Kinder Kakao;0;1;3.20;0.30 %;;0;0.00;;1;3.20
Hafer Kinder Kakao;0;1;3.20;0.30 %;;0;0.00;;1;3.20
Hafer Espresso Macchiato groß;0;1;3.00;0.28 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato;0;1;2.40;0.22 %;;0;0.00;;1;2.40
ReCup ausgeben **;0;1;1.00;0.09 %;;0;0.00;;1;1.00
Milchschaum Kids;0;4;0.00;0.00 %;;0;0.00;;4;0.00
ReCup annehmen;0;3;-3.00;-0.28 %;;0;0.00;;3;-3.00
ReCup annehmen **;0;6;-6.00;-0.56 %;;0;0.00;;6;-6.00
ReCup annehmen*;0;9;-9.00;-0.83 %;;0;0.00;;9;-9.00
ReCup annehmen ´;0;12;-12.00;-1.11 %;;0;0.00;;12;-12.00
;;;;
