;von;bis;;
Datum:;16.04.2022;16.04.2022;;
Enthalt Z;666;666;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2857.20;98.05 %;
Auslagen;;;55.00;1.89 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.90;0.07 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;55.00;1.89 %;
19.0%;;;829.30;28.48 %;
7.0%;;;2027.90;69.63 %;
Total;;;2912.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;55.00;2.08 %;
19.0%;;;696.92;26.33 %;
7.0%;;;1895.39;71.60 %;
Total;;;2647.31;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;132.38;49.98 %;
7.0%;;;132.51;50.02 %;
Total;;;264.89;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;173;1315.10;45.16 %;0.00
Maestro;;64;763.10;26.20 %;1.90
MasterCard;;18;189.50;6.51 %;0.00
Visa;;35;307.00;10.54 %;0.00
Visa Electron;;21;337.50;11.59 %;0.00
Total;;311;2912.20;100.00 %;1.90
;;;;
Umsatzdetails;;;;;
Anna;;;16.40;0.57 %;0.00
Annacotta;;;1169.40;40.93 %;0.80
Laura;;;870.00;30.45 %;0.90
Mik;;;592.40;20.73 %;0.20
Sofia;;;209.00;7.31 %;0.00
Total;;;2857.20;100.00 %;1.90
;;;;
Stornos;;;;;
Kommunikationsfehler;;4;10.00;30.86 %;
vertippt;;1;3.40;10.49 %;
Änderung durch Gast;;2;19.00;58.64 %;
Total;;7;32.40;100.00 %;
;;;;
Rabatte;;;;;
staff ;;1;1.40;8.24 %;
Staff Beans & Food 25%;;4;15.60;91.76 %;
Total;;5;17.00;100.00 %;
;;;;
Tische;;;;;
Theke;;309;2912.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;597;1529.10;52.51 %;;31;98.20;;566;1430.90
Sonstiges;;59;865.30;29.71 %;;0;0.00;;59;865.30
Speisen;;156;517.80;17.78 %;;5;16.20;;151;501.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;51;810.30;27.82 %;;0;0.00;;51;810.30
Milchmischgetränke;;284;702.20;24.11 %;;13;42.40;;271;659.80
Speisen;;156;517.80;17.78 %;;5;16.20;;151;501.60
Hafer;;140;433.40;14.88 %;;7;24.80;;133;408.60
Kaffee;;133;288.00;9.89 %;;10;27.40;;123;260.60
Non Kaffee;;33;78.10;2.68 %;;0;0.00;;33;78.10
Gutscheine;;6;30.00;1.03 %;;0;0.00;;6;30.00
Equipment_;;2;25.00;0.86 %;;0;0.00;;2;25.00
Summer;;5;20.60;0.71 %;;1;3.60;;4;17.00
Decaf;;2;6.80;0.23 %;;0;0.00;;2;6.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;112;380.80;13.08 %;;5;17.00;;107;363.80
Hafer Cappuccino;0;53;180.20;6.19 %;;4;13.60;;49;166.60
Banana Bread;0;32;121.60;4.18 %;;1;3.80;;31;117.80
Ayla Bombe 250g;0;7;108.50;3.73 %;;0;0.00;;7;108.50
Cappuccino groß;0;22;92.40;3.17 %;;1;4.20;;21;88.20
Caffé Latte;0;23;82.80;2.84 %;;1;3.60;;22;79.20
Hafer Flat White;0;21;79.80;2.74 %;;2;7.60;;19;72.20
German Carranza 250g;0;3;78.41;2.69 %;;0;0.00;;3;78.41
Hafer Cappuccino Groß;0;17;71.40;2.45 %;;0;0.00;;17;71.40
MUYU 1000g;0;2;68.00;2.34 %;;0;0.00;;2;68.00
Bella Vista 250g;0;5;67.50;2.32 %;;0;0.00;;5;67.50
Kanelbullar;0;21;66.41;2.28 %;;0;0.00;;21;66.41
Don Martin 500g;0;2;64.00;2.20 %;;0;0.00;;2;64.00
MUYU 250g;0;6;57.00;1.96 %;;0;0.00;;6;57.00
Flat White;0;15;57.00;1.96 %;;0;0.00;;15;57.00
CUERPO 500g;0;3;54.00;1.85 %;;0;0.00;;3;54.00
Pain au Chocolat;0;19;53.20;1.83 %;;2;5.60;;17;47.60
Raspberry Cake vegan;0;14;53.20;1.83 %;;0;0.00;;14;53.20
Americano;0;19;53.20;1.83 %;;4;11.20;;15;42.00
Filterkaffee;0;20;52.00;1.79 %;;2;5.20;;18;46.80
Americano groß;0;16;48.00;1.65 %;;1;3.00;;15;45.00
CUERPO 250g;0;5;47.50;1.63 %;;0;0.00;;5;47.50
ReCup ausgeben ´;0;47;47.00;1.61 %;;2;2.00;;45;45.00
Sandwich Vegetarisch;0;10;45.60;1.57 %;;1;4.80;;9;40.80
Chocolate Cake;0;11;41.80;1.44 %;;0;0.00;;11;41.80
Espresso Single;0;19;41.80;1.44 %;;0;0.00;;19;41.80
MUYU BOTTLE 365;0;3;40.50;1.39 %;;0;0.00;;3;40.50
Espresso Macchiato;0;16;38.40;1.32 %;;1;2.40;;15;36.00
Sandwich Vegan;0;8;37.22;1.28 %;;0;0.00;;8;37.22
Cookie;0;18;36.00;1.24 %;;1;2.00;;17;34.00
Caballero 250g;0;3;34.39;1.18 %;;0;0.00;;3;34.39
CUERPO 1000g;0;1;34.00;1.17 %;;0;0.00;;1;34.00
Don Martin 250g;0;2;33.00;1.13 %;;0;0.00;;2;33.00
Hafer Caffè Latte;0;9;32.40;1.11 %;;1;3.60;;8;28.80
Caffé Latte doppelt;0;8;32.00;1.10 %;;1;4.00;;7;28.00
Familia Aguilera 250g;0;3;31.50;1.08 %;;0;0.00;;3;31.50
5€ Gutschein;0;6;30.00;1.03 %;;0;0.00;;6;30.00
Chakra Warmi 250g;0;2;29.00;1.00 %;;0;0.00;;2;29.00
Hand Brew;0;6;27.60;0.95 %;;1;4.60;;5;23.00
Croissant;0;12;26.40;0.91 %;;0;0.00;;12;26.40
Flat White auf Eis;0;6;25.20;0.87 %;;2;8.40;;4;16.80
Hafer Flat White auf Eis;0;6;25.20;0.87 %;;0;0.00;;6;25.20
BREW Buch;0;2;25.00;0.86 %;;0;0.00;;2;25.00
EL CARMEN Decaf 250g;0;2;23.00;0.79 %;;0;0.00;;2;23.00
Lemon Poppy Cake;0;6;22.80;0.78 %;;0;0.00;;6;22.80
EL CARMEN Decaf 500g;0;1;22.00;0.76 %;;0;0.00;;1;22.00
Apfelschorle;0;7;21.00;0.72 %;;0;0.00;;7;21.00
ReCup ausgeben;0;20;20.00;0.69 %;;1;1.00;;19;19.00
MUYU 500g;0;1;18.00;0.62 %;;0;0.00;;1;18.00
ReCup ausgeben*;0;18;18.00;0.62 %;;0;0.00;;18;18.00
Kinder Kakao;0;5;16.00;0.55 %;;1;3.20;;4;12.80
MIKOLAJ Limonade;0;4;15.20;0.52 %;;0;0.00;;4;15.20
Green Tea;0;3;13.80;0.47 %;;0;0.00;;3;13.80
Kakao groß;0;3;12.00;0.41 %;;0;0.00;;3;12.00
Granola;0;3;11.57;0.40 %;;0;0.00;;3;11.57
Hafer Kinder Kakao;0;3;9.60;0.33 %;;0;0.00;;3;9.60
