;von;bis;;
Datum:;16.05.2022;16.05.2022;;
Enthalt Z;697;697;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1273.40;100.08 %;
Auslagen;;;-2.00;-0.16 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.00;0.08 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-2.00;-0.16 %;
19.0%;;;518.30;40.77 %;
7.0%;;;755.10;59.39 %;
Total;;;1271.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-2.00;-0.18 %;
19.0%;;;435.52;38.23 %;
7.0%;;;705.78;61.95 %;
Total;;;1139.30;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;82.78;62.66 %;
7.0%;;;49.32;37.34 %;
Total;;;132.10;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;116;645.80;50.79 %;0.00
Maestro;;37;326.30;25.66 %;0.00
MasterCard;;13;127.00;9.99 %;0.00
Visa;;13;78.60;6.18 %;0.00
Visa Electron;;7;93.70;7.37 %;1.00
Total;;186;1271.40;100.00 %;1.00
;;;;
Umsatzdetails;;;;;
Anna;;;333.00;26.15 %;0.00
Emanuel;;;312.50;24.54 %;0.00
Karolina;;;394.10;30.95 %;1.00
Laura;;;13.00;1.02 %;0.00
Sofia;;;220.80;17.34 %;0.00
Total;;;1273.40;100.00 %;1.00
;;;;
Stornos;;;;;
vertippt;;1;3.80;57.58 %;
Änderung durch Gast;;1;2.80;42.42 %;
Total;;2;6.60;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;3.10;100.00 %;
Total;;3;3.10;100.00 %;
;;;;
Tische;;;;;
Theke;;186;1271.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;283;734.50;57.77 %;;78;271.50;;205;463.00
Sonstiges;;24;311.00;24.46 %;;1;18.00;;23;293.00
Speisen;;69;225.90;17.77 %;;26;80.00;;43;145.90
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;126;313.80;24.68 %;;32;121.00;;94;192.80
Röstkaffee;;23;294.00;23.12 %;;1;18.00;;22;276.00
Speisen;;69;225.90;17.77 %;;26;80.00;;43;145.90
Hafer;;59;195.60;15.38 %;;22;82.40;;37;113.20
Kaffee;;63;132.40;10.41 %;;19;53.40;;44;79.00
Non Kaffee;;23;48.30;3.80 %;;4;11.10;;19;37.20
Summer;;11;41.00;3.22 %;;1;3.60;;10;37.40
Equipment_;;1;17.00;1.34 %;;0;0.00;;1;17.00
Decaf;;1;3.40;0.27 %;;0;0.00;;1;3.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;35;119.00;9.36 %;;12;40.80;;23;78.20
Hafer Cappuccino;0;22;74.80;5.88 %;;8;27.20;;14;47.60
MUYU 250g;0;6;57.00;4.48 %;;0;0.00;;6;57.00
Flat White auf Eis;0;13;54.60;4.29 %;;6;25.20;;7;29.40
Banana Bread;0;14;53.20;4.18 %;;6;22.80;;8;30.40
Divers. Röstkaffee;0;4;50.00;3.93 %;;0;0.00;;4;50.00
Cappuccino groß;0;11;46.20;3.63 %;;4;16.80;;7;29.40
Flat White;0;11;41.80;3.29 %;;3;11.40;;8;30.40
Hafer Flat White;0;10;38.00;2.99 %;;7;26.60;;3;11.40
CUERPO 500g;0;2;36.00;2.83 %;;1;18.00;;1;18.00
Pain au Chocolat;0;13;35.70;2.81 %;;7;19.60;;6;16.10
Hafer Flat White auf Eis;0;8;33.60;2.64 %;;2;8.40;;6;25.20
Hafer Cappuccino Groß;0;7;29.40;2.31 %;;3;12.60;;4;16.80
Filterkaffee;0;11;28.60;2.25 %;;7;18.20;;4;10.40
Americano;0;10;28.00;2.20 %;;3;8.40;;7;19.60
Croissant;0;12;26.40;2.08 %;;4;8.80;;8;17.60
Kanelbullar;0;8;25.60;2.01 %;;3;9.60;;5;16.00
EL MORENO 250g;0;2;25.00;1.97 %;;0;0.00;;2;25.00
Caffé Latte doppelt;0;6;24.00;1.89 %;;3;12.00;;3;12.00
EL MORENO 500g;0;1;24.00;1.89 %;;0;0.00;;1;24.00
Sandwich Vegan;0;5;24.00;1.89 %;;1;4.80;;4;19.20
Nitro Americano;0;6;21.60;1.70 %;;1;3.60;;5;18.00
Americano groß;0;7;21.00;1.65 %;;3;9.00;;4;12.00
Espresso Single;0;9;19.80;1.56 %;;2;4.40;;7;15.40
MIKOLAJ Limonade;0;5;19.00;1.49 %;;2;7.60;;3;11.40
CUERPO 250g;0;2;19.00;1.49 %;;0;0.00;;2;19.00
ReCup ausgeben ´;0;18;18.00;1.42 %;;0;0.00;;18;18.00
Caffé Latte;0;5;18.00;1.42 %;;3;10.80;;2;7.20
Kinto coffee server 600ml;0;1;17.00;1.34 %;;0;0.00;;1;17.00
Sandwich Vegetarisch;0;4;16.80;1.32 %;;0;0.00;;4;16.80
DON MARTIN 250g;0;1;16.50;1.30 %;;0;0.00;;1;16.50
AYLA BOMBE 250g;0;1;15.50;1.22 %;;0;0.00;;1;15.50
Cold Brew;0;4;15.20;1.20 %;;0;0.00;;4;15.20
CHAKRA WARMI 250g;0;1;14.50;1.14 %;;0;0.00;;1;14.50
Kuchen Maple Carrot;0;3;14.40;1.13 %;;0;0.00;;3;14.40
Lemon Verbena Tea;0;3;13.80;1.09 %;;0;0.00;;3;13.80
CABALLERO 250g;0;1;12.50;0.98 %;;0;0.00;;1;12.50
IZUBA;0;1;12.50;0.98 %;;0;0.00;;1;12.50
Kakao groß;0;3;12.00;0.94 %;;1;4.00;;2;8.00
Apfelschorle;0;4;12.00;0.94 %;;1;3.00;;3;9.00
EL CARMEN Decaf 250g;0;1;11.50;0.90 %;;0;0.00;;1;11.50
Lemon Poppy Cake;0;3;11.40;0.90 %;;0;0.00;;3;11.40
Hafer Caffè Latte;0;3;10.80;0.85 %;;1;3.60;;2;7.20
Espresso Doppio;0;4;10.40;0.82 %;;1;2.60;;3;7.80
Cookie;0;5;10.00;0.79 %;;3;6.00;;2;4.00
Espresso Doppio Macchiato;0;3;9.00;0.71 %;;0;0.00;;3;9.00
Granola;0;2;8.40;0.66 %;;2;8.40;;0;0.00
Espresso Macchiato;0;3;7.20;0.57 %;;1;2.40;;2;4.80
ReCup ausgeben;0;7;7.00;0.55 %;;0;0.00;;7;7.00
ReCup ausgeben **;0;5;5.00;0.39 %;;0;0.00;;5;5.00
Hand Brew;0;1;4.60;0.36 %;;1;4.60;;0;0.00
Espresso Tonic;0;1;4.20;0.33 %;;0;0.00;;1;4.20
ReCup ausgeben*;0;4;4.00;0.31 %;;0;0.00;;4;4.00
Hafer Kakao groß;0;1;4.00;0.31 %;;1;4.00;;0;0.00
Hafer Caffè Latte groß;0;1;4.00;0.31 %;;0;0.00;;1;4.00
Coldbrew;0;1;3.80;0.30 %;;1;3.80;;0;0.00
Decaf Cappuccino;0;1;3.40;0.27 %;;0;0.00;;1;3.40
Kinder Kakao;0;1;3.20;0.25 %;;0;0.00;;1;3.20
Milchschaum Kids;0;3;1.50;0.12 %;;1;0.50;;2;1.00
ReCup annehmen*;0;3;-3.00;-0.24 %;;0;0.00;;3;-3.00
ReCup annehmen **;0;3;-3.00;-0.24 %;;0;0.00;;3;-3.00
ReCup annehmen;0;7;-7.00;-0.55 %;;0;0.00;;7;-7.00
ReCup annehmen ´;0;23;-23.00;-1.81 %;;0;0.00;;23;-23.00
;;;;
