;von;bis;;
Datum:;08.07.2022;08.07.2022;;
Enthalt Z;751;751;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2096.50;97.22 %;
Auslagen;;;60.00;2.78 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;60.00;2.78 %;
19.0%;;;750.40;34.80 %;
7.0%;;;1346.10;62.42 %;
Total;;;2156.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;60.00;3.08 %;
19.0%;;;630.63;32.36 %;
7.0%;;;1258.22;64.56 %;
Total;;;1948.85;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;119.77;57.68 %;
7.0%;;;87.88;42.32 %;
Total;;;207.65;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;149;876.70;40.65 %;0.00
Maestro;;69;658.30;30.53 %;0.00
MasterCard;;20;165.00;7.65 %;0.00
Mehrzweckgutschein;;1;6.40;0.30 %;0.00
Visa;;38;356.50;16.53 %;0.00
Visa Electron;;14;93.60;4.34 %;0.00
Total;;291;2156.50;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Artyom;;;347.50;16.58 %;0.00
Laura;;;632.30;30.16 %;0.00
Mik;;;400.80;19.12 %;0.00
Raquel;;;424.90;20.27 %;0.00
Sofia;;;291.00;13.88 %;0.00
Total;;;2096.50;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;3.00;44.12 %;
Änderung durch Gast;;1;3.80;55.88 %;
Total;;2;6.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;1.20;100.00 %;
Total;;1;1.20;100.00 %;
;;;;
Tische;;;;;
Theke;;283;2156.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;429;1231.40;57.10 %;;50;157.40;;379;1074.00
Speisen;;143;477.60;22.15 %;;29;104.00;;114;373.60
Sonstiges;;32;447.50;20.75 %;;4;72.50;;28;375.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Speisen;;143;477.60;22.15 %;;29;104.00;;114;373.60
Milchmischgetränke;;171;462.80;21.46 %;;28;84.20;;143;378.60
Hafer;;144;461.00;21.38 %;;13;50.80;;131;410.20
Röstkaffee;;28;407.50;18.90 %;;4;72.50;;24;335.00
Kaffee;;54;116.60;5.41 %;;4;11.20;;50;105.40
Summer;;26;104.60;4.85 %;;2;7.20;;24;97.40
Non Kaffee;;31;76.20;3.53 %;;3;4.00;;28;72.20
Gutscheine;;4;40.00;1.85 %;;0;0.00;;4;40.00
Decaf;;3;10.20;0.47 %;;0;0.00;;3;10.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;59;200.60;9.30 %;;11;37.40;;48;163.20
Hafer Flat White auf Eis;0;39;163.80;7.60 %;;5;21.00;;34;142.80
Hafer Cappuccino;0;36;122.40;5.68 %;;3;10.20;;33;112.20
Banana Bread;0;30;114.00;5.29 %;;5;19.00;;25;95.00
Kanelbullar;0;32;102.40;4.75 %;;5;16.00;;27;86.40
Flat White auf Eis;0;21;88.20;4.09 %;;3;12.60;;18;75.60
Hafer Flat White;0;17;64.60;3.00 %;;2;7.60;;15;57.00
Cappuccino groß;0;14;58.80;2.73 %;;3;12.60;;11;46.20
MUYU 250g;0;6;57.00;2.64 %;;2;19.00;;4;38.00
Flat White;0;15;57.00;2.64 %;;4;15.20;;11;41.80
Hafer Cappuccino Groß;0;13;54.60;2.53 %;;2;8.40;;11;46.20
MUYU BOTTLE 365;0;4;54.00;2.50 %;;0;0.00;;4;54.00
DON MARTIN 250g;0;3;49.50;2.30 %;;0;0.00;;3;49.50
Kuchen Maple Carrot;0;10;48.00;2.23 %;;3;14.40;;7;33.60
Pain au Chocolat;0;17;47.60;2.21 %;;6;16.80;;11;30.80
10€ Gutschein;0;4;40.00;1.85 %;;0;0.00;;4;40.00
Espresso Tonic;0;9;37.80;1.75 %;;0;0.00;;9;37.80
EL MORENO 250g;0;3;37.50;1.74 %;;0;0.00;;3;37.50
IZUBA 250g;0;3;37.50;1.74 %;;0;0.00;;3;37.50
Apfelschorle;0;12;36.00;1.67 %;;1;3.00;;11;33.00
Caffé Latte;0;10;36.00;1.67 %;;2;7.20;;8;28.80
CUERPO 1000g;0;1;34.00;1.58 %;;1;34.00;;0;0.00
MUYU 1000g;0;1;34.00;1.58 %;;0;0.00;;1;34.00
LUS HELENA SALAZAR 250g;0;2;33.00;1.53 %;;0;0.00;;2;33.00
Croissant;0;15;33.00;1.53 %;;2;4.40;;13;28.60
Nitro Americano;0;9;32.40;1.50 %;;2;7.20;;7;25.20
Sandwich Vegetarisch;0;7;32.40;1.50 %;;2;9.60;;5;22.80
Cookie;0;16;32.00;1.48 %;;1;2.00;;15;30.00
ReCup ausgeben ´;0;30;30.00;1.39 %;;0;0.00;;30;30.00
Americano groß;0;10;30.00;1.39 %;;2;6.00;;8;24.00
