;von;bis;;
Datum:;15.07.2022;15.07.2022;;
Enthalt Z;758;758;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1570.70;97.27 %;
Auslagen;;;42.00;2.60 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.10;0.13 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;42.00;2.60 %;
19.0%;;;604.87;37.51 %;
7.0%;;;965.83;59.89 %;
Total;;;1612.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;42.00;2.89 %;
19.0%;;;508.27;34.98 %;
7.0%;;;902.77;62.13 %;
Total;;;1453.04;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;96.60;60.50 %;
7.0%;;;63.06;39.50 %;
Total;;;159.66;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;121;660.90;40.98 %;0.00
Maestro;;57;569.50;35.31 %;1.30
MasterCard;;11;74.40;4.61 %;0.00
Mehrzweckgutschein;;1;4.20;0.26 %;0.00
Visa;;25;237.90;14.75 %;0.80
Visa Electron;;9;65.80;4.08 %;0.00
Total;;224;1612.70;100.00 %;2.10
;;;;
Umsatzdetails;;;;;
Anna;;;488.80;31.12 %;0.40
Annacotta;;;591.80;37.68 %;1.10
Laura;;;32.50;2.07 %;0.00
Mik;;;177.60;11.31 %;0.60
Sofia;;;280.00;17.83 %;0.00
Total;;;1570.70;100.00 %;2.10
;;;;
Stornos;;;;;
Änderung durch Gast;;1;4.20;100.00 %;
Total;;1;4.20;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;4.40;100.00 %;
Total;;3;4.40;100.00 %;
;;;;
Tische;;;;;
Theke;;222;1612.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;346;943.47;58.50 %;;70;235.30;;276;708.17
Sonstiges;;25;369.00;22.88 %;;1;14.50;;24;354.50
Speisen;;86;300.23;18.62 %;;33;109.20;;53;191.03
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;141;343.80;21.32 %;;29;104.40;;112;239.40
Röstkaffee;;22;327.00;20.28 %;;1;14.50;;21;312.50
Speisen;;86;300.23;18.62 %;;33;109.20;;53;191.03
Hafer;;99;275.57;17.09 %;;15;56.60;;84;218.97
Kaffee;;57;156.00;9.67 %;;15;39.40;;42;116.60
Summer;;31;120.20;7.45 %;;6;22.00;;25;98.20
Non Kaffee;;16;40.70;2.52 %;;4;9.50;;12;31.20
Gutscheine;;2;35.00;2.17 %;;0;0.00;;2;35.00
Decaf;;2;7.20;0.45 %;;1;3.40;;1;3.80
Equipment_;;1;7.00;0.43 %;;0;0.00;;1;7.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;43;146.20;9.07 %;;13;44.20;;30;102.00
Hafer Cappuccino;0;28;94.37;5.85 %;;5;17.00;;23;77.37
Hafer Flat White auf Eis;0;16;67.20;4.17 %;;4;16.80;;12;50.40
Flat White;0;17;64.60;4.01 %;;5;19.00;;12;45.60
EL MORENO 250g;0;5;62.50;3.88 %;;0;0.00;;5;62.50
Kanelbullar;0;19;60.80;3.77 %;;9;28.80;;10;32.00
CHAKRA WARMI 250g;0;4;58.00;3.60 %;;1;14.50;;3;43.50
Hafer Flat White;0;14;53.20;3.30 %;;3;11.40;;11;41.80
Flat White auf Eis;0;12;50.40;3.13 %;;3;12.60;;9;37.80
LUS HELENA SALAZAR 250g;0;3;49.50;3.07 %;;0;0.00;;3;49.50
Cold Brew;0;13;49.40;3.06 %;;2;7.60;;11;41.80
Cappuccino groß;0;11;46.20;2.86 %;;4;16.80;;7;29.40
Banana Bread;0;11;41.80;2.59 %;;2;7.60;;9;34.20
Hafer Cappuccino Groß;0;9;37.80;2.34 %;;1;4.20;;8;33.60
Americano;0;13;36.40;2.26 %;;3;8.40;;10;28.00
MUYU 500g;0;2;36.00;2.23 %;;0;0.00;;2;36.00
Nitro Americano;0;10;36.00;2.23 %;;4;14.40;;6;21.60
CUERPO 1000g;0;1;34.00;2.11 %;;0;0.00;;1;34.00
NY cheesecake;0;7;31.23;1.94 %;;1;4.80;;6;26.43
Espresso Tonic;0;7;29.40;1.82 %;;0;0.00;;7;29.40
Kuchen Maple Carrot;0;6;28.80;1.79 %;;0;0.00;;6;28.80
Sandwich Vegetarisch;0;6;27.60;1.71 %;;3;14.40;;3;13.20
Caffé Latte;0;7;25.20;1.56 %;;3;10.80;;4;14.40
25€ Gutschein;0;1;25.00;1.55 %;;0;0.00;;1;25.00
ReCup ausgeben ´;0;24;24.00;1.49 %;;1;1.00;;23;23.00
Espresso Macchiato;0;10;24.00;1.49 %;;3;7.20;;7;16.80
MIKOLAJ Limonade;0;6;22.80;1.41 %;;0;0.00;;6;22.80
Pain au Chocolat;0;8;22.40;1.39 %;;2;5.60;;6;16.80
Croissant;0;10;22.20;1.38 %;;7;15.40;;3;6.80
Granola;0;5;21.00;1.30 %;;4;16.80;;1;4.20
MUYU 250g;0;2;19.00;1.18 %;;0;0.00;;2;19.00
Hand Brew;0;4;18.40;1.14 %;;0;0.00;;4;18.40
Espresso Doppio;0;7;18.20;1.13 %;;2;5.20;;5;13.00
CUERPO 500g;0;1;18.00;1.12 %;;0;0.00;;1;18.00
Hafer Caffè Latte;0;5;18.00;1.12 %;;2;7.20;;3;10.80
DON MARTIN 250g;0;1;16.50;1.02 %;;0;0.00;;1;16.50
ReCup ausgeben*;0;16;16.00;0.99 %;;0;0.00;;16;16.00
Filterkaffee;0;6;15.60;0.97 %;;4;10.40;;2;5.20
Lemon Poppy Cake;0;4;15.20;0.94 %;;0;0.00;;4;15.20
Cookie;0;7;14.80;0.92 %;;3;6.20;;4;8.60
Sandwich Vegan;0;3;14.40;0.89 %;;2;9.60;;1;4.80
IZUBA 250g;0;1;12.50;0.78 %;;0;0.00;;1;12.50
Espresso Doppio Macchiato;0;4;12.00;0.74 %;;1;3.00;;3;9.00
EL CARMEN Decaf 250g;0;1;11.50;0.71 %;;0;0.00;;1;11.50
Coldbrew;0;3;11.40;0.71 %;;0;0.00;;3;11.40
Espresso Single;0;5;11.00;0.68 %;;1;2.20;;4;8.80
10€ Gutschein;0;1;10.00;0.62 %;;0;0.00;;1;10.00
CUERPO 250g;0;1;9.50;0.59 %;;0;0.00;;1;9.50
Apfelschorle;0;3;9.00;0.56 %;;3;9.00;;0;0.00
Caffé Latte doppelt;0;2;8.00;0.50 %;;0;0.00;;2;8.00
