;von;bis;;
Datum:;21.07.2022;21.07.2022;;
Enthalt Z;764;764;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1869.80;98.27 %;
Auslagen;;;33.00;1.73 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;33.00;1.73 %;
19.0%;;;505.00;26.54 %;
7.0%;;;1364.80;71.73 %;
Total;;;1902.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;33.00;1.90 %;
19.0%;;;424.29;24.48 %;
7.0%;;;1275.67;73.61 %;
Total;;;1732.96;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;80.71;47.52 %;
7.0%;;;89.13;52.48 %;
Total;;;169.84;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;129;793.40;41.70 %;0.00
Maestro;;51;546.20;28.71 %;0.00
MasterCard;;19;195.00;10.25 %;0.00
Mehrzweckgutschein;;5;34.40;1.81 %;0.00
Visa;;15;166.20;8.73 %;0.00
Visa Electron;;18;167.60;8.81 %;0.00
Total;;237;1902.80;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Angi;;;940.60;50.30 %;0.00
Anna;;;231.80;12.40 %;0.00
Artyom;;;467.30;24.99 %;0.00
Mik;;;230.10;12.31 %;0.00
Total;;;1869.80;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;2.60;100.00 %;
Total;;1;2.60;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;233;1902.80;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;339;1071.70;56.32 %;;26;88.40;;313;983.30
Sonstiges;;34;516.30;27.13 %;;0;0.00;;34;516.30
Speisen;;95;314.80;16.54 %;;8;29.00;;87;285.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;28;471.00;24.75 %;;0;0.00;;28;471.00
Milchmischgetränke;;138;426.80;22.43 %;;14;46.20;;124;380.60
Speisen;;95;314.80;16.54 %;;8;29.00;;87;285.80
Summer;;52;208.00;10.93 %;;2;7.60;;50;200.40
Hafer;;59;207.40;10.90 %;;3;12.00;;56;195.40
Kaffee;;59;138.40;7.27 %;;4;12.00;;55;126.40
Non Kaffee;;31;91.10;4.79 %;;3;10.60;;28;80.50
Gutscheine;;3;30.00;1.58 %;;0;0.00;;3;30.00
Equipment_;;3;15.30;0.80 %;;0;0.00;;3;15.30
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;42;142.80;7.50 %;;7;23.80;;35;119.00
MUYU 1000g;0;4;136.00;7.15 %;;0;0.00;;4;136.00
Flat White auf Eis.;0;26;109.20;5.74 %;;0;0.00;;26;109.20
Cappuccino groß;0;19;79.80;4.19 %;;0;0.00;;19;79.80
Flat White auf Eis;0;19;79.80;4.19 %;;3;12.60;;16;67.20
Banana Bread;0;21;79.80;4.19 %;;0;0.00;;21;79.80
Hafer Flat White auf Eis;0;18;75.60;3.97 %;;2;8.40;;16;67.20
DON MARTIN 250g;0;4;66.00;3.47 %;;0;0.00;;4;66.00
Flat White;0;16;60.80;3.20 %;;1;3.80;;15;57.00
Kanelbullar;0;17;54.40;2.86 %;;1;3.20;;16;51.20
Pain au Chocolat;0;18;50.40;2.65 %;;1;2.80;;17;47.60
