;von;bis;;
Datum:;30.07.2022;30.07.2022;;
Enthalt Z;772;772;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2883.40;98.29 %;
Auslagen;;;46.00;1.57 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;4.10;0.14 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;46.00;1.57 %;
19.0%;;;1169.94;39.94 %;
7.0%;;;1713.46;58.49 %;
Total;;;2929.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;46.00;1.75 %;
19.0%;;;983.11;37.37 %;
7.0%;;;1601.55;60.88 %;
Total;;;2630.66;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;186.83;62.54 %;
7.0%;;;111.91;37.46 %;
Total;;;298.74;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;181;1107.40;37.80 %;0.00
Maestro;;82;888.60;30.33 %;2.30
MasterCard;;16;133.20;4.55 %;0.00
Mehrzweckgutschein;;6;52.60;1.80 %;0.00
Visa;;46;520.40;17.76 %;0.00
Visa Electron;;26;227.20;7.76 %;1.80
Total;;357;2929.40;100.00 %;4.10
;;;;
Umsatzdetails;;;;;
Annacotta;;;703.10;24.38 %;1.50
Artyom;;;75.70;2.63 %;0.00
Karolina;;;341.30;11.84 %;0.60
Mik;;;193.70;6.72 %;0.00
Raquel;;;621.70;21.56 %;1.60
Sofia;;;947.90;32.87 %;0.40
Total;;;2883.40;100.00 %;4.10
;;;;
Stornos;;;;;
vertippt;;2;20.30;100.00 %;
Total;;2;20.30;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;2.10;100.00 %;
Total;;1;2.10;100.00 %;
;;;;
Tische;;;;;
Theke;;354;2929.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;629;1751.90;59.80 %;;183;619.00;;446;1132.90
Sonstiges;;44;642.50;21.93 %;;2;29.00;;42;613.50
Speisen;;157;535.00;18.26 %;;64;220.20;;93;314.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;288;767.96;26.22 %;;81;293.20;;207;474.76
Röstkaffee;;43;617.50;21.08 %;;2;29.00;;41;588.50
Speisen;;157;535.00;18.26 %;;64;220.20;;93;314.80
Hafer;;166;530.80;18.12 %;;41;150.00;;125;380.80
Kaffee;;92;220.74;7.54 %;;27;76.20;;65;144.54
Summer;;37;147.00;5.02 %;;17;65.80;;20;81.20
Non Kaffee;;46;85.40;2.92 %;;17;33.80;;29;51.60
Gutscheine;;1;25.00;0.85 %;;0;0.00;;1;25.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;74;250.76;8.56 %;;21;71.40;;53;179.36
Flat White auf Eis;0;54;226.80;7.74 %;;27;113.40;;27;113.40
Hafer Flat White auf Eis;0;50;210.00;7.17 %;;16;67.20;;34;142.80
Hafer Cappuccino;0;35;119.00;4.06 %;;9;30.60;;26;88.40
Kanelbullar;0;37;118.40;4.04 %;;14;44.80;;23;73.60
Flat White;0;31;117.80;4.02 %;;13;49.40;;18;68.40
Banana Bread;0;27;102.60;3.50 %;;10;38.00;;17;64.60
MUYU 1000g;0;3;102.00;3.48 %;;0;0.00;;3;102.00
Cappuccino groß;0;20;84.00;2.87 %;;5;21.00;;15;63.00
DON MARTIN 250g;0;5;82.50;2.82 %;;1;16.50;;4;66.00
Hafer Flat White;0;18;68.40;2.33 %;;3;11.40;;15;57.00
EL MORENO 250g;0;5;62.50;2.13 %;;0;0.00;;5;62.50
IZUBA 250g;0;5;62.50;2.13 %;;1;12.50;;4;50.00
Sapto Wening 250g;0;5;57.50;1.96 %;;0;0.00;;5;57.50
Hafer Cappuccino Groß;0;13;54.60;1.86 %;;7;29.40;;6;25.20
