;von;bis;;
Datum:;07.12.2022;07.12.2022;;
Enthalt Z;907;907;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1325.40;95.53 %;
Auslagen;;;62.00;4.47 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;62.00;4.47 %;
19.0%;;;529.40;38.16 %;
7.0%;;;796.00;57.37 %;
Total;;;1387.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;62.00;4.96 %;
19.0%;;;444.96;35.57 %;
7.0%;;;743.95;59.47 %;
Total;;;1250.91;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;84.44;61.87 %;
7.0%;;;52.05;38.13 %;
Total;;;136.49;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;102;586.40;42.27 %;0.00
Maestro;;43;434.50;31.32 %;0.00
MasterCard;;7;91.70;6.61 %;0.00
Visa;;18;120.10;8.66 %;0.00
Visa Electron;;13;154.70;11.15 %;0.00
Total;;183;1387.40;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Annacotta;;;423.10;31.92 %;0.00
Artyom;;;244.70;18.46 %;0.00
Lena P.;;;293.70;22.16 %;0.00
Lena R.;;;98.80;7.45 %;0.00
Mik;;;137.70;10.39 %;0.00
Robin;;;127.40;9.61 %;0.00
Total;;;1325.40;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;2.80;100.00 %;
Total;;1;2.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;6.20;79.49 %;
Staff Bottled Drinks;;1;1.60;20.51 %;
Total;;4;7.80;100.00 %;
;;;;
Tische;;;;;
Theke;;183;1387.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;276;755.00;54.42 %;;40;145.30;;236;609.70
Sonstiges;;31;399.20;28.77 %;;0;0.00;;31;399.20
Speisen;;65;233.20;16.81 %;;20;70.20;;45;163.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;25;339.20;24.45 %;;0;0.00;;25;339.20
Hafer;;90;286.60;20.66 %;;10;37.40;;80;249.20
Milchmischgetränke;;114;286.40;20.64 %;;20;77.00;;94;209.40
Speisen;;65;233.20;16.81 %;;20;70.20;;45;163.00
Kaffee;;56;142.20;10.25 %;;7;22.60;;49;119.60
Gutscheine;;6;60.00;4.32 %;;0;0.00;;6;60.00
Non Kaffee;;13;29.00;2.09 %;;2;4.70;;11;24.30
Specials;;3;10.80;0.78 %;;1;3.60;;2;7.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;40;144.00;10.38 %;;10;36.00;;30;108.00
Hafer Cappuccino;0;38;136.80;9.86 %;;7;25.20;;31;111.60
Hafer Cappuccino Groß;0;17;71.40;5.15 %;;2;8.40;;15;63.00
10€ Gutschein;0;6;60.00;4.32 %;;0;0.00;;6;60.00
Kuchen Maple Carrot;0;12;57.60;4.15 %;;6;28.80;;6;28.80
Cappuccino groß;0;13;54.60;3.94 %;;4;16.80;;9;37.80
L.A.C. Red;0;3;52.50;3.78 %;;0;0.00;;3;52.50
Flat White;0;12;48.00;3.46 %;;5;20.00;;7;28.00
CUERPO 250g;0;4;42.00;3.03 %;;0;0.00;;4;42.00
RUMUKIA 250g;0;3;40.50;2.92 %;;0;0.00;;3;40.50
MUYU 500g;0;2;40.00;2.88 %;;0;0.00;;2;40.00
LOS PLACERES 250g;0;3;37.50;2.70 %;;0;0.00;;3;37.50
Pain au Chocolat;0;13;36.40;2.62 %;;6;16.80;;7;19.60
Banana Bread;0;9;34.20;2.47 %;;1;3.80;;8;30.40
Caffé Latte;0;9;34.20;2.47 %;;0;0.00;;9;34.20
FAZENDA IP 250g;0;3;31.50;2.27 %;;0;0.00;;3;31.50
DOI PANGKHON;0;2;31.00;2.23 %;;0;0.00;;2;31.00
Americano;0;10;30.00;2.16 %;;2;6.00;;8;24.00
Hand Brew;0;5;24.00;1.73 %;;1;4.80;;4;19.20
Hafer Flat White;0;6;24.00;1.73 %;;0;0.00;;6;24.00
Kanelbullar;0;7;22.40;1.61 %;;2;6.40;;5;16.00
MUYU 250g;0;2;21.00;1.51 %;;0;0.00;;2;21.00
Filterkaffee;0;7;21.00;1.51 %;;1;3.00;;6;18.00
CUERPO 500g;0;1;20.00;1.44 %;;0;0.00;;1;20.00
Croissant;0;8;19.20;1.38 %;;4;9.60;;4;9.60
NY cheesecake;0;4;19.20;1.38 %;;1;4.80;;3;14.40
Hafer Caffè Latte;0;5;19.00;1.37 %;;1;3.80;;4;15.20
Chai Oat;0;4;17.60;1.27 %;;0;0.00;;4;17.60
Espresso Doppio;0;6;16.80;1.21 %;;2;5.60;;4;11.20
ReCup ausgeben ´;0;15;15.00;1.08 %;;0;0.00;;15;15.00
Espresso Single;0;6;14.40;1.04 %;;0;0.00;;6;14.40
Cookie;0;5;14.00;1.01 %;;0;0.00;;5;14.00
ReCup ausgeben*;0;14;14.00;1.01 %;;0;0.00;;14;14.00
Green Tea;0;3;13.80;0.99 %;;0;0.00;;3;13.80
Sandwich Vegan;0;3;13.20;0.95 %;;0;0.00;;3;13.20
Sandwich Vegetarisch;0;3;13.20;0.95 %;;0;0.00;;3;13.20
Espresso Doppio Macchiato;0;4;12.80;0.92 %;;0;0.00;;4;12.80
Americano groß;0;4;12.80;0.92 %;;1;3.20;;3;9.60
Ingwer Minze;0;3;12.60;0.91 %;;1;4.20;;2;8.40
SIÉU SAO 250g;0;1;11.70;0.84 %;;0;0.00;;1;11.70
EL CARMEN Decaf 250g;0;1;11.50;0.83 %;;0;0.00;;1;11.50
Nitro Americano;0;3;10.80;0.78 %;;1;3.60;;2;7.20
Espresso Macchiato;0;4;10.40;0.75 %;;0;0.00;;4;10.40
Kakao normal gr;0;2;8.40;0.61 %;;0;0.00;;2;8.40
ReCup ausgeben_;0;5;5.00;0.36 %;;0;0.00;;5;5.00
Hafer Kakao Groß;0;1;4.20;0.30 %;;0;0.00;;1;4.20
Caffé Latte doppelt;0;1;4.20;0.30 %;;1;4.20;;0;0.00
Lemon Poppy Cake;0;1;3.80;0.27 %;;0;0.00;;1;3.80
Hafer Kinder Kakao;0;1;3.60;0.26 %;;0;0.00;;1;3.60
Apfelschorle;0;1;1.60;0.12 %;;0;0.00;;1;1.60
Deckel ReCup;0;1;1.00;0.07 %;;0;0.00;;1;1.00
ReCup ausgeben **;0;1;1.00;0.07 %;;0;0.00;;1;1.00
Milchschaum Kids;0;2;1.00;0.07 %;;1;0.50;;1;0.50
ReCup annehmen **;0;2;-2.00;-0.14 %;;0;0.00;;2;-2.00
ReCup annehmen*;0;4;-4.00;-0.29 %;;0;0.00;;4;-4.00
ReCup annehmen;0;5;-5.00;-0.36 %;;0;0.00;;5;-5.00
ReCup annehmen ´;0;22;-22.00;-1.59 %;;0;0.00;;22;-22.00
;;;;
