EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, STUTTGART/ECHTERDINGEN (STAID: 2763).
Blended and updated with sources: 111509 910738 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
111509,19530101,    5,    0
111509,19530102,    8,    0
111509,19530103,    8,    0
111509,19530104,    8,    0
111509,19530105,    8,    0
111509,19530106,    8,    0
111509,19530107,    8,    0
111509,19530108,    8,    0
111509,19530109,    7,    0
111509,19530110,    8,    0
111509,19530111,    7,    0
111509,19530112,    8,    0
111509,19530113,    3,    0
111509,19530114,    8,    0
111509,19530115,    5,    0
111509,19530116,    8,    0
111509,19530117,    8,    0
111509,19530118,    8,    0
111509,19530119,    8,    0
111509,19530120,    3,    0
111509,19530121,    5,    0
111509,19530122,    8,    0
111509,19530123,    8,    0
111509,19530124,    3,    0
111509,19530125,    7,    0
111509,19530126,    7,    0
111509,19530127,    8,    0
111509,19530128,    8,    0
111509,19530129,    8,    0
111509,19530130,    4,    0
111509,19530131,    7,    0
111509,19530201,    8,    0
111509,19530202,    7,    0
111509,19530203,    8,    0
111509,19530204,    8,    0
111509,19530205,    8,    0
111509,19530206,    8,    0
111509,19530207,    7,    0
111509,19530208,    2,    0
111509,19530209,    7,    0
111509,19530210,    8,    0
111509,19530211,    6,    0
111509,19530212,    8,    0
111509,19530213,    8,    0
111509,19530214,    7,    0
111509,19530215,    8,    0
111509,19530216,    6,    0
111509,19530217,    7,    0
111509,19530218,    8,    0
111509,19530219,    8,    0
111509,19530220,    5,    0
111509,19530221,    6,    0
111509,19530222,    7,    0
111509,19530223,    8,    0
111509,19530224,    5,    0
111509,19530225,    0,    0
111509,19530226,    2,    0
111509,19530227,    0,    0
111509,19530228,    0,    0
111509,19530301,    1,    0
111509,19530302,    0,    0
111509,19530303,    4,    0
111509,19530304,    5,    0
111509,19530305,    5,    0
111509,19530306,    0,    0
111509,19530307,    7,    0
111509,19530308,    4,    0
111509,19530309,    1,    0
111509,19530310,    3,    0
111509,19530311,    8,    0
111509,19530312,    6,    0
111509,19530313,    7,    0
111509,19530314,    2,    0
111509,19530315,    0,    0
111509,19530316,    3,    0
111509,19530317,    1,    0
111509,19530318,    0,    0
111509,19530319,    0,    0
111509,19530320,    0,    0
111509,19530321,    0,    0
111509,19530322,    0,    0
111509,19530323,    0,    0
111509,19530324,    0,    0
111509,19530325,    0,    0
111509,19530326,    2,    0
111509,19530327,    7,    0
111509,19530328,    7,    0
111509,19530329,    6,    0
111509,19530330,    6,    0
111509,19530331,    6,    0
111509,19530401,    4,    0
111509,19530402,    5,    0
111509,19530403,    4,    0
111509,19530404,    6,    0
111509,19530405,    5,    0
111509,19530406,    4,    0
111509,19530407,    5,    0
111509,19530408,    6,    0
111509,19530409,    7,    0
111509,19530410,    8,    0
111509,19530411,    5,    0
111509,19530412,    1,    0
111509,19530413,    7,    0
111509,19530414,    8,    0
111509,19530415,    8,    0
111509,19530416,    8,    0
111509,19530417,    4,    0
111509,19530418,    5,    0
111509,19530419,    1,    0
111509,19530420,    1,    0
111509,19530421,    1,    0
111509,19530422,    0,    0
111509,19530423,    0,    0
111509,19530424,    3,    0
111509,19530425,    7,    0
111509,19530426,    6,    0
111509,19530427,    8,    0
111509,19530428,    5,    0
111509,19530429,    6,    0
111509,19530430,    3,    0
111509,19530501,    3,    0
111509,19530502,    7,    0
111509,19530503,    4,    0
111509,19530504,    4,    0
111509,19530505,    6,    0
111509,19530506,    8,    0
111509,19530507,    7,    0
111509,19530508,    7,    0
111509,19530509,    7,    0
111509,19530510,    5,    0
111509,19530511,    1,    0
111509,19530512,    7,    0
111509,19530513,    1,    0
111509,19530514,    7,    0
111509,19530515,    7,    0
111509,19530516,    7,    0
111509,19530517,    6,    0
111509,19530518,    6,    0
111509,19530519,    6,    0
111509,19530520,    2,    0
111509,19530521,    5,    0
111509,19530522,    6,    0
111509,19530523,    5,    0
111509,19530524,    4,    0
111509,19530525,    2,    0
111509,19530526,    5,    0
111509,19530527,    7,    0
111509,19530528,    7,    0
111509,19530529,    6,    0
111509,19530530,    7,    0
111509,19530531,    7,    0
111509,19530601,    5,    0
111509,19530602,    6,    0
111509,19530603,    7,    0
111509,19530604,    4,    0
111509,19530605,    2,    0
111509,19530606,    3,    0
111509,19530607,    6,    0
111509,19530608,    8,    0
111509,19530609,    7,    0
111509,19530610,    8,    0
111509,19530611,    8,    0
111509,19530612,    8,    0
111509,19530613,    5,    0
111509,19530614,    8,    0
111509,19530615,    8,    0
111509,19530616,    7,    0
111509,19530617,    6,    0
111509,19530618,    8,    0
111509,19530619,    3,    0
111509,19530620,    3,    0
111509,19530621,    7,    0
111509,19530622,    8,    0
111509,19530623,    7,    0
111509,19530624,    8,    0
111509,19530625,    8,    0
111509,19530626,    8,    0
111509,19530627,    8,    0
111509,19530628,    5,    0
111509,19530629,    4,    0
111509,19530630,    5,    0
111509,19530701,    7,    0
111509,19530702,    6,    0
111509,19530703,    7,    0
111509,19530704,    8,    0
111509,19530705,    6,    0
111509,19530706,    2,    0
111509,19530707,    3,    0
111509,19530708,    5,    0
111509,19530709,    8,    0
111509,19530710,    5,    0
111509,19530711,    5,    0
111509,19530712,    7,    0
111509,19530713,    6,    0
111509,19530714,    6,    0
111509,19530715,    4,    0
111509,19530716,    4,    0
111509,19530717,    4,    0
111509,19530718,    7,    0
111509,19530719,    3,    0
111509,19530720,    3,    0
111509,19530721,    0,    0
111509,19530722,    7,    0
111509,19530723,    7,    0
111509,19530724,    2,    0
111509,19530725,    1,    0
111509,19530726,    5,    0
111509,19530727,    7,    0
111509,19530728,    5,    0
111509,19530729,    6,    0
111509,19530730,    6,    0
111509,19530731,    7,    0
111509,19530801,    7,    0
111509,19530802,    6,    0
111509,19530803,    5,    0
111509,19530804,    2,    0
111509,19530805,    7,    0
111509,19530806,    5,    0
111509,19530807,    1,    0
111509,19530808,    4,    0
111509,19530809,    3,    0
111509,19530810,    0,    0
111509,19530811,    2,    0
111509,19530812,    1,    0
111509,19530813,    2,    0
111509,19530814,    3,    0
111509,19530815,    2,    0
111509,19530816,    5,    0
111509,19530817,    2,    0
111509,19530818,    2,    0
111509,19530819,    4,    0
111509,19530820,    5,    0
111509,19530821,    8,    0
111509,19530822,    4,    0
111509,19530823,    4,    0
111509,19530824,    5,    0
111509,19530825,    4,    0
111509,19530826,    5,    0
111509,19530827,    4,    0
111509,19530828,    2,    0
111509,19530829,    7,    0
111509,19530830,    2,    0
111509,19530831,    2,    0
111509,19530901,    1,    0
111509,19530902,    1,    0
111509,19530903,    5,    0
111509,19530904,    5,    0
111509,19530905,    1,    0
111509,19530906,    1,    0
111509,19530907,    0,    0
111509,19530908,    0,    0
111509,19530909,    0,    0
111509,19530910,    6,    0
111509,19530911,    7,    0
111509,19530912,    7,    0
111509,19530913,    3,    0
111509,19530914,    1,    0
111509,19530915,    3,    0
111509,19530916,    7,    0
111509,19530917,    6,    0
111509,19530918,    7,    0
111509,19530919,    8,    0
111509,19530920,    5,    0
111509,19530921,    4,    0
111509,19530922,    4,    0
111509,19530923,    7,    0
111509,19530924,    8,    0
111509,19530925,    7,    0
111509,19530926,    8,    0
111509,19530927,    4,    0
111509,19530928,    8,    0
111509,19530929,    8,    0
111509,19530930,    5,    0
111509,19531001,    0,    0
111509,19531002,    0,    0
111509,19531003,    2,    0
111509,19531004,    4,    0
111509,19531005,    6,    0
111509,19531006,    8,    0
111509,19531007,    8,    0
111509,19531008,    7,    0
111509,19531009,    0,    0
111509,19531010,    0,    0
111509,19531011,    0,    0
111509,19531012,    1,    0
111509,19531013,    4,    0
111509,19531014,    6,    0
111509,19531015,    8,    0
111509,19531016,    8,    0
111509,19531017,    7,    0
111509,19531018,    8,    0
111509,19531019,    8,    0
111509,19531020,    8,    0
111509,19531021,    7,    0
111509,19531022,    5,    0
111509,19531023,    4,    0
111509,19531024,    2,    0
111509,19531025,    8,    0
111509,19531026,    8,    0
111509,19531027,    7,    0
111509,19531028,    5,    0
111509,19531029,    8,    0
111509,19531030,    5,    0
111509,19531031,    5,    0
111509,19531101,    4,    0
111509,19531102,    7,    0
111509,19531103,    8,    0
111509,19531104,    6,    0
111509,19531105,    6,    0
111509,19531106,    8,    0
111509,19531107,    5,    0
111509,19531108,    4,    0
111509,19531109,    0,    0
111509,19531110,    6,    0
111509,19531111,    8,    0
111509,19531112,    5,    0
111509,19531113,    5,    0
111509,19531114,    5,    0
111509,19531115,    7,    0
111509,19531116,    2,    0
111509,19531117,    1,    0
111509,19531118,    6,    0
111509,19531119,    4,    0
111509,19531120,    6,    0
111509,19531121,    8,    0
111509,19531122,    8,    0
111509,19531123,    7,    0
111509,19531124,    5,    0
111509,19531125,    3,    0
111509,19531126,    6,    0
111509,19531127,    6,    0
111509,19531128,    3,    0
111509,19531129,    3,    0
111509,19531130,    3,    0
111509,19531201,    5,    0
111509,19531202,    0,    0
111509,19531203,    5,    0
111509,19531204,    2,    0
111509,19531205,    5,    0
111509,19531206,    3,    0
111509,19531207,    8,    0
111509,19531208,    1,    0
111509,19531209,    7,    0
111509,19531210,    8,    0
111509,19531211,    8,    0
111509,19531212,    8,    0
111509,19531213,    3,    0
111509,19531214,    5,    0
111509,19531215,    5,    0
111509,19531216,    1,    0
111509,19531217,    3,    0
111509,19531218,    3,    0
111509,19531219,    7,    0
111509,19531220,    8,    0
111509,19531221,    8,    0
111509,19531222,    8,    0
111509,19531223,    8,    0
111509,19531224,    8,    0
111509,19531225,    8,    0
111509,19531226,    7,    0
111509,19531227,    8,    0
111509,19531228,    8,    0
111509,19531229,    8,    0
111509,19531230,    6,    0
111509,19531231,    8,    0
111509,19540101,    7,    0
111509,19540102,    8,    0
111509,19540103,    6,    0
111509,19540104,    7,    0
111509,19540105,    6,    0
111509,19540106,    8,    0
111509,19540107,    8,    0
111509,19540108,    8,    0
111509,19540109,    7,    0
111509,19540110,    8,    0
111509,19540111,    8,    0
111509,19540112,    8,    0
111509,19540113,    8,    0
111509,19540114,    7,    0
111509,19540115,    8,    0
111509,19540116,    6,    0
111509,19540117,    7,    0
111509,19540118,    3,    0
111509,19540119,    8,    0
111509,19540120,    8,    0
111509,19540121,    8,    0
111509,19540122,    7,    0
111509,19540123,    3,    0
111509,19540124,    0,    0
111509,19540125,    0,    0
111509,19540126,    0,    0
111509,19540127,    3,    0
111509,19540128,    6,    0
111509,19540129,    7,    0
111509,19540130,    5,    0
111509,19540131,    6,    0
111509,19540201,    0,    0
111509,19540202,    8,    0
111509,19540203,    7,    0
111509,19540204,    8,    0
111509,19540205,    4,    0
111509,19540206,    0,    0
111509,19540207,    0,    0
111509,19540208,    7,    0
111509,19540209,    8,    0
111509,19540210,    8,    0
111509,19540211,    7,    0
111509,19540212,    5,    0
111509,19540213,    5,    0
111509,19540214,    7,    0
111509,19540215,    8,    0
111509,19540216,    8,    0
111509,19540217,    8,    0
111509,19540218,    8,    0
111509,19540219,    7,    0
111509,19540220,    6,    0
111509,19540221,    0,    0
111509,19540222,    5,    0
111509,19540223,    3,    0
111509,19540224,    5,    0
111509,19540225,    7,    0
111509,19540226,    6,    0
111509,19540227,    5,    0
111509,19540228,    6,    0
111509,19540301,    5,    0
111509,19540302,    4,    0
111509,19540303,    5,    0
111509,19540304,    8,    0
111509,19540305,    6,    0
111509,19540306,    7,    0
111509,19540307,    3,    0
111509,19540308,    4,    0
111509,19540309,    0,    0
111509,19540310,    2,    0
111509,19540311,    2,    0
111509,19540312,    5,    0
