EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, STUTTGART/ECHTERDINGEN (STAID: 2763).
Blended and updated with sources: 115709 910738 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115709,19530101,   24,    0
115709,19530102,   48,    0
115709,19530103,   21,    0
115709,19530104,   30,    0
115709,19530105,   37,    0
115709,19530106,   19,    0
115709,19530107,   32,    0
115709,19530108,   14,    0
115709,19530109,   40,    0
115709,19530110,   52,    0
115709,19530111,   24,    0
115709,19530112,   12,    0
115709,19530113,   12,    0
115709,19530114,    4,    0
115709,19530115,   23,    0
115709,19530116,   12,    0
115709,19530117,   19,    0
115709,19530118,   18,    0
115709,19530119,   22,    0
115709,19530120,   15,    0
115709,19530121,   11,    0
115709,19530122,   12,    0
115709,19530123,   13,    0
115709,19530124,   36,    0
115709,19530125,   29,    0
115709,19530126,   19,    0
115709,19530127,   44,    0
115709,19530128,   76,    0
115709,19530129,   55,    0
115709,19530130,   24,    0
115709,19530131,   85,    0
115709,19530201,  111,    0
115709,19530202,   45,    0
115709,19530203,   35,    0
115709,19530204,   37,    0
115709,19530205,   76,    0
115709,19530206,   45,    0
115709,19530207,   34,    0
115709,19530208,   30,    0
115709,19530209,   59,    0
115709,19530210,   90,    0
115709,19530211,   46,    0
115709,19530212,   23,    0
115709,19530213,   16,    0
115709,19530214,   30,    0
115709,19530215,   50,    0
115709,19530216,   47,    0
115709,19530217,   19,    0
115709,19530218,   31,    0
115709,19530219,   20,    0
115709,19530220,   21,    0
115709,19530221,   47,    0
115709,19530222,   41,    0
115709,19530223,   25,    0
115709,19530224,   19,    0
115709,19530225,   23,    0
115709,19530226,   30,    0
115709,19530227,   16,    0
115709,19530228,   28,    0
115709,19530301,   42,    0
115709,19530302,   17,    0
115709,19530303,   17,    0
115709,19530304,   17,    0
115709,19530305,   21,    0
115709,19530306,   13,    0
115709,19530307,   48,    0
115709,19530308,   39,    0
115709,19530309,   21,    0
115709,19530310,   29,    0
115709,19530311,   32,    0
115709,19530312,   27,    0
115709,19530313,   26,    0
115709,19530314,   78,    0
115709,19530315,   60,    0
115709,19530316,   19,    0
115709,19530317,   13,    0
115709,19530318,   14,    0
115709,19530319,   15,    0
115709,19530320,   11,    0
115709,19530321,   14,    0
115709,19530322,   11,    0
115709,19530323,   13,    0
115709,19530324,   12,    0
115709,19530325,   11,    0
115709,19530326,   22,    0
115709,19530327,   48,    0
115709,19530328,   38,    0
115709,19530329,   64,    0
115709,19530330,   80,    0
115709,19530331,   70,    0
115709,19530401,   29,    0
115709,19530402,   36,    0
115709,19530403,   47,    0
115709,19530404,   42,    0
115709,19530405,   46,    0
115709,19530406,   41,    0
115709,19530407,   39,    0
115709,19530408,   25,    0
115709,19530409,   28,    0
115709,19530410,   31,    0
115709,19530411,   21,    0
115709,19530412,   29,    0
115709,19530413,   33,    0
115709,19530414,   25,    0
115709,19530415,   53,    0
115709,19530416,   40,    0
115709,19530417,   16,    0
115709,19530418,   33,    0
115709,19530419,   22,    0
115709,19530420,   31,    0
115709,19530421,   34,    0
115709,19530422,   26,    0
115709,19530423,   20,    0
115709,19530424,   22,    0
115709,19530425,   40,    0
115709,19530426,   29,    0
115709,19530427,   28,    0
115709,19530428,   57,    0
115709,19530429,   51,    0
115709,19530430,   29,    0
115709,19530501,   27,    0
115709,19530502,   28,    0
115709,19530503,   34,    0
115709,19530504,   37,    0
115709,19530505,   47,    0
115709,19530506,   41,    0
115709,19530507,   42,    0
115709,19530508,   20,    0
115709,19530509,   38,    0
115709,19530510,   46,    0
