EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, STUTTGART/ECHTERDINGEN (STAID: 2763).
Blended and updated with sources: 111514 910738 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
111514,19530101,-9999,    9
111514,19530102,-9999,    9
111514,19530103,-9999,    9
111514,19530104,-9999,    9
111514,19530105,-9999,    9
111514,19530106,-9999,    9
111514,19530107,-9999,    9
111514,19530108,-9999,    9
111514,19530109,-9999,    9
111514,19530110,-9999,    9
111514,19530111,-9999,    9
111514,19530112,-9999,    9
111514,19530113,-9999,    9
111514,19530114,-9999,    9
111514,19530115,-9999,    9
111514,19530116,-9999,    9
111514,19530117,-9999,    9
111514,19530118,-9999,    9
111514,19530119,-9999,    9
111514,19530120,-9999,    9
111514,19530121,-9999,    9
111514,19530122,-9999,    9
111514,19530123,-9999,    9
111514,19530124,-9999,    9
111514,19530125,-9999,    9
111514,19530126,-9999,    9
111514,19530127,-9999,    9
111514,19530128,-9999,    9
111514,19530129,-9999,    9
111514,19530130,-9999,    9
111514,19530131,-9999,    9
111514,19530201,-9999,    9
111514,19530202,-9999,    9
111514,19530203,-9999,    9
111514,19530204,-9999,    9
111514,19530205,-9999,    9
111514,19530206,-9999,    9
111514,19530207,-9999,    9
111514,19530208,-9999,    9
111514,19530209,-9999,    9
111514,19530210,-9999,    9
111514,19530211,-9999,    9
111514,19530212,-9999,    9
111514,19530213,-9999,    9
111514,19530214,-9999,    9
111514,19530215,-9999,    9
111514,19530216,-9999,    9
111514,19530217,-9999,    9
111514,19530218,-9999,    9
111514,19530219,-9999,    9
111514,19530220,-9999,    9
111514,19530221,-9999,    9
111514,19530222,-9999,    9
111514,19530223,-9999,    9
111514,19530224,-9999,    9
111514,19530225,-9999,    9
111514,19530226,-9999,    9
111514,19530227,-9999,    9
111514,19530228,-9999,    9
111514,19530301,-9999,    9
111514,19530302,-9999,    9
111514,19530303,-9999,    9
111514,19530304,-9999,    9
111514,19530305,-9999,    9
111514,19530306,-9999,    9
111514,19530307,-9999,    9
111514,19530308,-9999,    9
111514,19530309,-9999,    9
111514,19530310,-9999,    9
111514,19530311,-9999,    9
111514,19530312,-9999,    9
111514,19530313,-9999,    9
111514,19530314,-9999,    9
111514,19530315,-9999,    9
111514,19530316,-9999,    9
111514,19530317,-9999,    9
111514,19530318,-9999,    9
111514,19530319,-9999,    9
111514,19530320,-9999,    9
111514,19530321,-9999,    9
111514,19530322,-9999,    9
111514,19530323,-9999,    9
111514,19530324,-9999,    9
111514,19530325,-9999,    9
111514,19530326,-9999,    9
111514,19530327,-9999,    9
111514,19530328,-9999,    9
111514,19530329,-9999,    9
111514,19530330,-9999,    9
111514,19530331,-9999,    9
111514,19530401,-9999,    9
111514,19530402,-9999,    9
111514,19530403,-9999,    9
111514,19530404,-9999,    9
111514,19530405,-9999,    9
111514,19530406,-9999,    9
111514,19530407,-9999,    9
111514,19530408,-9999,    9
111514,19530409,-9999,    9
111514,19530410,-9999,    9
111514,19530411,-9999,    9
111514,19530412,-9999,    9
111514,19530413,-9999,    9
111514,19530414,-9999,    9
111514,19530415,-9999,    9
111514,19530416,-9999,    9
111514,19530417,-9999,    9
111514,19530418,-9999,    9
111514,19530419,-9999,    9
111514,19530420,-9999,    9
111514,19530421,-9999,    9
111514,19530422,-9999,    9
111514,19530423,-9999,    9
111514,19530424,-9999,    9
111514,19530425,-9999,    9
111514,19530426,-9999,    9
111514,19530427,-9999,    9
111514,19530428,-9999,    9
111514,19530429,-9999,    9
111514,19530430,-9999,    9
111514,19530501,-9999,    9
111514,19530502,-9999,    9
111514,19530503,-9999,    9
111514,19530504,-9999,    9
111514,19530505,-9999,    9
111514,19530506,-9999,    9
111514,19530507,-9999,    9
111514,19530508,-9999,    9
111514,19530509,-9999,    9
111514,19530510,-9999,    9
111514,19530511,-9999,    9
111514,19530512,-9999,    9
111514,19530513,-9999,    9
111514,19530514,-9999,    9
111514,19530515,-9999,    9
111514,19530516,-9999,    9
111514,19530517,-9999,    9
111514,19530518,-9999,    9
111514,19530519,-9999,    9
111514,19530520,-9999,    9
111514,19530521,-9999,    9
111514,19530522,-9999,    9
111514,19530523,-9999,    9
111514,19530524,-9999,    9
111514,19530525,-9999,    9
111514,19530526,-9999,    9
111514,19530527,-9999,    9
111514,19530528,-9999,    9
