EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, STUTTGART/ECHTERDINGEN (STAID: 2763).
Blended and updated with sources: 111516 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
111516,19530101,  -39,    0
111516,19530102,  -23,    0
111516,19530103,  -33,    0
111516,19530104,  -40,    0
111516,19530105,  -37,    0
111516,19530106,  -43,    0
111516,19530107,  -42,    0
111516,19530108,  -43,    0
111516,19530109,  -34,    0
111516,19530110,  -24,    0
111516,19530111,  -57,    0
111516,19530112,  -76,    0
111516,19530113,  -72,    0
111516,19530114, -118,    0
111516,19530115,  -68,    0
111516,19530116,  -72,    0
111516,19530117,  -24,    0
111516,19530118,  -30,    0
111516,19530119,  -32,    0
111516,19530120,  -41,    0
111516,19530121, -128,    0
111516,19530122,  -28,    0
111516,19530123,   -5,    0
111516,19530124,  -20,    0
111516,19530125,  -49,    0
111516,19530126,  -20,    0
111516,19530127,  -97,    0
111516,19530128,   12,    0
111516,19530129,   33,    0
111516,19530130,   28,    0
111516,19530131,   -3,    0
111516,19530201,  -24,    0
111516,19530202,  -35,    0
111516,19530203,  -21,    0
111516,19530204,  -28,    0
111516,19530205,  -27,    0
111516,19530206,  -38,    0
111516,19530207,  -91,    0
111516,19530208, -144,    0
111516,19530209, -104,    0
111516,19530210,    0,    0
111516,19530211,  -15,    0
111516,19530212,   -9,    0
111516,19530213,  -10,    0
111516,19530214,  -20,    0
111516,19530215,  -42,    0
111516,19530216,  -52,    0
111516,19530217,  -75,    0
111516,19530218,  -51,    0
111516,19530219,   12,    0
111516,19530220,   22,    0
111516,19530221,    3,    0
111516,19530222,   23,    0
111516,19530223,   46,    0
111516,19530224,   14,    0
111516,19530225,  -12,    0
111516,19530226,    7,    0
111516,19530227,  -25,    0
