;von;bis;;
Datum:;12.12.2020;12.12.2020;;
Enthalt Z;190;190;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2992.40;99.83 %;
Auslagen;;;4.00;0.13 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.20;0.04 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;4.00;0.13 %;
5.0%;;;2453.40;81.88 %;
16.0%;;;539.00;17.99 %;
Total;;;2996.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;4.00;0.14 %;
5.0%;;;2336.73;83.29 %;
16.0%;;;464.73;16.57 %;
Total;;;2805.46;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;116.67;61.10 %;
16.0%;;;74.27;38.90 %;
Total;;;190.94;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;142;1281.50;42.77 %;0.00
Maestro;;36;1127.00;37.61 %;0.40
MasterCard;;2;19.60;0.65 %;0.00
Mehrzweckgutschein;;1;5.20;0.17 %;0.00
Visa;;15;284.80;9.50 %;0.00
Visa Electron;;16;278.30;9.29 %;0.80
Total;;212;2996.40;100.00 %;1.20
;;;;
Umsatzdetails;;;;;
Martin;;;2992.40;100.00 %;1.20
Total;;;2992.40;100.00 %;1.20
;;;;
Stornos;;;;;
vertippt;;2;7.00;77.78 %;
Änderung durch Gast;;2;2.00;22.22 %;
Total;;4;9.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;2;24.00;100.00 %;
Total;;2;24.00;100.00 %;
;;;;
Tische;;;;;
Theke;;212;2996.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;159;2183.00;72.85 %;;0;0.00;;159;2183.00
Getränke;;308;659.20;22.00 %;;0;0.00;;308;659.20
Speisen;;45;154.20;5.15 %;;0;0.00;;45;154.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;139;1816.50;60.62 %;;0;0.00;;139;1816.50
Milchmischgetränke;;133;455.30;15.19 %;;0;0.00;;133;455.30
Equipment;;20;366.50;12.23 %;;0;0.00;;20;366.50
Kaffee;;165;166.00;5.54 %;;0;0.00;;165;166.00
Speisen;;45;154.20;5.15 %;;0;0.00;;45;154.20
Winter #1;;7;27.40;0.91 %;;0;0.00;;7;27.40
Non Kaffee;;3;10.50;0.35 %;;0;0.00;;3;10.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
MUYU 250g;0;38;351.50;11.73 %;;0;0.00;;38;351.50
Cappuccino;0;75;240.00;8.01 %;;0;0.00;;75;240.00
MUYU 500g;0;10;180.00;6.01 %;;0;0.00;;10;180.00
EL MORENO 250g;0;13;149.50;4.99 %;;0;0.00;;13;149.50
Banana Bread PINE NUT;0;33;125.40;4.19 %;;0;0.00;;33;125.40
FINCA ISNUL 250g;0;10;115.00;3.84 %;;0;0.00;;10;115.00
DON PASCUAL 250g;0;10;105.00;3.50 %;;0;0.00;;10;105.00
GOVER CUEVA 250g;0;8;101.50;3.39 %;;0;0.00;;8;101.50
BUMBOGO 250g;0;7;94.50;3.15 %;;0;0.00;;7;94.50
KRA JAN 250g;0;7;94.50;3.15 %;;0;0.00;;7;94.50
LUA CLARA 250g;0;8;92.00;3.07 %;;0;0.00;;8;92.00
Tasse M;0;3;84.00;2.80 %;;0;0.00;;3;84.00
