;von;bis;;
Datum:;21.11.2020;21.11.2020;;
Enthalt Z;172;172;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1843.45;98.18 %;
Auslagen;;;32.00;1.70 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.20;0.12 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;32.00;1.71 %;
5.0%;;;1578.65;84.17 %;
16.0%;;;264.80;14.12 %;
Total;;;1875.45;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;32.00;1.81 %;
5.0%;;;1503.66;85.24 %;
16.0%;;;228.46;12.95 %;
Total;;;1764.12;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;74.99;67.36 %;
16.0%;;;36.34;32.64 %;
Total;;;111.33;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;186;1184.60;63.16 %;0.00
Maestro;;40;489.60;26.11 %;2.00
MasterCard;;3;17.90;0.95 %;0.00
Visa;;8;66.15;3.53 %;0.00
Visa Electron;;9;117.20;6.25 %;0.20
Total;;246;1875.45;100.00 %;2.20
;;;;
Umsatzdetails;;;;;
Martin;;;1843.45;100.00 %;2.20
Total;;;1843.45;100.00 %;2.20
;;;;
Stornos;;;;;
vertippt;;1;3.80;100.00 %;
Total;;1;3.80;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;4.75;100.00 %;
Total;;1;4.75;100.00 %;
;;;;
Tische;;;;;
Theke;;246;1875.45;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;499;1130.80;60.29 %;;0;0.00;;499;1130.80
Sonstiges;;45;632.25;33.71 %;;0;0.00;;45;632.25
Speisen;;40;112.40;5.99 %;;0;0.00;;40;112.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;248;849.40;45.29 %;;0;0.00;;248;849.40
Röstkaffee;;43;585.25;31.21 %;;0;0.00;;43;585.25
Kaffee;;237;236.50;12.61 %;;0;0.00;;237;236.50
Speisen;;40;112.40;5.99 %;;0;0.00;;40;112.40
Equipment;;1;37.00;1.97 %;;0;0.00;;1;37.00
Winter #1;;8;31.60;1.68 %;;0;0.00;;8;31.60
Non Kaffee;;6;13.30;0.71 %;;0;0.00;;6;13.30
Gutscheine;;1;10.00;0.53 %;;0;0.00;;1;10.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;129;412.80;22.01 %;;0;0.00;;129;412.80
Flat White;0;35;133.00;7.09 %;;0;0.00;;35;133.00
Caffé Latte;0;34;119.00;6.35 %;;0;0.00;;34;119.00
MUYU 500g;0;6;108.00;5.76 %;;0;0.00;;6;108.00
Cappuccino groß;0;23;87.40;4.66 %;;0;0.00;;23;87.40
ReCup ausgeben;0;86;86.00;4.59 %;;0;0.00;;86;86.00
EL MORENO 250g;0;7;80.50;4.29 %;;0;0.00;;7;80.50
Americano;0;28;70.00;3.73 %;;0;0.00;;28;70.00
BUMBOGO 250g;0;5;67.50;3.60 %;;0;0.00;;5;67.50
Kakao;0;18;63.00;3.36 %;;0;0.00;;18;63.00
PAPAKUCHI 250g;0;6;52.25;2.79 %;;0;0.00;;6;52.25
Pain au chocolat;0;18;50.40;2.69 %;;0;0.00;;18;50.40
GUJI HADESO 250g;0;3;49.50;2.64 %;;0;0.00;;3;49.50
DON PASCUAL 250g;0;4;42.00;2.24 %;;0;0.00;;4;42.00
FINCA ISNUL 250g;0;4;42.00;2.24 %;;0;0.00;;4;42.00
MUYU 250g;0;4;38.00;2.03 %;;0;0.00;;4;38.00
FINCA ISNUL 1000g;0;1;38.00;2.03 %;;0;0.00;;1;38.00
Banana Bread PINE NUT;0;10;38.00;2.03 %;;0;0.00;;10;38.00
Café Crème;0;15;37.50;2.00 %;;0;0.00;;15;37.50
Kinto travel tumbler;0;1;37.00;1.97 %;;0;0.00;;1;37.00
Caffé Latte doppelt;0;9;34.20;1.82 %;;0;0.00;;9;34.20
MUYU 1000g;0;1;34.00;1.81 %;;0;0.00;;1;34.00
Espresso single;0;14;28.00;1.49 %;;0;0.00;;14;28.00
Croissant;0;12;24.00;1.28 %;;0;0.00;;12;24.00
EL MORENO 500g;0;1;22.00;1.17 %;;0;0.00;;1;22.00
Doppio;0;8;20.00;1.07 %;;0;0.00;;8;20.00
Filterkaffee;0;8;20.00;1.07 %;;0;0.00;;8;20.00
Chai #1;0;5;19.00;1.01 %;;0;0.00;;5;19.00
Café Crème groß;0;6;18.00;0.96 %;;0;0.00;;6;18.00
Espresso Macchiato;0;6;15.00;0.80 %;;0;0.00;;6;15.00
Tee wilder Salbei #1;0;3;12.60;0.67 %;;0;0.00;;3;12.60
LUA CLARA 250g;0;1;11.50;0.61 %;;0;0.00;;1;11.50
Tea;0;3;10.50;0.56 %;;0;0.00;;3;10.50
10€ Gutschein;0;1;10.00;0.53 %;;0;0.00;;1;10.00
Doppio Macchiato;0;1;3.00;0.16 %;;0;0.00;;1;3.00
Americano groß;0;1;3.00;0.16 %;;0;0.00;;1;3.00
Kaltgetränk;0;1;2.80;0.15 %;;0;0.00;;1;2.80
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup zurücknehmen;0;64;-64.00;-3.41 %;;0;0.00;;64;-64.00
;;;;
