;von;bis;;
Datum:;31.12.2020;31.12.2020;;
Enthalt Z;204;204;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;993.25;94.39 %;
Auslagen;;;59.00;5.61 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;59.00;5.61 %;
5.0%;;;742.75;70.59 %;
16.0%;;;250.50;23.81 %;
Total;;;1052.25;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;59.00;6.00 %;
5.0%;;;707.51;72.01 %;
16.0%;;;216.07;21.99 %;
Total;;;982.58;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;35.24;50.58 %;
16.0%;;;34.43;49.42 %;
Total;;;69.67;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;118;577.90;54.92 %;0.00
Maestro;;17;189.75;18.03 %;0.00
MasterCard;;1;8.40;0.80 %;0.00
Mehrzweckgutschein;;1;6.70;0.64 %;0.00
Visa;;7;174.80;16.61 %;0.00
Visa Electron;;4;94.70;9.00 %;0.00
Total;;148;1052.25;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Martin;;;974.45;98.11 %;0.00
Robin;;;18.80;1.89 %;0.00
Total;;;993.25;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;3;5.20;100.00 %;
Total;;3;5.20;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;8.75;100.00 %;
Total;;1;8.75;100.00 %;
;;;;
Tische;;;;;
Theke;;148;1052.25;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;394;648.40;61.62 %;;0;0.00;;394;648.40
Sonstiges;;24;315.25;29.96 %;;0;0.00;;24;315.25
Speisen;;29;88.60;8.42 %;;0;0.00;;29;88.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;127;437.90;41.62 %;;0;0.00;;127;437.90
Röstkaffee;;18;204.25;19.41 %;;0;0.00;;18;204.25
Kaffee;;243;193.50;18.39 %;;0;0.00;;243;193.50
Equipment;;6;111.00;10.55 %;;0;0.00;;6;111.00
Speisen;;29;88.60;8.42 %;;0;0.00;;29;88.60
Non Kaffee;;24;17.00;1.62 %;;0;0.00;;24;17.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;63;201.60;19.16 %;;0;0.00;;63;201.60
ReCup ausgeben;0;119;119.00;11.31 %;;0;0.00;;119;119.00
Flat White;0;23;87.40;8.31 %;;0;0.00;;23;87.40
MUYU 250g;0;8;76.00;7.22 %;;0;0.00;;8;76.00
Hario V60 ceramic dripper black;0;2;63.00;5.99 %;;0;0.00;;2;63.00
Cappuccino groß;0;16;60.80;5.78 %;;0;0.00;;16;60.80
Caffé Latte;0;15;52.50;4.99 %;;0;0.00;;15;52.50
FINCA ISNUL 250g;0;4;46.00;4.37 %;;0;0.00;;4;46.00
Americano;0;15;37.50;3.56 %;;0;0.00;;15;37.50
Kinto coffee server 300ml;0;2;29.00;2.76 %;;0;0.00;;2;29.00
GOVER CUEVA 250g;0;2;29.00;2.76 %;;0;0.00;;2;29.00
Kakao;0;8;28.00;2.66 %;;0;0.00;;8;28.00
LA DALIA 250g;0;2;26.25;2.49 %;;0;0.00;;2;26.25
Pain au chocolat;0;9;25.20;2.39 %;;0;0.00;;9;25.20
Espresso Macchiato;0;8;20.00;1.90 %;;0;0.00;;8;20.00
Kanelbullar;0;6;19.20;1.82 %;;0;0.00;;6;19.20
Banana Bread PINE NUT;0;5;19.00;1.81 %;;0;0.00;;5;19.00
Americano groß;0;6;18.00;1.71 %;;0;0.00;;6;18.00
GUJI HADESO 250g;0;1;16.50;1.57 %;;0;0.00;;1;16.50
ReCup ausgeben **;0;16;16.00;1.52 %;;0;0.00;;16;16.00
Brownie;0;4;15.20;1.44 %;;0;0.00;;4;15.20
Café Crème;0;6;15.00;1.43 %;;0;0.00;;6;15.00
Filterkaffee;0;6;15.00;1.43 %;;0;0.00;;6;15.00
Hand Brew;0;3;13.50;1.28 %;;0;0.00;;3;13.50
Doppio;0;5;12.50;1.19 %;;0;0.00;;5;12.50
Buch Mönch von Mokka;0;1;12.00;1.14 %;;0;0.00;;1;12.00
DON PASCUAL 250g;0;1;10.50;1.00 %;;0;0.00;;1;10.50
Croissant;0;5;10.00;0.95 %;;0;0.00;;5;10.00
Caffé Latte doppelt;0;2;7.60;0.72 %;;0;0.00;;2;7.60
Tea;0;2;7.00;0.67 %;;0;0.00;;2;7.00
Hario V60 filter (100) 02;0;1;7.00;0.67 %;;0;0.00;;1;7.00
Doppio Macchiato;0;2;6.00;0.57 %;;0;0.00;;2;6.00
Espresso single;0;2;4.00;0.38 %;;0;0.00;;2;4.00
Café Crème groß;0;1;3.00;0.29 %;;0;0.00;;1;3.00
ReCup zurücknehmen **;0;6;-6.00;-0.57 %;;0;0.00;;6;-6.00
ReCup zurücknehmen;0;70;-70.00;-6.65 %;;0;0.00;;70;-70.00
;;;;
