;von;bis;;
Datum:;02.01.2021;02.01.2021;;
Enthalt Z;205;205;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1210.55;97.20 %;
Auslagen;;;32.00;2.57 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.90;0.23 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;32.00;2.58 %;
19.0%;;;123.50;9.94 %;
7.0%;;;1087.05;87.49 %;
Total;;;1242.55;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;32.00;2.78 %;
19.0%;;;103.75;9.01 %;
7.0%;;;1015.81;88.21 %;
Total;;;1151.56;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;19.75;21.71 %;
7.0%;;;71.24;78.29 %;
Total;;;90.99;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;152;791.90;63.73 %;0.00
Maestro;;22;302.55;24.35 %;1.00
MasterCard;;4;26.30;2.12 %;0.00
Mehrzweckgutschein;;1;3.20;0.26 %;0.00
Visa;;7;104.60;8.42 %;1.90
Visa Electron;;2;14.00;1.13 %;0.00
Total;;188;1242.55;100.00 %;2.90
;;;;
Umsatzdetails;;;;;
Martin;;;1210.55;100.00 %;2.90
Total;;;1210.55;100.00 %;2.90
;;;;
Stornos;;;;;
vertippt;;2;-2.00;100.00 %;
Total;;2;-2.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;5.25;100.00 %;
Total;;1;5.25;100.00 %;
;;;;
Tische;;;;;
Theke;;188;1242.55;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;486;692.90;55.76 %;;0;0.00;;486;692.90
Sonstiges;;29;424.25;34.14 %;;0;0.00;;29;424.25
Speisen;;43;125.40;10.09 %;;0;0.00;;43;125.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;152;525.40;42.28 %;;0;0.00;;152;525.40
Röstkaffee;;28;417.25;33.58 %;;0;0.00;;28;417.25
Kaffee;;326;141.50;11.39 %;;0;0.00;;326;141.50
Speisen;;43;125.40;10.09 %;;0;0.00;;43;125.40
Winter #1;;5;19.00;1.53 %;;0;0.00;;5;19.00
Equipment;;1;7.00;0.56 %;;0;0.00;;1;7.00
Non Kaffee;;3;7.00;0.56 %;;0;0.00;;3;7.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;72;230.40;18.54 %;;0;0.00;;72;230.40
ReCup ausgeben;0;158;158.00;12.72 %;;0;0.00;;158;158.00
MUYU 1000g;0;3;102.00;8.21 %;;0;0.00;;3;102.00
Flat White;0;26;98.80;7.95 %;;0;0.00;;26;98.80
Cappuccino groß;0;19;72.20;5.81 %;;0;0.00;;19;72.20
Caffé Latte;0;19;66.50;5.35 %;;0;0.00;;19;66.50
EL MORENO 250g;0;5;57.50;4.63 %;;0;0.00;;5;57.50
MUYU 250g;0;5;47.50;3.82 %;;0;0.00;;5;47.50
Kakao;0;11;38.50;3.10 %;;0;0.00;;11;38.50
MUYU 500g;0;2;36.00;2.90 %;;0;0.00;;2;36.00
Kanelbullar;0;10;32.00;2.58 %;;0;0.00;;10;32.00
EL CARMEN Decaf 250g;0;3;31.50;2.54 %;;0;0.00;;3;31.50
Brownie;0;7;26.60;2.14 %;;0;0.00;;7;26.60
LUA CLARA 250g;0;2;23.00;1.85 %;;0;0.00;;2;23.00
