;von;bis;;
Datum:;18.12.2020;18.12.2020;;
Enthalt Z;195;195;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1410.65;97.51 %;
Auslagen;;;36.00;2.49 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;36.00;2.49 %;
5.0%;;;1058.65;73.18 %;
16.0%;;;352.00;24.33 %;
Total;;;1446.65;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;36.00;2.67 %;
5.0%;;;1008.34;74.81 %;
16.0%;;;303.51;22.52 %;
Total;;;1347.85;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;50.31;50.92 %;
16.0%;;;48.49;49.08 %;
Total;;;98.80;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;90;538.10;37.20 %;0.00
Maestro;;23;576.00;39.82 %;0.00
MasterCard;;6;49.90;3.45 %;0.00
Visa;;9;121.45;8.40 %;0.00
Visa Electron;;10;161.20;11.14 %;0.00
Total;;138;1446.65;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Martin;;;1159.65;82.21 %;0.00
Robin;;;251.00;17.79 %;0.00
Total;;;1410.65;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;5.25;100.00 %;
Total;;1;5.25;100.00 %;
;;;;
Tische;;;;;
Theke;;137;1442.65;99.72 %;
Tisch 20;;1;4.00;0.28 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;63;876.75;60.61 %;;0;0.00;;63;876.75
Getränke;;205;484.90;33.52 %;;0;0.00;;205;484.90
Speisen;;28;85.00;5.88 %;;0;0.00;;28;85.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;49;608.75;42.08 %;;0;0.00;;49;608.75
Milchmischgetränke;;107;364.90;25.22 %;;0;0.00;;107;364.90
Equipment;;13;243.00;16.80 %;;0;0.00;;13;243.00
Kaffee;;77;117.00;8.09 %;;0;0.00;;77;117.00
Speisen;;28;85.00;5.88 %;;0;0.00;;28;85.00
Gutscheine;;1;25.00;1.73 %;;0;0.00;;1;25.00
Non Kaffee;;21;3.00;0.21 %;;0;0.00;;21;3.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;61;195.20;13.49 %;;0;0.00;;61;195.20
MUYU 250g;0;11;104.50;7.22 %;;0;0.00;;11;104.50
KRA JAN 250g;0;6;81.00;5.60 %;;0;0.00;;6;81.00
GOVER CUEVA 250g;0;5;72.50;5.01 %;;0;0.00;;5;72.50
Tasse S;0;4;72.00;4.98 %;;0;0.00;;4;72.00
EL MORENO 250g;0;6;69.00;4.77 %;;0;0.00;;6;69.00
EL CARMEN Decaf 250g;0;7;68.25;4.72 %;;0;0.00;;7;68.25
MUYU 1000g;0;2;68.00;4.70 %;;0;0.00;;2;68.00
Flat White;0;13;49.40;3.41 %;;0;0.00;;13;49.40
Banana Bread PINE NUT;0;13;49.40;3.41 %;;0;0.00;;13;49.40
Cappuccino groß;0;10;38.00;2.63 %;;0;0.00;;10;38.00
Kinto travel  Tumbler 350ml;0;1;37.00;2.56 %;;0;0.00;;1;37.00
Buch Mönch von Mokka;0;3;36.00;2.49 %;;0;0.00;;3;36.00
Caffé Latte;0;10;35.00;2.42 %;;0;0.00;;10;35.00
Tasse L;0;1;35.00;2.42 %;;0;0.00;;1;35.00
FINCA ISNUL 250g;0;3;34.50;2.38 %;;0;0.00;;3;34.50
Tasse M;0;1;28.00;1.94 %;;0;0.00;;1;28.00
Americano;0;11;27.50;1.90 %;;0;0.00;;11;27.50
Americano groß;0;9;27.00;1.87 %;;0;0.00;;9;27.00
25€ Gutschein;0;1;25.00;1.73 %;;0;0.00;;1;25.00
Kakao;0;7;24.50;1.69 %;;0;0.00;;7;24.50
ATSABE 250g;0;2;23.00;1.59 %;;0;0.00;;2;23.00
LUA CLARA 250g;0;2;23.00;1.59 %;;0;0.00;;2;23.00
Caffé Latte doppelt;0;6;22.80;1.58 %;;0;0.00;;6;22.80
ReCup ausgeben;0;21;21.00;1.45 %;;0;0.00;;21;21.00
Pain au chocolat;0;7;19.60;1.35 %;;0;0.00;;7;19.60
PAPAKUCHI 250g;0;2;19.00;1.31 %;;0;0.00;;2;19.00
MUYU 500g;0;1;18.00;1.24 %;;0;0.00;;1;18.00
LA DALIA 250g;0;1;17.50;1.21 %;;0;0.00;;1;17.50
Kinto coffee server 600ml;0;1;17.00;1.18 %;;0;0.00;;1;17.00
Espresso single;0;8;16.00;1.11 %;;0;0.00;;8;16.00
Croissant;0;8;16.00;1.11 %;;0;0.00;;8;16.00
ReCup ausgeben **;0;12;12.00;0.83 %;;0;0.00;;12;12.00
DON PASCUAL 250g;0;1;10.50;0.73 %;;0;0.00;;1;10.50
Doppio;0;4;10.00;0.69 %;;0;0.00;;4;10.00
Espresso Macchiato;0;4;10.00;0.69 %;;0;0.00;;4;10.00
Tasche;0;1;9.50;0.66 %;;0;0.00;;1;9.50
Hario V60 plastic dripper transparent;0;1;8.50;0.59 %;;0;0.00;;1;8.50
Café Crème;0;3;7.50;0.52 %;;0;0.00;;3;7.50
Filterkaffee;0;2;5.00;0.35 %;;0;0.00;;2;5.00
Doppio Macchiato;0;1;3.00;0.21 %;;0;0.00;;1;3.00
Café Crème groß;0;1;3.00;0.21 %;;0;0.00;;1;3.00
ReCup zurücknehmen **;0;9;-9.00;-0.62 %;;0;0.00;;9;-9.00
ReCup zurücknehmen;0;13;-13.00;-0.90 %;;0;0.00;;13;-13.00
;;;;
