;von;bis;;
Datum:;18.11.2020;18.11.2020;;
Enthalt Z;169;169;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1152.70;95.52 %;
Auslagen;;;54.00;4.48 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;54.00;4.48 %;
5.0%;;;1005.20;83.30 %;
16.0%;;;147.50;12.22 %;
Total;;;1206.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;54.00;4.74 %;
5.0%;;;957.46;84.08 %;
16.0%;;;127.29;11.18 %;
Total;;;1138.75;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;47.74;70.26 %;
16.0%;;;20.21;29.74 %;
Total;;;67.95;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;150;832.50;68.99 %;0.00
Maestro;;24;230.05;19.06 %;0.00
MasterCard;;8;54.60;4.52 %;0.00
Visa;;3;58.85;4.88 %;0.00
Visa Electron;;5;30.70;2.54 %;0.00
Total;;190;1206.70;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;106.30;9.22 %;0.00
Martin;;;1029.90;89.35 %;0.00
Mik;;;16.50;1.43 %;0.00
Total;;;1152.70;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
4,00 €;;1;4.00;8.79 %;
50%;;2;41.50;91.21 %;
Total;;3;45.50;100.00 %;
;;;;
Tische;;;;;
Theke;;190;1206.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;315;731.90;60.65 %;;0;0.00;;315;731.90
Sonstiges;;32;365.00;30.25 %;;0;0.00;;32;365.00
Speisen;;37;109.80;9.10 %;;0;0.00;;37;109.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;168;581.10;48.16 %;;0;0.00;;168;581.10
Röstkaffee;;25;302.50;25.07 %;;0;0.00;;25;302.50
Kaffee;;143;135.50;11.23 %;;0;0.00;;143;135.50
Speisen;;37;109.80;9.10 %;;0;0.00;;37;109.80
Gutscheine;;4;40.00;3.31 %;;0;0.00;;4;40.00
Equipment;;3;22.50;1.86 %;;0;0.00;;3;22.50
Winter #1;;3;11.80;0.98 %;;0;0.00;;3;11.80
Non Kaffee;;1;3.50;0.29 %;;0;0.00;;1;3.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;82;262.40;21.75 %;;0;0.00;;82;262.40
Flat White;0;34;129.20;10.71 %;;0;0.00;;34;129.20
Cappuccino groß;0;24;91.20;7.56 %;;0;0.00;;24;91.20
Caffé Latte;0;23;80.50;6.67 %;;0;0.00;;23;80.50
Banana Bread PINE NUT;0;15;57.00;4.72 %;;0;0.00;;15;57.00
ReCup ausgeben;0;54;54.00;4.48 %;;0;0.00;;54;54.00
FINCA ISNUL 250g;0;5;52.50;4.35 %;;0;0.00;;5;52.50
MUYU 500g;0;3;45.00;3.73 %;;0;0.00;;3;45.00
EL MORENO 250g;0;4;40.25;3.34 %;;0;0.00;;4;40.25
10€ Gutschein;0;4;40.00;3.31 %;;0;0.00;;4;40.00
MUYU 1000g;0;1;34.00;2.82 %;;0;0.00;;1;34.00
Pain au chocolat;0;11;30.80;2.55 %;;0;0.00;;11;30.80
FINCA ISNUL 500g;0;2;30.00;2.49 %;;0;0.00;;2;30.00
MUYU 250g;0;3;28.50;2.36 %;;0;0.00;;3;28.50
LUA CLARA 250g;0;2;23.00;1.91 %;;0;0.00;;2;23.00
Americano;0;9;22.50;1.86 %;;0;0.00;;9;22.50
LUA CLARA 500g;0;1;22.00;1.82 %;;0;0.00;;1;22.00
Croissant;0;11;22.00;1.82 %;;0;0.00;;11;22.00
Espresso single;0;10;20.00;1.66 %;;0;0.00;;10;20.00
Doppio;0;7;17.50;1.45 %;;0;0.00;;7;17.50
DON PASCUAL 250g;0;2;15.75;1.31 %;;0;0.00;;2;15.75
Espresso Macchiato;0;6;15.00;1.24 %;;0;0.00;;6;15.00
Kakao;0;4;14.00;1.16 %;;0;0.00;;4;14.00
Filterkaffee;0;5;12.50;1.04 %;;0;0.00;;5;12.50
Doppio Macchiato;0;4;12.00;0.99 %;;0;0.00;;4;12.00
Café Crème;0;4;10.00;0.83 %;;0;0.00;;4;10.00
Americano groß;0;3;9.00;0.75 %;;0;0.00;;3;9.00
Hario V60 plastic dripper transparent;0;1;8.50;0.70 %;;0;0.00;;1;8.50
Chai #1;0;2;7.60;0.63 %;;0;0.00;;2;7.60
Chemex filter;0;1;7.00;0.58 %;;0;0.00;;1;7.00
Hario V60 filter (100) 02;0;1;7.00;0.58 %;;0;0.00;;1;7.00
BUMBOGO 250g;0;1;6.75;0.56 %;;0;0.00;;1;6.75
PAPAKUCHI 250g;0;1;4.75;0.39 %;;0;0.00;;1;4.75
Irish Coffee #1;0;1;4.20;0.35 %;;0;0.00;;1;4.20
Caffé Latte doppelt;0;1;3.80;0.31 %;;0;0.00;;1;3.80
Tea;0;1;3.50;0.29 %;;0;0.00;;1;3.50
Café Crème groß;0;1;3.00;0.25 %;;0;0.00;;1;3.00
ReCup zurücknehmen;0;40;-40.00;-3.31 %;;0;0.00;;40;-40.00
;;;;
