;von;bis;;
Datum:;12.02.2021;12.02.2021;;
Enthalt Z;240;240;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1111.30;96.09 %;
Auslagen;;;43.00;3.72 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.20;0.19 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;43.00;3.73 %;
19.0%;;;135.10;11.70 %;
7.0%;;;976.20;84.57 %;
Total;;;1154.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;43.00;4.02 %;
19.0%;;;113.49;10.62 %;
7.0%;;;912.19;85.36 %;
Total;;;1068.68;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;21.61;25.24 %;
7.0%;;;64.01;74.76 %;
Total;;;85.62;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;157;560.50;48.56 %;0.00
Maestro;;35;412.40;35.73 %;2.20
MasterCard;;4;58.00;5.02 %;0.00
Visa;;3;26.90;2.33 %;0.00
Visa Electron;;7;96.50;8.36 %;0.00
Total;;206;1154.30;100.00 %;2.20
;;;;
Umsatzdetails;;;;;
Martin;;;1111.30;100.00 %;2.20
Total;;;1111.30;100.00 %;2.20
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;17.00;100.00 %;
Total;;1;17.00;100.00 %;
;;;;
Tische;;;;;
Theke;;206;1154.30;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;540;698.70;60.53 %;;0;0.00;;540;698.70
Sonstiges;;23;339.00;29.37 %;;0;0.00;;23;339.00
Speisen;;37;116.60;10.10 %;;0;0.00;;37;116.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;149;520.60;45.10 %;;0;0.00;;149;520.60
Röstkaffee;;23;339.00;29.37 %;;0;0.00;;23;339.00
Kaffee;;386;162.00;14.03 %;;0;0.00;;386;162.00
Speisen;;37;116.60;10.10 %;;0;0.00;;37;116.60
Non Kaffee;;5;16.10;1.39 %;;0;0.00;;5;16.10
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;64;204.80;17.74 %;;0;0.00;;64;204.80
ReCup ausgeben;0;191;191.00;16.55 %;;0;0.00;;191;191.00
Cappuccino groß;0;32;121.60;10.53 %;;0;0.00;;32;121.60
Flat White;0;27;102.60;8.89 %;;0;0.00;;27;102.60
Caffé Latte;0;18;63.00;5.46 %;;0;0.00;;18;63.00
Americano;0;23;57.50;4.98 %;;0;0.00;;23;57.50
MUYU 1000g;0;2;51.00;4.42 %;;0;0.00;;2;51.00
Kanelbullar;0;13;41.60;3.60 %;;0;0.00;;13;41.60
Banana Bread PINE NUT;0;10;38.00;3.29 %;;0;0.00;;10;38.00
MUYU 500g;0;2;36.00;3.12 %;;0;0.00;;2;36.00
EL MORENO 250g;0;3;34.50;2.99 %;;0;0.00;;3;34.50
GOVER CUEVA 250g;0;2;29.00;2.51 %;;0;0.00;;2;29.00
MUYU 250g;0;3;28.50;2.47 %;;0;0.00;;3;28.50
MUYU BOTTLE 365;0;2;27.00;2.34 %;;0;0.00;;2;27.00
BUMBOGO 500g;0;1;26.00;2.25 %;;0;0.00;;1;26.00
EL MORENO 500g;0;1;22.00;1.91 %;;0;0.00;;1;22.00
DON PASCUAL 250g;0;2;21.00;1.82 %;;0;0.00;;2;21.00
Kakao;0;6;21.00;1.82 %;;0;0.00;;6;21.00
PAPAKUCHI 500g;0;1;18.00;1.56 %;;0;0.00;;1;18.00
Croissant;0;8;16.00;1.39 %;;0;0.00;;8;16.00
BUMBOGO 250g;0;1;13.50;1.17 %;;0;0.00;;1;13.50
ALT Sandwich;0;3;12.60;1.09 %;;0;0.00;;3;12.60
Filterkaffee;0;5;12.50;1.08 %;;0;0.00;;5;12.50
ATSABE 250g;0;1;11.50;1.00 %;;0;0.00;;1;11.50
EL CARMEN Decaf 250g;0;1;11.50;1.00 %;;0;0.00;;1;11.50
Tea;0;3;10.50;0.91 %;;0;0.00;;3;10.50
Espresso single;0;5;10.00;0.87 %;;0;0.00;;5;10.00
PAPAKUCHI 250g;0;1;9.50;0.82 %;;0;0.00;;1;9.50
Doppio Macchiato;0;3;9.00;0.78 %;;0;0.00;;3;9.00
Pain au chocolat;0;3;8.40;0.73 %;;0;0.00;;3;8.40
Caffé Latte doppelt;0;2;7.60;0.66 %;;0;0.00;;2;7.60
Café Crème;0;3;7.50;0.65 %;;0;0.00;;3;7.50
Doppio;0;3;7.50;0.65 %;;0;0.00;;3;7.50
Espresso Macchiato;0;3;7.50;0.65 %;;0;0.00;;3;7.50
Kaltgetränk;0;2;5.60;0.49 %;;0;0.00;;2;5.60
Hand Brew;0;1;4.50;0.39 %;;0;0.00;;1;4.50
Americano groß;0;1;3.00;0.26 %;;0;0.00;;1;3.00
ReCup zurücknehmen;0;148;-148.00;-12.82 %;;0;0.00;;148;-148.00
;;;;
