;von;bis;;
Datum:;18.02.2021;18.02.2021;;
Enthalt Z;245;245;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1115.60;94.98 %;
Auslagen;;;59.00;5.02 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;59.00;5.02 %;
19.0%;;;224.30;19.10 %;
7.0%;;;891.30;75.88 %;
Total;;;1174.60;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;59.00;5.46 %;
19.0%;;;188.43;17.44 %;
7.0%;;;832.87;77.10 %;
Total;;;1080.30;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;35.87;38.04 %;
7.0%;;;58.43;61.96 %;
Total;;;94.30;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;155;763.20;64.98 %;0.00
Maestro;;13;232.00;19.75 %;0.00
MasterCard;;4;20.50;1.75 %;0.00
Mehrzweckgutschein;;1;8.40;0.72 %;0.00
Visa;;6;66.40;5.65 %;0.00
Visa Electron;;8;84.10;7.16 %;0.00
Total;;187;1174.60;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Martin;;;1039.00;93.13 %;0.00
Robin;;;76.60;6.87 %;0.00
Total;;;1115.60;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;187;1174.60;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;570;729.30;62.09 %;;0;0.00;;570;729.30
Sonstiges;;23;340.50;28.99 %;;0;0.00;;23;340.50
Speisen;;33;104.80;8.92 %;;1;4.20;;32;100.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;160;552.50;47.04 %;;0;0.00;;160;552.50
Röstkaffee;;19;234.00;19.92 %;;0;0.00;;19;234.00
Kaffee;;359;174.00;14.81 %;;0;0.00;;359;174.00
Speisen;;33;104.80;8.92 %;;1;4.20;;32;100.60
Equipment;;3;81.50;6.94 %;;0;0.00;;3;81.50
Gutscheine;;1;25.00;2.13 %;;0;0.00;;1;25.00
Non Kaffee;;51;2.80;0.24 %;;0;0.00;;51;2.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;77;246.40;20.98 %;;0;0.00;;77;246.40
ReCup ausgeben;0;181;181.00;15.41 %;;0;0.00;;181;181.00
Flat White;0;26;98.80;8.41 %;;0;0.00;;26;98.80
Cappuccino groß;0;25;95.00;8.09 %;;0;0.00;;25;95.00
Caffé Latte;0;25;87.50;7.45 %;;0;0.00;;25;87.50
Porlex Mini Coffee Grinder;0;1;65.00;5.53 %;;0;0.00;;1;65.00
MUYU 250g;0;6;57.00;4.85 %;;0;0.00;;6;57.00
Americano;0;20;50.00;4.26 %;;0;0.00;;20;50.00
Kanelbullar;0;12;38.40;3.27 %;;0;0.00;;12;38.40
MUYU 500g;0;2;36.00;3.06 %;;0;0.00;;2;36.00
KRA JAN 250g;0;2;27.00;2.30 %;;0;0.00;;2;27.00
25€ Gutschein;0;1;25.00;2.13 %;;0;0.00;;1;25.00
EL MORENO 250g;0;2;23.00;1.96 %;;0;0.00;;2;23.00
